Company,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-30,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07
BPCL,335.4,338.5,337.5,332.35,335.5,334.4,342.8,343.65,345.65,346.5,346.9,348.85,355.0,356.3,360.6,360.6,367.4,364.3,368.0,366.3,371.7,372.05,362.15,356.9,363.0,364.7,360.25,360.95,362.1,366.2,364.0,364.0,364.05,362.5,360.2,364.6,364.5,359.8,357.0,356.75,367.9,362.0,360.25,371.4,373.3,373.2,378.95,376.0,375.55,372.0,372.5,373.7,360.5,358.0,359.85,365.85,365.0,375.05,376.8,385.0,391.2,392.0
BSE,458.0,463.6,462.6,459.8,461.0,467.1,454.9,449.4,449.8,458.3,498.1,498.0,520.8,523.5,529.0,519.6,516.5,511.8,538.85,531.75,530.75,539.0,548.0,545.5,538.3,536.65,529.8,525.5,528.0,534.25,530.0,534.4,535.5,540.55,542.95,557.2,571.0,572.0,575.05,567.0,565.05,560.25,554.45,570.0,563.5,570.45,573.5,573.0,569.7,571.4,571.6,605.0,608.1,597.5,601.0,617.0,608.95,668.0,673.0,679.3,705.4,704.5
ETHOS_LTD,"1,002.00","1,010.00","1,000.60","1,042.60","1,194.00","1,197.00","1,177.05","1,240.00","1,225.00","1,238.00","1,242.00","1,226.00","1,209.00","1,300.00","1,301.00","1,308.00","1,288.00","1,290.00","1,277.95","1,299.00","1,300.00","1,318.10","1,392.00","1,287.00","1,265.50","1,251.00","1,229.00","1,227.00","1,248.00","1,243.25","1,280.25","1,260.20","1,249.15","1,258.00","1,220.10","1,224.90","1,259.95","1,279.00","1,277.00","1,319.00","1,365.00","1,344.00","1,299.00","1,306.00","1,265.00","1,348.60","1,310.05","1,317.00","1,326.00","1,342.05","1,321.00","1,309.85","1,299.65","1,284.05","1,305.00","1,363.00","1,445.00","1,442.90","1,484.00","1,496.25","1,496.50","1,503.40"
FORTIS,255.7,257.2,265.0,265.35,265.0,264.95,265.9,265.5,265.0,265.25,263.45,258.3,256.9,261.0,261.0,263.7,264.0,266.45,268.0,270.1,268.95,268.5,270.75,277.0,275.05,283.1,284.0,281.0,285.05,289.6,288.25,286.5,287.85,280.5,279.75,275.15,278.05,276.6,274.75,282.2,279.9,280.1,283.15,283.0,287.0,293.15,305.0,309.0,305.3,302.95,309.95,310.0,305.5,303.5,304.25,304.4,315.5,313.0,313.45,315.5,321.0,325.7
GLENMARK,487.3,484.5,491.9,490.1,490.75,505.5,512.0,511.75,510.2,518.6,517.65,520.1,553.0,563.0,543.0,543.0,545.0,551.25,569.0,560.0,570.0,580.0,615.0,606.5,608.95,609.0,602.0,626.0,605.0,607.0,607.2,606.2,591.05,593.0,595.2,596.2,609.6,614.0,616.7,632.3,663.8,647.85,635.9,637.7,649.5,637.8,643.0,643.05,642.5,643.85,642.05,628.6,630.75,645.5,655.05,678.0,677.3,659.0,650.2,663.5,669.45,689.15
HDFCLIFE,514.0,512.9,517.95,531.35,532.9,533.0,524.95,529.8,513.5,546.15,528.75,530.9,519.75,530.45,544.25,538.45,546.0,540.6,550.1,551.25,562.0,567.0,561.85,559.0,559.25,557.95,562.35,556.95,565.55,562.6,567.0,573.0,577.0,578.7,589.0,593.3,581.0,576.1,573.2,582.6,595.2,595.0,582.0,584.85,584.4,583.8,577.0,610.2,628.0,643.9,641.2,640.0,629.8,630.0,664.9,659.7,648.5,650.7,648.0,675.0,660.6,658.0
HINDPETRO,229.0,231.4,229.9,225.1,227.0,228.2,238.7,239.25,240.65,243.45,246.9,246.35,250.65,250.75,252.0,256.9,258.0,253.9,254.0,255.25,256.3,258.0,260.8,258.7,260.95,258.0,254.5,255.25,255.25,264.0,258.2,258.0,258.3,257.5,256.95,262.65,260.25,258.65,257.0,262.85,276.15,266.6,262.25,273.95,274.05,275.7,273.7,273.9,272.3,273.0,274.1,275.6,269.45,272.25,267.5,269.25,273.5,284.35,279.4,290.05,301.8,306.35
HINDUNILVR,"2,527.80","2,546.00","2,528.10","2,535.40","2,555.50","2,538.25","2,523.50","2,493.15","2,499.85","2,500.60","2,489.00","2,514.95","2,469.00","2,458.00","2,450.90","2,485.20","2,502.50","2,501.20","2,516.95","2,514.00","2,518.30","2,590.00","2,619.05","2,659.10","2,670.10","2,659.10","2,627.00","2,641.00","2,636.00","2,631.85","2,615.35","2,598.05","2,652.05","2,649.50","2,655.00","2,667.65","2,691.00","2,711.05","2,702.00","2,693.00","2,709.00","2,677.65","2,639.95","2,649.80","2,669.00","2,698.95","2,688.30","2,714.25","2,689.25","2,677.35","2,672.50","2,655.35","2,647.00","2,653.70","2,650.00","2,669.65","2,676.05","2,700.20","2,701.55","2,756.95","2,750.00","2,699.00"
IOC,77.85,77.95,78.15,77.25,77.35,77.95,78.7,78.3,78.15,78.3,78.45,78.45,80.5,81.35,82.05,82.8,83.25,82.65,83.35,83.9,84.1,83.9,83.5,84.4,87.05,87.45,85.9,85.9,87.1,89.0,89.7,89.15,90.2,90.0,90.4,89.9,90.6,89.9,89.45,89.4,90.75,89.95,90.25,91.75,92.2,93.15,92.95,92.1,91.8,91.95,92.0,92.0,89.35,89.75,89.45,91.0,91.25,95.7,94.55,95.4,98.65,99.4
JSL,283.3,276.95,264.8,265.05,263.0,261.5,260.15,265.0,268.1,271.45,269.75,272.2,287.5,283.0,286.0,288.9,292.4,291.0,289.0,292.45,292.0,295.1,275.4,281.0,280.0,280.15,296.05,285.1,285.0,295.85,293.0,287.7,289.0,291.15,282.0,300.9,292.7,290.05,284.0,300.0,309.25,315.7,313.9,317.55,325.0,330.6,331.5,326.0,330.0,334.45,333.8,327.75,324.6,329.85,329.0,332.65,331.5,340.5,342.95,352.0,365.0,363.2
