"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"AIAENG","AIA Engineering Limited",3247,3236,"09-Jun-2023",3241.85,"3223.2",18.65,0.5786175229585505
"AMIORG","Ami Organics Limited",1294,1286.3,"09-Jun-2023",1283.5,"1279",4.5,0.3518373729476153
"ANANTRAJ","Anant Raj Limited",168,167.4,"09-Jun-2023",167.05,"163.05",4,2.453235203925176
"ANUP","The Anup Engineering Limited",1682.95,1673.95,"07-Jun-2023",1638.25,"1606",32.25,2.0080946450809463
"APOLLOTYRE","Apollo Tyres Limited",408.6,406.5,"09-Jun-2023",405,"405.3",-0.3,-0.07401924500370097
"ARTEMISMED","Artemis Medicare Services Limited",95.95,93.8,"09-Jun-2023",95.75,"92.05",3.7,4.019554589896795
"ASTRAL","Astral Limited",2019,1996.25,"09-Jun-2023",1998,"1987.85",10.15,0.5106019065824886
"BEL","Bharat Electronics Limited",123.9,121.45,"09-Jun-2023",121,"120.35",0.65,0.540091400083091
"CRISIL","CRISIL Limited",4000,4000,"07-Jun-2023",3970.05,"3929.95",40.1,1.020369215893332
"DATAMATICS","Datamatics Global Services Limited",609.5,577.05,"05-Jun-2023",595.5,"542.25",53.25,9.820193637621024
"DELTACORP","Delta Corp Limited",254.75,248.7,"09-Jun-2023",250.25,"245.4",4.85,1.976365118174409
"DHAMPURSUG","Dhampur Sugar Mills Limited",282.75,281.9,"09-Jun-2023",278.4,"278",0.4,0.14388489208633093
"ELECTCAST","Electrosteel Castings Limited",55.45,54.9,"09-Jun-2023",54.7,"54.5",0.2,0.3669724770642202
"FDC","FDC Limited",323,318,"31-Oct-2022",313.15,"297.95",15.2,5.101527101862729
"FMGOETZE","Federal-Mogul Goetze (India) Limited.",399.5,370,"09-Jun-2023",389.95,"368.45",21.5,5.835255801329896
"GENUSPOWER","Genus Power Infrastructures Limited",108.1,106.9,"09-Jun-2023",105.55,"105.05",0.5,0.47596382674916704
"GHCLTEXTIL","GHCL Textiles Limited",73.5,0,"-",68.4,"543.25",-3.6,-5
"GLS","Glenmark Life Sciences Limited",619.65,595.15,"09-Jun-2023",613,"590.45",22.55,3.8191210093996104
"GOKEX","Gokaldas Exports Limited",483.6,474.8,"07-Jun-2023",478.5,"456.55",21.95,4.8077976125287485
"GREENLAM","Greenlam Industries Limited",505.9,482.45,"09-Jun-2023",483.65,"475.5",8.15,1.7139852786540484
"HAL","Hindustan Aeronautics Limited",3800,3785,"09-Jun-2023",3697.35,"3732.9",-35.55,-0.9523426826328056
"HBLPOWER","HBL Power Systems Limited",145.75,142.7,"07-Jun-2023",143.3,"139.75",3.55,2.5402504472271916
"HEG","HEG Limited",1402.6,1393.9,"09-Jun-2023",1397,"1362.95",34.05,2.4982574562529805
"INDIANHUME","Indian Hume Pipe Company Limited",203.7,202,"09-Jun-2023",196,"198.75",-2.75,-1.3836477987421383
"INDUSINDBK","IndusInd Bank Limited",1336.95,1336.4,"09-Jun-2023",1322.75,"1331.05",-8.3,-0.6235678599601818
"IONEXCHANG","ION Exchange (India) Limited",439.6,435.29,"09-Jun-2023",419.7,"4322.5",-12.55,-2.9034123770965876
"JAYBARMARU","Jay Bharat Maruti Limited",214.7,202.55,"03-Oct-2022",213.05,"190.2",22.85,12.0136698212408
"JINDRILL","Jindal Drilling And Industries Limited",368.9,353.9,"09-Jun-2023",360.85,"343.95",16.9,4.91350486989388
"JITFINFRA","JITF Infralogistics Limited",301.4,287.05,"09-Jun-2023",301.4,"287.05",14.35,4.999129071590315
"JUSTDIAL","Just Dial Limited",775,772.5,"09-Jun-2023",759.5,"751",8.5,1.1318242343541944
"KARMAENG","Karma Energy Limited",40.4,39.8,"09-Mar-2023",40.4,"36.75",3.65,9.931972789115646
"KAYNES","Kaynes Technology India Limited",1562,1535,"09-Jun-2023",1528.2,"1494.45",33.75,2.2583559168925023
"KDDL","KDDL Limited",1420,1404.85,"09-Jun-2023",1408.05,"1390.9",17.15,1.2330145948666331
"KEERTI","Keerti Knowledge and Skills Limited",43.8,41.75,"05-Jun-2023",43.8,"41.75",2.05,4.910179640718563
"KPRMILL","K.P.R. Mill Limited",648.95,639,"09-Jun-2023",645,"625.9",19.1,3.051605687809554
"LIQUIDETF","DSP NIFTY 1D Rate Liquid ETF",1030,1010,"21-Dec-2022",1000,"1000",0,0
"LODHA","Macrotech Developers Limited",623,611,"09-Jun-2023",615.05,"599.25",15.8,2.6366291197329996
"LTGILTBEES","Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt",24.95,24.95,"08-Jun-2023",24.2,"24.21",-0.01,-0.041305245766212306
"MAANALU","Maan Aluminium Limited",337.25,332,"09-Jun-2023",337.25,"321.2",16.05,4.9968866749688665
"MAFANG","Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF",61.47,61.3,"09-Jun-2023",61.16,"60.65",0.51,0.8408903544929925
"MAHSEAMLES","Maharashtra Seamless Limited",498,488,"07-Jun-2023",482.9,"473.05",9.85,2.082232322164676
"MANINFRA","Man Infraconstruction Limited",107.75,104.8,"08-Jun-2023",106.55,"103",3.55,3.4466019417475726
"MASPTOP50","Mirae Asset Mutual Fund - Mirae Asset S&P 500 Top 50 ETF",31.75,31.49,"09-Jun-2023",31.19,"30.89",0.3,0.9711880867594691
"MEDANTA","Global Health Limited",627.4,617,"01-Jun-2023",620,"607",13,2.1416803953871497
"MON100","Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF",119.1,117.4,"02-Jun-2023",116.54,"115.61",0.93,0.8044286826399101
"MUTHOOTCAP","Muthoot Capital Services Limited",390,383,"06-Jun-2023",381.8,"358.85",22.95,6.395429845339279
"NAGREEKEXP","Nagreeka Exports Limited",53.25,51,"06-Jun-2023",53.25,"44.4",8.85,19.93243243243243
"NCLIND","NCL Industries Limited",205.6,205.1,"22-Jul-2022",203.2,"197.7",5.5,2.78199291856348
"NH","Narayana Hrudayalaya Ltd.",960,948,"08-Jun-2023",955.7,"927.05",28.65,3.0904481958901893
"NLCINDIA","NLC India Limited",102.95,102.5,"08-Jun-2023",102.2,"99.95",2.25,2.251125562781391
"NTPC","NTPC Limited",186.2,184.35,"08-Jun-2023",186,"182.8",3.2,1.75054704595186
"OLECTRA","Olectra Greentech Limited",836,820,"08-Jun-2023",823.4,"808.85",14.55,1.7988502194473635
"ORTINLAB","Ortin Laboratories Limited",30.35,29.25,"23-Jan-2023",28.55,"27.6",0.95,3.4420289855072466
"PENINLAND","Peninsula Land Limited",23.95,22.85,"09-Jun-2023",23.95,"22.85",1.1,4.814004376367615
"PFC","Power Finance Corporation Limited",202.35,199.5,"09-Jun-2023",201.7,"198.7",3,1.509813789632612
"PRESSMN","Pressman Advertising Limited",141.1,134.4,"09-Jun-2023",141,"134.4",6.6,4.910714285714286
"PRESTIGE","Prestige Estates Projects Limited",553.25,542.25,"08-Jun-2023",549.95,"536.75",13.2,2.4592454587796926
