 Company Name, Today's High, Today's Low, Last Price, Chg, %Chg

"ABB IndiaAdd toWatchlist | PortfolioACTIONSABB India has hit a 52wk high of Rs 4,360.00 on BSEABB India has hit a 52wk high of Rs 4,360.00 on BSE",4522.75,4380.2,4499.25,129.60,2.97
Abhishek IntegrAdd toWatchlist | PortfolioACTIONSOnly Buyers in Abhishek on NSEOnly Buyers in Abhishek on NSE,60.35,60.35,60.35,2.85,4.96
AhluwaliaAdd toWatchlist | PortfolioACTIONSBuy Ahluwalia Contracts; target of Rs 800: ICICI DirectNEWSBuy Ahluwalia Contracts; target of Rs 800: ICICI Direct 2023-07-06 15:32:47View all ,693.05,667.7,673.3,-9.55,-1.40
Albert DavidAdd toWatchlist | PortfolioACTIONSAlbert David closes above 30-Day Moving Average of 590.24 today.,689.9,638,662.4,25.60,4.02
Anand RathiAdd toWatchlist | PortfolioACTIONSAnand Rathi closes above 50-Day Moving Average of 861.42 today.,945.65,930.05,938.4,7.25,0.78
Anlon TechnologAdd toWatchlist | PortfolioACTIONSAnlon Technolog closes above 30-Day Moving Average of 211.19 today.,300,281.6,281.6,4.30,1.55
Apollo TyresAdd toWatchlist | PortfolioACTIONSApollo Tyres closes above 30-Day Moving Average of 401.48 today.,433.95,426.25,433.35,4.50,1.05
Ashoka Metcast Add toWatchlist | PortfolioACTIONSAshoka Metcast  has hit a 52wk high of Rs 21.00 on BSEAshoka Metcast  has hit an all time high of Rs 21.00 on BSE,20.45,19.55,19.95,0.80,4.18
"Bajaj AutoAdd toWatchlist | PortfolioACTIONSBajaj Auto Block Deal on NSE||Qty: 3,688||Deal Price: 4,941.75||Value (cr): 1.82||Time: 09:16amBuy Bajaj Auto target of Rs 5600: SharekhanNEWSBuy Bajaj Auto target of Rs 5600: Sharekhan 2023-07-07 13:37:34View all ",4954.45,4905,4917.65,19.70,0.40
Bharat DynamicsAdd toWatchlist | PortfolioACTIONSBharat Dynamics closes below 50-Day Moving Average of 1090.50 today.,1278,1083.95,1231.6,151.15,13.99
