Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,393,397.9,389.3,393.3,392,391.65,392.57,397.9,288.05,"32,63,989","1,28,13,28,537.50","65,216",BPCL
06-Jul-23,EQ,386.55,397.15,385,386.55,391.2,393.3,392.63,397.15,288.05,"65,40,267","2,56,78,73,419.50","87,230",BPCL
05-Jul-23,EQ,376.65,387.1,375,376.65,385,386.55,383.63,387.1,288.05,"62,82,683","2,41,02,48,398.45","82,560",BPCL
04-Jul-23,EQ,375.3,378.35,373.15,375.3,376.8,376.65,376.37,380.45,288.05,"26,95,164","1,01,43,75,356.50","42,338",BPCL
03-Jul-23,EQ,365.2,379.95,363.4,364.7,375.05,375.3,375.01,380.45,288.05,"62,14,981","2,33,06,69,506.90","78,139",BPCL
30-Jun-23,EQ,365.85,368.8,361.25,365.4,365,364.7,364.5,380.45,288.05,"41,95,830","1,52,93,64,470.30","51,348",BPCL
28-Jun-23,EQ,360.55,366.8,359.2,360.35,365.85,365.4,363.81,380.45,288.05,"35,83,386","1,30,36,73,741.70","65,217",BPCL
27-Jun-23,EQ,361,363.7,358,358.3,359.85,360.35,360.77,380.45,288.05,"33,92,266","1,22,38,23,683.40","47,384",BPCL
26-Jun-23,EQ,361.85,362.85,355.65,359.6,358,358.3,357.87,380.45,288.05,"26,40,640","94,49,99,456.25","43,934",BPCL
23-Jun-23,EQ,370.2,371,358.3,373.4,360.5,359.6,362.45,380.45,288.05,"54,67,448","1,98,16,99,995.10","67,354",BPCL
22-Jun-23,EQ,371.4,378.7,371.15,372.8,373.7,373.4,375.17,380.45,288.05,"20,12,064","75,48,65,980.15","30,713",BPCL
21-Jun-23,EQ,372.45,374.75,371.35,372.45,372.5,372.8,373.09,380.45,288.05,"13,40,149","49,99,91,192.40","23,013",BPCL
20-Jun-23,EQ,375,375.05,371.5,374.75,372,372.45,372.63,380.45,288.05,"12,07,938","45,01,08,946.30","21,718",BPCL
19-Jun-23,EQ,377,378.7,374.15,376.8,375.55,374.75,376.17,380.45,288.05,"15,17,385","57,07,98,404.85","32,248",BPCL
16-Jun-23,EQ,377,378.7,374.4,378.9,376,376.8,376.21,380.45,288.05,"21,39,294","80,48,14,269.95","36,804",BPCL
15-Jun-23,EQ,375.1,380.45,373,373.55,378.95,378.9,378.44,380.45,288.05,"61,05,440","2,31,05,41,466.75","62,008",BPCL
14-Jun-23,EQ,373.5,378.5,370.9,373.6,373.2,373.55,375.47,378.5,288.05,"33,57,184","1,26,05,13,957.95","59,087",BPCL
13-Jun-23,EQ,374.5,376.9,372.4,371.65,373.3,373.6,374.57,376.9,288.05,"39,87,317","1,49,35,37,300.10","51,491",BPCL
12-Jun-23,EQ,360.5,372.5,360.2,359.45,371.4,371.65,367.92,374.9,288.05,"47,17,149","1,73,55,45,105.10","55,166",BPCL
09-Jun-23,EQ,361.1,364,358.8,361.1,360.25,359.45,361.41,374.9,288.05,"15,42,985","55,76,50,224.55","25,542",BPCL
08-Jun-23,EQ,367.6,367.6,360.3,368.1,362,361.1,362.46,374.9,288.05,"35,82,191","1,29,84,05,437.15","51,931",BPCL
07-Jun-23,EQ,357,369.5,356.75,356.15,367.9,368.1,365.64,374.9,288.05,"64,15,428","2,34,57,27,301.45","68,625",BPCL
06-Jun-23,EQ,357.05,359,354.6,356.8,356.75,356.15,356.69,374.9,288.05,"21,06,537","75,13,88,003.95","30,707",BPCL
05-Jun-23,EQ,360.1,362,355,360.05,357,356.8,356.71,374.9,288.05,"29,29,068","1,04,48,28,754.45","30,904",BPCL
02-Jun-23,EQ,364.6,366.8,359.1,364.55,359.8,360.05,362.85,374.9,288.05,"34,66,237","1,25,77,16,239.00","46,335",BPCL
01-Jun-23,EQ,365.3,368.9,364.1,363.5,364.5,364.55,366.23,374.9,288.05,"17,68,641","64,77,31,990.90","33,810",BPCL
31-May-23,EQ,360.4,366.45,360.2,360.4,364.6,363.5,363.67,374.9,288.05,"1,16,07,240","4,22,12,02,480.80","61,028",BPCL
