Company Name,Date,Close,Volume
Alok Indust,08-09-2023,21.51,6218937
Alok Indust,07-09-2023,21.89,7114773
Alok Indust,06-09-2023,21.66,11718267
Alok Indust,05-09-2023,20.93,8100416
Alok Indust,04-09-2023,20.40,14611739
Alok Indust,01-09-2023,19.91,15298517
Alok Indust,31-08-2023,19.81,22506898
Alok Indust,30-08-2023,17.86,4232340
Alok Indust,29-08-2023,17.80,5516280
Alok Indust,28-08-2023,17.63,3354508
Alok Indust,25-08-2023,17.61,7181485
Alok Indust,24-08-2023,17.55,5366209
Alok Indust,23-08-2023,18.40,16762093
Alok Indust,22-08-2023,17.07,5273685
Alok Indust,21-08-2023,17.00,6302260
Alok Indust,18-08-2023,16.98,7333862
Alok Indust,17-08-2023,16.04,2045945
Alok Indust,16-08-2023,15.78,2610444
Alok Indust,14-08-2023,15.58,2345009
Alok Indust,11-08-2023,15.90,3750928
Alok Indust,10-08-2023,16.39,7282938
Alok Indust,09-08-2023,15.48,3590590
Alok Indust,08-08-2023,15.57,4581371
Alok Indust,07-08-2023,15.19,1344647
Alok Indust,04-08-2023,15.27,2092079
Alok Indust,03-08-2023,15.29,3673654
Alok Indust,02-08-2023,15.46,4279643
Alok Indust,01-08-2023,15.43,8993756
Alok Indust,31-07-2023,14.63,2536280
Alok Indust,28-07-2023,14.83,1883658
Alok Indust,27-07-2023,15.05,1754170
Alok Indust,26-07-2023,15.04,2018633
Alok Indust,25-07-2023,15.06,2235623
Alok Indust,24-07-2023,14.88,2089834
Alok Indust,21-07-2023,15.25,1389816
Alok Indust,20-07-2023,15.29,3026276
Alok Indust,19-07-2023,16.02,1170176
Alok Indust,18-07-2023,15.93,1111362
Alok Indust,17-07-2023,16.08,2258848
Alok Indust,14-07-2023,15.81,1253702
Alok Indust,13-07-2023,15.74,1609646
Alok Indust,12-07-2023,16.03,3388343
Alok Indust,11-07-2023,15.93,2013049
Alok Indust,10-07-2023,16.18,2947131
Alok Indust,07-07-2023,16.47,3078926
Alok Indust,06-07-2023,16.75,3035285
Alok Indust,05-07-2023,16.75,3771647
Alok Indust,04-07-2023,16.60,5652672
Alok Indust,03-07-2023,16.78,669285
Alok Indust,30-06-2023,16.34,1549880
Alok Indust,28-06-2023,16.96,1062646
Alok Indust,27-06-2023,17.49,559045
Alok Indust,26-06-2023,17.99,2321897
Alok Indust,23-06-2023,17.57,2633280
Alok Indust,22-06-2023,18.23,25874446
Alok Indust,21-06-2023,17.92,15249499
Alok Indust,20-06-2023,16.23,11623091
Alok Indust,19-06-2023,17.01,31313196
Alok Indust,16-06-2023,15.40,11589969
Alok Indust,15-06-2023,14.08,3621144
Alok Indust,14-06-2023,14.16,4690101
Alok Indust,13-06-2023,14.03,3756600
Alok Indust,12-06-2023,14.14,5086107
