Company Name,Date,Close,Volume
Aro Granite,08-09-2023,57.04,72061
Aro Granite,07-09-2023,57.76,20751
Aro Granite,06-09-2023,54.91,25332
Aro Granite,05-09-2023,57.27,78205
Aro Granite,04-09-2023,51.72,3327
Aro Granite,01-09-2023,51.24,15893
Aro Granite,31-08-2023,51.70,15524
Aro Granite,30-08-2023,52.21,14920
Aro Granite,29-08-2023,50.10,4199
Aro Granite,28-08-2023,50.90,71684
Aro Granite,25-08-2023,48.20,3242
Aro Granite,24-08-2023,48.47,5684
Aro Granite,23-08-2023,48.94,25757
Aro Granite,22-08-2023,47.50,9618
Aro Granite,21-08-2023,46.07,5249
Aro Granite,18-08-2023,46.50,4485
Aro Granite,17-08-2023,47.71,8194
Aro Granite,16-08-2023,48.17,13382
Aro Granite,14-08-2023,46.97,5547
Aro Granite,11-08-2023,46.96,18281
Aro Granite,10-08-2023,48.60,22025
Aro Granite,09-08-2023,48.32,26569
Aro Granite,08-08-2023,48.30,58653
Aro Granite,07-08-2023,49.94,21978
Aro Granite,04-08-2023,48.98,85516
Aro Granite,03-08-2023,43.38,843
Aro Granite,02-08-2023,43.69,4164
Aro Granite,01-08-2023,42.82,1708
Aro Granite,31-07-2023,42.99,103917
Aro Granite,28-07-2023,42.65,3053
Aro Granite,27-07-2023,43.50,1225
Aro Granite,26-07-2023,43.11,528
Aro Granite,25-07-2023,42.64,4961
Aro Granite,24-07-2023,42.74,9602
Aro Granite,21-07-2023,43.17,3060
Aro Granite,20-07-2023,43.75,2026
Aro Granite,19-07-2023,43.44,2496
Aro Granite,18-07-2023,42.08,9908
Aro Granite,17-07-2023,43.05,4956
Aro Granite,14-07-2023,43.86,4328
Aro Granite,13-07-2023,44.11,17631
Aro Granite,12-07-2023,41.13,2393
Aro Granite,11-07-2023,40.70,19247
Aro Granite,10-07-2023,40.65,529
Aro Granite,07-07-2023,41.49,3040
Aro Granite,06-07-2023,42.50,239
Aro Granite,05-07-2023,42.00,2136
Aro Granite,04-07-2023,41.99,2130
Aro Granite,03-07-2023,43.00,1118
Aro Granite,30-06-2023,43.07,1963
Aro Granite,28-06-2023,43.25,1576
Aro Granite,27-06-2023,43.80,307
Aro Granite,26-06-2023,43.73,1936
Aro Granite,23-06-2023,43.70,69456
Aro Granite,22-06-2023,43.56,42995
Aro Granite,21-06-2023,44.00,33458
Aro Granite,20-06-2023,41.31,609
Aro Granite,19-06-2023,40.90,4692
Aro Granite,16-06-2023,40.90,5384
Aro Granite,15-06-2023,40.30,3329
Aro Granite,14-06-2023,40.24,7636
Aro Granite,13-06-2023,39.51,5525
Aro Granite,12-06-2023,39.96,5095
