Company Name,Date,Close,Volume
Ashapura Mine,08-09-2023,284.25,163007
Ashapura Mine,07-09-2023,293.25,190102
Ashapura Mine,06-09-2023,273.85,168343
Ashapura Mine,05-09-2023,262.10,191021
Ashapura Mine,04-09-2023,239.35,84384
Ashapura Mine,01-09-2023,228.35,73231
Ashapura Mine,31-08-2023,227.75,47142
Ashapura Mine,30-08-2023,225.55,29607
Ashapura Mine,29-08-2023,222.70,41339
Ashapura Mine,28-08-2023,229.65,65889
Ashapura Mine,25-08-2023,226.70,31972
Ashapura Mine,24-08-2023,229.25,74429
Ashapura Mine,23-08-2023,222.80,56069
Ashapura Mine,22-08-2023,226.05,62506
Ashapura Mine,21-08-2023,219.45,85366
Ashapura Mine,18-08-2023,228.90,149559
Ashapura Mine,17-08-2023,241.00,95201
Ashapura Mine,16-08-2023,232.55,213638
Ashapura Mine,14-08-2023,215.10,139282
Ashapura Mine,11-08-2023,208.90,237786
Ashapura Mine,10-08-2023,185.10,23348
Ashapura Mine,09-08-2023,189.95,41249
Ashapura Mine,08-08-2023,190.85,77761
Ashapura Mine,07-08-2023,196.45,100783
Ashapura Mine,04-08-2023,191.45,109055
Ashapura Mine,03-08-2023,182.40,106063
Ashapura Mine,02-08-2023,170.20,44755
Ashapura Mine,01-08-2023,177.95,68553
Ashapura Mine,31-07-2023,177.80,172564
Ashapura Mine,28-07-2023,167.15,255666
Ashapura Mine,27-07-2023,173.75,141641
Ashapura Mine,26-07-2023,165.40,125264
Ashapura Mine,25-07-2023,163.25,101117
Ashapura Mine,24-07-2023,161.10,165480
Ashapura Mine,21-07-2023,154.10,235082
Ashapura Mine,20-07-2023,145.95,124173
Ashapura Mine,19-07-2023,134.00,23480
Ashapura Mine,18-07-2023,134.00,49005
Ashapura Mine,17-07-2023,131.90,34232
Ashapura Mine,14-07-2023,123.70,38898
Ashapura Mine,13-07-2023,117.95,28250
Ashapura Mine,12-07-2023,119.20,38790
Ashapura Mine,11-07-2023,118.65,12099
Ashapura Mine,10-07-2023,120.25,35821
Ashapura Mine,07-07-2023,121.70,27890
Ashapura Mine,06-07-2023,123.55,23423
Ashapura Mine,05-07-2023,125.25,13229
Ashapura Mine,04-07-2023,124.40,20227
Ashapura Mine,03-07-2023,125.00,15365
Ashapura Mine,30-06-2023,126.50,46024
Ashapura Mine,28-06-2023,130.30,16077
Ashapura Mine,27-06-2023,131.05,5664
Ashapura Mine,26-06-2023,132.10,23421
Ashapura Mine,23-06-2023,133.55,12606
Ashapura Mine,22-06-2023,136.20,48428
Ashapura Mine,21-06-2023,136.95,59500
Ashapura Mine,20-06-2023,132.25,28662
Ashapura Mine,19-06-2023,132.80,55112
Ashapura Mine,16-06-2023,132.15,48299
Ashapura Mine,15-06-2023,127.10,22382
Ashapura Mine,14-06-2023,126.75,71605
Ashapura Mine,13-06-2023,128.45,178729
Ashapura Mine,12-06-2023,127.10,258047
