Company Name,Date,Close,Volume
Aster DM Health,08-09-2023,339.90,22074
Aster DM Health,07-09-2023,340.20,25151
Aster DM Health,06-09-2023,335.90,11596
Aster DM Health,05-09-2023,336.15,35760
Aster DM Health,04-09-2023,330.80,9796
Aster DM Health,01-09-2023,329.30,21326
Aster DM Health,31-08-2023,330.95,36255
Aster DM Health,30-08-2023,330.95,18808
Aster DM Health,29-08-2023,324.90,15918
Aster DM Health,28-08-2023,329.25,95574
Aster DM Health,25-08-2023,320.45,43266
Aster DM Health,24-08-2023,319.95,45112
Aster DM Health,23-08-2023,314.90,6499
Aster DM Health,22-08-2023,315.00,7389
Aster DM Health,21-08-2023,311.80,34404
Aster DM Health,18-08-2023,318.90,2536810
Aster DM Health,17-08-2023,304.45,14410
Aster DM Health,16-08-2023,311.30,14640
Aster DM Health,14-08-2023,306.50,20348
Aster DM Health,11-08-2023,308.55,11951
Aster DM Health,10-08-2023,312.10,14261
Aster DM Health,09-08-2023,309.05,33061
Aster DM Health,08-08-2023,312.80,26383
Aster DM Health,07-08-2023,316.65,18808
Aster DM Health,04-08-2023,319.75,11957
Aster DM Health,03-08-2023,318.80,14790
Aster DM Health,02-08-2023,317.80,21081
Aster DM Health,01-08-2023,319.35,41007
Aster DM Health,31-07-2023,312.45,17559
Aster DM Health,28-07-2023,297.80,20111
Aster DM Health,27-07-2023,306.60,16170
Aster DM Health,26-07-2023,308.95,22626
Aster DM Health,25-07-2023,310.75,33132
Aster DM Health,24-07-2023,305.25,19809
Aster DM Health,21-07-2023,304.85,13345
Aster DM Health,20-07-2023,311.35,24618
Aster DM Health,19-07-2023,309.55,29133
Aster DM Health,18-07-2023,312.00,21120
Aster DM Health,17-07-2023,311.05,48263
Aster DM Health,14-07-2023,316.50,39033
Aster DM Health,13-07-2023,302.05,54418
Aster DM Health,12-07-2023,310.15,41875
Aster DM Health,11-07-2023,312.00,54201
Aster DM Health,10-07-2023,314.20,25809
Aster DM Health,07-07-2023,313.80,126707
Aster DM Health,06-07-2023,310.80,70567
Aster DM Health,05-07-2023,314.55,83043
Aster DM Health,04-07-2023,325.55,302497
Aster DM Health,03-07-2023,286.25,13700
Aster DM Health,30-06-2023,279.65,55236
Aster DM Health,28-06-2023,283.90,24973
Aster DM Health,27-06-2023,280.95,17449
Aster DM Health,26-06-2023,280.90,14190
Aster DM Health,23-06-2023,280.90,8767
Aster DM Health,22-06-2023,282.05,9455
Aster DM Health,21-06-2023,287.70,10567
Aster DM Health,20-06-2023,287.65,15500
Aster DM Health,19-06-2023,287.20,49616
Aster DM Health,16-06-2023,289.45,42548
Aster DM Health,15-06-2023,305.40,60091
Aster DM Health,14-06-2023,298.90,85951
Aster DM Health,13-06-2023,277.25,8140
Aster DM Health,12-06-2023,278.95,23220
