Company Name,Date,Close,Volume
Astra Microwave,08-09-2023,421.35,101070
Astra Microwave,07-09-2023,423.00,216475
Astra Microwave,06-09-2023,386.25,12423
Astra Microwave,05-09-2023,385.40,12145
Astra Microwave,04-09-2023,383.05,60486
Astra Microwave,01-09-2023,392.20,42018
Astra Microwave,31-08-2023,395.75,102525
Astra Microwave,30-08-2023,384.75,10459
Astra Microwave,29-08-2023,384.50,62357
Astra Microwave,28-08-2023,385.35,41943
Astra Microwave,25-08-2023,376.65,231179
Astra Microwave,24-08-2023,370.00,27844
Astra Microwave,23-08-2023,367.50,25601
Astra Microwave,22-08-2023,361.30,27288
Astra Microwave,21-08-2023,348.55,23308
Astra Microwave,18-08-2023,353.45,36326
Astra Microwave,17-08-2023,353.15,16897
Astra Microwave,16-08-2023,358.65,46060
Astra Microwave,14-08-2023,348.10,75632
Astra Microwave,11-08-2023,361.45,89187
Astra Microwave,10-08-2023,381.00,37695
Astra Microwave,09-08-2023,381.55,82314
Astra Microwave,08-08-2023,369.75,22500
Astra Microwave,07-08-2023,364.15,10108
Astra Microwave,04-08-2023,357.15,32857
Astra Microwave,03-08-2023,361.10,272282
Astra Microwave,02-08-2023,363.30,29812
Astra Microwave,01-08-2023,369.80,28693
Astra Microwave,31-07-2023,374.50,42847
Astra Microwave,28-07-2023,372.45,10758
Astra Microwave,27-07-2023,365.70,19592
Astra Microwave,26-07-2023,371.95,18757
Astra Microwave,25-07-2023,366.80,37823
Astra Microwave,24-07-2023,367.30,13035
Astra Microwave,21-07-2023,370.65,236578
Astra Microwave,20-07-2023,365.10,426068
Astra Microwave,19-07-2023,359.25,8660
Astra Microwave,18-07-2023,364.90,21192
Astra Microwave,17-07-2023,361.65,13816
Astra Microwave,14-07-2023,361.40,10692
Astra Microwave,13-07-2023,358.00,53335
Astra Microwave,12-07-2023,366.30,34940
Astra Microwave,11-07-2023,366.65,44985
Astra Microwave,10-07-2023,357.20,8159
Astra Microwave,07-07-2023,355.40,22659
Astra Microwave,06-07-2023,364.05,23049
Astra Microwave,05-07-2023,374.05,23074
Astra Microwave,04-07-2023,375.80,34519
Astra Microwave,03-07-2023,377.40,50265
Astra Microwave,30-06-2023,367.35,21168
Astra Microwave,28-06-2023,367.00,22409
Astra Microwave,27-06-2023,372.40,14918
Astra Microwave,26-06-2023,363.80,32428
Astra Microwave,23-06-2023,368.70,38586
Astra Microwave,22-06-2023,384.30,69437
Astra Microwave,21-06-2023,378.70,112097
Astra Microwave,20-06-2023,357.50,22873
Astra Microwave,19-06-2023,355.70,20426
Astra Microwave,16-06-2023,347.85,65348
Astra Microwave,15-06-2023,348.60,16327
Astra Microwave,14-06-2023,353.65,14756
Astra Microwave,13-06-2023,359.40,12239
Astra Microwave,12-06-2023,361.20,30577
