Company Name,Date,Close,Volume
Aurionpro Solut,08-09-2023,1177.45,17576
Aurionpro Solut,07-09-2023,1236.45,10747
Aurionpro Solut,06-09-2023,1177.60,11144
Aurionpro Solut,05-09-2023,1121.55,4923
Aurionpro Solut,04-09-2023,1105.45,2270
Aurionpro Solut,01-09-2023,1062.15,2967
Aurionpro Solut,31-08-2023,1012.05,2721
Aurionpro Solut,30-08-2023,993.25,3839
Aurionpro Solut,29-08-2023,1024.85,2122
Aurionpro Solut,28-08-2023,1056.00,2987
Aurionpro Solut,25-08-2023,1027.80,2474
Aurionpro Solut,24-08-2023,981.85,4838
Aurionpro Solut,23-08-2023,1000.40,5515
Aurionpro Solut,22-08-2023,1036.45,1977
Aurionpro Solut,21-08-2023,1036.20,1606
Aurionpro Solut,18-08-2023,1025.25,51696
Aurionpro Solut,17-08-2023,1047.30,53444
Aurionpro Solut,16-08-2023,1081.55,11302
Aurionpro Solut,14-08-2023,1136.65,3526
Aurionpro Solut,11-08-2023,1123.50,866
Aurionpro Solut,10-08-2023,1126.30,531
Aurionpro Solut,09-08-2023,1125.30,1063
Aurionpro Solut,08-08-2023,1139.90,609
Aurionpro Solut,07-08-2023,1128.40,523
Aurionpro Solut,04-08-2023,1143.60,1307
Aurionpro Solut,03-08-2023,1094.05,397
Aurionpro Solut,02-08-2023,1092.50,9630
Aurionpro Solut,01-08-2023,1131.85,1694
Aurionpro Solut,31-07-2023,1121.60,6234
Aurionpro Solut,28-07-2023,1157.40,15687
Aurionpro Solut,27-07-2023,1140.65,28163
Aurionpro Solut,26-07-2023,1086.35,12318
Aurionpro Solut,25-07-2023,1034.65,16639
Aurionpro Solut,24-07-2023,985.40,2511
Aurionpro Solut,21-07-2023,972.05,2457
Aurionpro Solut,20-07-2023,984.30,747
Aurionpro Solut,19-07-2023,975.00,2299
Aurionpro Solut,18-07-2023,984.10,3137
Aurionpro Solut,17-07-2023,971.35,3905
Aurionpro Solut,14-07-2023,975.80,996
Aurionpro Solut,13-07-2023,982.15,314
Aurionpro Solut,12-07-2023,1003.90,2667
Aurionpro Solut,11-07-2023,979.35,3740
Aurionpro Solut,10-07-2023,962.55,2319
Aurionpro Solut,07-07-2023,981.95,6984
Aurionpro Solut,06-07-2023,956.95,3556
Aurionpro Solut,05-07-2023,911.40,1837
Aurionpro Solut,04-07-2023,909.80,8003
Aurionpro Solut,03-07-2023,942.60,3013
Aurionpro Solut,30-06-2023,972.75,811
Aurionpro Solut,28-06-2023,987.00,2634
Aurionpro Solut,27-06-2023,995.80,1909
Aurionpro Solut,26-06-2023,993.70,3007
Aurionpro Solut,23-06-2023,986.05,10349
Aurionpro Solut,22-06-2023,1027.50,8106
Aurionpro Solut,21-06-2023,1081.55,18549
Aurionpro Solut,20-06-2023,1060.60,16862
Aurionpro Solut,19-06-2023,1010.10,56086
Aurionpro Solut,16-06-2023,1020.85,6598
Aurionpro Solut,15-06-2023,1005.15,72854
Aurionpro Solut,14-06-2023,957.30,435302
Aurionpro Solut,13-06-2023,911.75,15505
Aurionpro Solut,12-06-2023,875.35,58322
