Company Name,Date,Close,Volume
BF Utilities,08-09-2023,764.20,43428
BF Utilities,07-09-2023,792.95,15872
BF Utilities,06-09-2023,755.20,21858
BF Utilities,05-09-2023,750.45,59782
BF Utilities,04-09-2023,741.20,97942
BF Utilities,01-09-2023,673.85,41754
BF Utilities,31-08-2023,689.40,129752
BF Utilities,30-08-2023,626.75,57362
BF Utilities,29-08-2023,589.30,4106
BF Utilities,28-08-2023,602.50,12092
BF Utilities,25-08-2023,591.90,26762
BF Utilities,24-08-2023,629.75,12772
BF Utilities,23-08-2023,640.65,45439
BF Utilities,22-08-2023,629.20,50173
BF Utilities,21-08-2023,628.90,93825
BF Utilities,18-08-2023,592.00,215312
BF Utilities,17-08-2023,571.90,148950
BF Utilities,16-08-2023,476.60,35887
BF Utilities,14-08-2023,466.90,50296
BF Utilities,11-08-2023,454.40,132137
BF Utilities,10-08-2023,472.70,154209
BF Utilities,09-08-2023,448.80,93716
BF Utilities,08-08-2023,429.20,185655
BF Utilities,07-08-2023,400.55,58637
BF Utilities,04-08-2023,373.35,4194
BF Utilities,03-08-2023,373.65,13039
BF Utilities,02-08-2023,379.90,16606
BF Utilities,01-08-2023,389.65,43121
BF Utilities,31-07-2023,376.95,15805
BF Utilities,28-07-2023,372.55,11864
BF Utilities,27-07-2023,375.30,10349
BF Utilities,26-07-2023,372.50,9181
BF Utilities,25-07-2023,372.20,7872
BF Utilities,24-07-2023,372.05,4190
BF Utilities,21-07-2023,376.95,18895
BF Utilities,20-07-2023,372.90,3253
BF Utilities,19-07-2023,373.55,3765
BF Utilities,18-07-2023,375.10,8135
BF Utilities,17-07-2023,377.85,4885
BF Utilities,14-07-2023,378.20,10016
BF Utilities,13-07-2023,372.55,5074
BF Utilities,12-07-2023,375.00,6080
BF Utilities,11-07-2023,379.75,4472
BF Utilities,10-07-2023,383.10,27028
BF Utilities,07-07-2023,379.75,14373
BF Utilities,06-07-2023,386.20,18843
BF Utilities,05-07-2023,387.60,91219
BF Utilities,04-07-2023,375.25,11748
BF Utilities,03-07-2023,369.95,6995
BF Utilities,30-06-2023,365.00,9177
BF Utilities,28-06-2023,363.80,6684
BF Utilities,27-06-2023,368.10,8943
BF Utilities,26-06-2023,364.75,6661
BF Utilities,23-06-2023,365.45,9565
BF Utilities,22-06-2023,375.20,28633
BF Utilities,21-06-2023,381.15,73107
BF Utilities,20-06-2023,379.60,8272
BF Utilities,19-06-2023,378.15,34551
BF Utilities,16-06-2023,372.45,13968
BF Utilities,15-06-2023,372.80,8792
BF Utilities,14-06-2023,373.75,23350
BF Utilities,13-06-2023,367.20,6487
BF Utilities,12-06-2023,363.30,14996
