Company Name,Date,Close,Volume
BLS Internation,08-09-2023,296.05,107888
BLS Internation,07-09-2023,295.20,55391
BLS Internation,06-09-2023,292.30,62076
BLS Internation,05-09-2023,294.70,84371
BLS Internation,04-09-2023,285.20,75297
BLS Internation,01-09-2023,285.60,83248
BLS Internation,31-08-2023,287.30,107768
BLS Internation,30-08-2023,286.75,181010
BLS Internation,29-08-2023,282.40,225935
BLS Internation,28-08-2023,280.20,117706
BLS Internation,25-08-2023,280.20,96763
BLS Internation,24-08-2023,280.15,77653
BLS Internation,23-08-2023,275.85,80379
BLS Internation,22-08-2023,281.50,215388
BLS Internation,21-08-2023,283.85,618635
BLS Internation,18-08-2023,259.35,532012
BLS Internation,17-08-2023,254.40,206754
BLS Internation,16-08-2023,244.25,67131
BLS Internation,14-08-2023,245.75,105483
BLS Internation,11-08-2023,249.05,89933
BLS Internation,10-08-2023,250.95,248372
BLS Internation,09-08-2023,250.60,139653
BLS Internation,08-08-2023,246.90,105261
BLS Internation,07-08-2023,245.15,181812
BLS Internation,04-08-2023,242.00,175683
BLS Internation,03-08-2023,242.45,75791
BLS Internation,02-08-2023,241.90,217878
BLS Internation,01-08-2023,243.65,295086
BLS Internation,31-07-2023,242.45,1430570
BLS Internation,28-07-2023,212.65,481958
BLS Internation,27-07-2023,214.60,62042
BLS Internation,26-07-2023,213.30,45358
BLS Internation,25-07-2023,215.60,72272
BLS Internation,24-07-2023,215.90,23221
BLS Internation,21-07-2023,216.40,32742
BLS Internation,20-07-2023,216.40,63900
BLS Internation,19-07-2023,219.20,49118
BLS Internation,18-07-2023,218.95,177132
BLS Internation,17-07-2023,221.15,142833
BLS Internation,14-07-2023,219.60,113940
BLS Internation,13-07-2023,218.65,135383
BLS Internation,12-07-2023,219.90,106007
BLS Internation,11-07-2023,215.30,231959
BLS Internation,10-07-2023,213.05,119486
BLS Internation,07-07-2023,206.70,146073
BLS Internation,06-07-2023,210.05,219456
BLS Internation,05-07-2023,210.75,3599478
BLS Internation,04-07-2023,203.60,184953
BLS Internation,03-07-2023,211.80,651791
BLS Internation,30-06-2023,207.90,490391
BLS Internation,28-06-2023,207.35,919041
BLS Internation,27-06-2023,197.20,94626
BLS Internation,26-06-2023,193.65,85487
BLS Internation,23-06-2023,193.85,966232
BLS Internation,22-06-2023,199.70,165000
BLS Internation,21-06-2023,197.30,285448
BLS Internation,20-06-2023,194.15,1369938
BLS Internation,19-06-2023,194.80,186955
BLS Internation,16-06-2023,199.30,132105
BLS Internation,15-06-2023,194.35,321390
BLS Internation,14-06-2023,194.25,651065
BLS Internation,13-06-2023,186.20,392350
BLS Internation,12-06-2023,180.90,54029
