Company Name,Date,Close,Volume
Bank of Mah,08-09-2023,42.08,2027719
Bank of Mah,07-09-2023,42.26,3920027
Bank of Mah,06-09-2023,41.12,2352831
Bank of Mah,05-09-2023,41.78,5528058
Bank of Mah,04-09-2023,41.65,10733017
Bank of Mah,01-09-2023,38.36,2875438
Bank of Mah,31-08-2023,38.75,968668
Bank of Mah,30-08-2023,38.92,1643953
Bank of Mah,29-08-2023,39.14,1295795
Bank of Mah,28-08-2023,39.39,1884554
Bank of Mah,25-08-2023,39.11,1506181
Bank of Mah,24-08-2023,39.42,3934057
Bank of Mah,23-08-2023,39.65,6346221
Bank of Mah,22-08-2023,38.17,1229869
Bank of Mah,21-08-2023,38.21,2305250
Bank of Mah,18-08-2023,38.45,3885201
Bank of Mah,17-08-2023,38.68,1926552
Bank of Mah,16-08-2023,38.36,4886600
Bank of Mah,14-08-2023,38.86,7942026
Bank of Mah,11-08-2023,37.66,6617867
Bank of Mah,10-08-2023,36.62,2724507
Bank of Mah,09-08-2023,37.27,8418166
Bank of Mah,08-08-2023,36.28,6104135
Bank of Mah,07-08-2023,33.83,1499675
Bank of Mah,04-08-2023,33.87,1213864
Bank of Mah,03-08-2023,33.84,3243246
Bank of Mah,02-08-2023,33.35,5954367
Bank of Mah,01-08-2023,34.03,5410998
Bank of Mah,31-07-2023,33.65,1558426
Bank of Mah,28-07-2023,33.82,1349013
Bank of Mah,27-07-2023,34.04,2260379
Bank of Mah,26-07-2023,34.01,2380419
Bank of Mah,25-07-2023,33.43,2071142
Bank of Mah,24-07-2023,33.65,4086529
Bank of Mah,21-07-2023,34.28,5263244
Bank of Mah,20-07-2023,32.73,5506246
Bank of Mah,19-07-2023,33.28,14207906
Bank of Mah,18-07-2023,31.50,1483826
Bank of Mah,17-07-2023,31.97,2468155
Bank of Mah,14-07-2023,31.15,2322894
Bank of Mah,13-07-2023,30.45,2202111
Bank of Mah,12-07-2023,31.99,1550623
Bank of Mah,11-07-2023,31.69,1244383
Bank of Mah,10-07-2023,31.51,1896446
Bank of Mah,07-07-2023,31.98,2443419
Bank of Mah,06-07-2023,32.29,7022666
Bank of Mah,05-07-2023,30.90,5098735
Bank of Mah,04-07-2023,30.60,4700318
Bank of Mah,03-07-2023,29.97,4546133
Bank of Mah,30-06-2023,28.90,2113896
Bank of Mah,28-06-2023,28.50,682787
Bank of Mah,27-06-2023,27.41,663739
Bank of Mah,26-06-2023,27.11,2637862
Bank of Mah,23-06-2023,27.16,1049524
Bank of Mah,22-06-2023,27.74,954085
Bank of Mah,21-06-2023,28.15,915900
Bank of Mah,20-06-2023,27.89,811203
Bank of Mah,19-06-2023,27.87,668483
Bank of Mah,16-06-2023,27.79,1087963
Bank of Mah,15-06-2023,27.94,861649
Bank of Mah,14-06-2023,28.47,1087250
Bank of Mah,13-06-2023,28.52,594002
Bank of Mah,12-06-2023,28.54,1959963
