Company Name,Date,Close,Volume
Bhagyanagar Ind,08-09-2023,91.24,58066
Bhagyanagar Ind,07-09-2023,89.89,119224
Bhagyanagar Ind,06-09-2023,78.86,112553
Bhagyanagar Ind,05-09-2023,74.11,48130
Bhagyanagar Ind,04-09-2023,74.30,56732
Bhagyanagar Ind,01-09-2023,70.03,48193
Bhagyanagar Ind,31-08-2023,65.68,10033
Bhagyanagar Ind,30-08-2023,66.05,4323
Bhagyanagar Ind,29-08-2023,66.84,3201
Bhagyanagar Ind,28-08-2023,66.66,4456
Bhagyanagar Ind,25-08-2023,65.86,11839
Bhagyanagar Ind,24-08-2023,68.08,10245
Bhagyanagar Ind,23-08-2023,67.35,10740
Bhagyanagar Ind,22-08-2023,69.54,8030
Bhagyanagar Ind,21-08-2023,69.01,9245
Bhagyanagar Ind,18-08-2023,67.09,15958
Bhagyanagar Ind,17-08-2023,66.01,16441
Bhagyanagar Ind,16-08-2023,66.88,16201
Bhagyanagar Ind,14-08-2023,68.64,6927
Bhagyanagar Ind,11-08-2023,67.46,11197
Bhagyanagar Ind,10-08-2023,70.58,15884
Bhagyanagar Ind,09-08-2023,71.72,29797
Bhagyanagar Ind,08-08-2023,68.43,24860
Bhagyanagar Ind,07-08-2023,70.69,19595
Bhagyanagar Ind,04-08-2023,71.15,28391
Bhagyanagar Ind,03-08-2023,72.52,39464
Bhagyanagar Ind,02-08-2023,69.12,26458
Bhagyanagar Ind,01-08-2023,70.15,166899
Bhagyanagar Ind,31-07-2023,67.15,225319
Bhagyanagar Ind,28-07-2023,55.96,7958
Bhagyanagar Ind,27-07-2023,56.53,3625
Bhagyanagar Ind,26-07-2023,58.10,49564
Bhagyanagar Ind,25-07-2023,54.87,20546
Bhagyanagar Ind,24-07-2023,53.82,3778
Bhagyanagar Ind,21-07-2023,53.63,6673
Bhagyanagar Ind,20-07-2023,53.47,10250
Bhagyanagar Ind,19-07-2023,54.49,7387
Bhagyanagar Ind,18-07-2023,54.27,3125
Bhagyanagar Ind,17-07-2023,54.71,15067
Bhagyanagar Ind,14-07-2023,54.50,1533
Bhagyanagar Ind,13-07-2023,54.54,12915
Bhagyanagar Ind,12-07-2023,54.86,5060
Bhagyanagar Ind,11-07-2023,54.60,5894
Bhagyanagar Ind,10-07-2023,54.55,4451
Bhagyanagar Ind,07-07-2023,55.47,5853
Bhagyanagar Ind,06-07-2023,56.68,8937
Bhagyanagar Ind,05-07-2023,55.49,5647
Bhagyanagar Ind,04-07-2023,55.58,9700
Bhagyanagar Ind,03-07-2023,55.20,7639
Bhagyanagar Ind,30-06-2023,57.01,15425
Bhagyanagar Ind,28-06-2023,55.40,14428
Bhagyanagar Ind,27-06-2023,57.37,14457
Bhagyanagar Ind,26-06-2023,54.86,1698
Bhagyanagar Ind,23-06-2023,56.43,6350
Bhagyanagar Ind,22-06-2023,55.89,101556
Bhagyanagar Ind,21-06-2023,59.17,5563
Bhagyanagar Ind,20-06-2023,56.40,2931
Bhagyanagar Ind,19-06-2023,56.92,30865
Bhagyanagar Ind,16-06-2023,56.18,21818
Bhagyanagar Ind,15-06-2023,57.98,31493
Bhagyanagar Ind,14-06-2023,56.66,32572
Bhagyanagar Ind,13-06-2023,55.13,45836
Bhagyanagar Ind,12-06-2023,49.92,4677
