Company Name,Date,Close,Volume
Bharat Elec,08-09-2023,143.25,1519676
Bharat Elec,07-09-2023,139.90,3572757
Bharat Elec,06-09-2023,138.20,417818
Bharat Elec,05-09-2023,139.65,992074
Bharat Elec,04-09-2023,140.55,1460858
Bharat Elec,01-09-2023,137.75,1749503
Bharat Elec,31-08-2023,133.20,745594
Bharat Elec,30-08-2023,134.55,592700
Bharat Elec,29-08-2023,134.60,346057
Bharat Elec,28-08-2023,134.85,687218
Bharat Elec,25-08-2023,133.35,1454862
Bharat Elec,24-08-2023,134.30,840841
Bharat Elec,23-08-2023,133.45,1127073
Bharat Elec,22-08-2023,133.20,1470932
Bharat Elec,21-08-2023,129.25,213406
Bharat Elec,18-08-2023,127.10,597454
Bharat Elec,17-08-2023,128.70,554099
Bharat Elec,16-08-2023,131.30,599074
Bharat Elec,14-08-2023,130.50,468598
Bharat Elec,11-08-2023,132.00,925874
Bharat Elec,10-08-2023,129.40,461745
Bharat Elec,09-08-2023,131.60,1417583
Bharat Elec,08-08-2023,129.20,571382
Bharat Elec,07-08-2023,128.40,531159
Bharat Elec,04-08-2023,127.55,722156
Bharat Elec,03-08-2023,124.75,803832
Bharat Elec,02-08-2023,125.40,905382
Bharat Elec,01-08-2023,130.45,784342
Bharat Elec,31-07-2023,130.65,658775
Bharat Elec,28-07-2023,130.05,3070399
Bharat Elec,27-07-2023,127.25,474523
Bharat Elec,26-07-2023,125.95,380893
Bharat Elec,25-07-2023,127.00,478139
Bharat Elec,24-07-2023,126.00,828066
Bharat Elec,21-07-2023,125.00,375095
Bharat Elec,20-07-2023,125.90,398758
Bharat Elec,19-07-2023,126.80,433119
Bharat Elec,18-07-2023,127.10,656500
Bharat Elec,17-07-2023,127.15,320066
Bharat Elec,14-07-2023,127.10,731859
Bharat Elec,13-07-2023,125.55,3082642
Bharat Elec,12-07-2023,127.60,1012933
Bharat Elec,11-07-2023,127.40,2352466
Bharat Elec,10-07-2023,123.00,328502
Bharat Elec,07-07-2023,123.95,2059736
Bharat Elec,06-07-2023,124.80,1436668
Bharat Elec,05-07-2023,121.75,650500
Bharat Elec,04-07-2023,122.05,274485
Bharat Elec,03-07-2023,123.70,1031023
Bharat Elec,30-06-2023,125.85,1848477
Bharat Elec,28-06-2023,120.60,757664
Bharat Elec,27-06-2023,118.35,1063378
Bharat Elec,26-06-2023,121.55,514362
Bharat Elec,23-06-2023,120.00,913773
Bharat Elec,22-06-2023,123.45,1314464
Bharat Elec,21-06-2023,122.80,899148
Bharat Elec,20-06-2023,125.20,475064
Bharat Elec,19-06-2023,124.80,917009
Bharat Elec,16-06-2023,125.25,1757161
Bharat Elec,15-06-2023,121.95,349111
Bharat Elec,14-06-2023,121.30,500067
Bharat Elec,13-06-2023,122.10,890479
Bharat Elec,12-06-2023,119.10,1591294
