Company Name,Date,Close,Volume
Bharat Wire Rop,08-09-2023,270.10,174575
Bharat Wire Rop,07-09-2023,245.80,14902
Bharat Wire Rop,06-09-2023,237.75,98397
Bharat Wire Rop,05-09-2023,244.90,37751
Bharat Wire Rop,04-09-2023,240.90,58719
Bharat Wire Rop,01-09-2023,241.40,59405
Bharat Wire Rop,31-08-2023,235.10,45017
Bharat Wire Rop,30-08-2023,225.20,21270
Bharat Wire Rop,29-08-2023,229.55,176238
Bharat Wire Rop,28-08-2023,227.15,65869
Bharat Wire Rop,25-08-2023,202.05,61523
Bharat Wire Rop,24-08-2023,206.00,15292
Bharat Wire Rop,23-08-2023,205.85,33733
Bharat Wire Rop,22-08-2023,208.70,26343
Bharat Wire Rop,21-08-2023,208.55,10115
Bharat Wire Rop,18-08-2023,208.05,41175
Bharat Wire Rop,17-08-2023,210.70,32730
Bharat Wire Rop,16-08-2023,209.20,55633
Bharat Wire Rop,14-08-2023,211.25,14528
Bharat Wire Rop,11-08-2023,210.25,71780
Bharat Wire Rop,10-08-2023,218.90,29067
Bharat Wire Rop,09-08-2023,221.40,43089
Bharat Wire Rop,08-08-2023,215.70,65671
Bharat Wire Rop,07-08-2023,225.05,53645
Bharat Wire Rop,04-08-2023,221.65,52689
Bharat Wire Rop,03-08-2023,206.05,73848
Bharat Wire Rop,02-08-2023,205.55,34562
Bharat Wire Rop,01-08-2023,211.45,44346
Bharat Wire Rop,31-07-2023,216.55,58182
Bharat Wire Rop,28-07-2023,209.15,46744
Bharat Wire Rop,27-07-2023,212.40,137049
Bharat Wire Rop,26-07-2023,217.15,332781
Bharat Wire Rop,25-07-2023,211.20,80469
Bharat Wire Rop,24-07-2023,203.20,71446
Bharat Wire Rop,21-07-2023,195.15,24221
Bharat Wire Rop,20-07-2023,192.80,22744
Bharat Wire Rop,19-07-2023,198.15,30207
Bharat Wire Rop,18-07-2023,198.25,86560
Bharat Wire Rop,17-07-2023,201.70,30258
Bharat Wire Rop,14-07-2023,201.75,110296
Bharat Wire Rop,13-07-2023,191.70,63145
Bharat Wire Rop,12-07-2023,195.95,50520
Bharat Wire Rop,11-07-2023,188.25,78703
Bharat Wire Rop,10-07-2023,192.10,216405
Bharat Wire Rop,07-07-2023,184.60,120210
Bharat Wire Rop,06-07-2023,175.50,19951
Bharat Wire Rop,05-07-2023,173.10,34637
Bharat Wire Rop,04-07-2023,171.50,36844
Bharat Wire Rop,03-07-2023,173.15,26966
Bharat Wire Rop,30-06-2023,175.45,20050
Bharat Wire Rop,28-06-2023,173.70,127863
Bharat Wire Rop,27-06-2023,178.20,19620
Bharat Wire Rop,26-06-2023,175.40,11304
Bharat Wire Rop,23-06-2023,174.55,22993
Bharat Wire Rop,22-06-2023,174.35,43553
Bharat Wire Rop,21-06-2023,179.10,46250
Bharat Wire Rop,20-06-2023,182.00,53205
Bharat Wire Rop,19-06-2023,173.15,81970
Bharat Wire Rop,16-06-2023,179.50,46773
Bharat Wire Rop,15-06-2023,178.15,62777
Bharat Wire Rop,14-06-2023,182.90,69977
Bharat Wire Rop,13-06-2023,186.70,56157
Bharat Wire Rop,12-06-2023,183.15,56613
