Company Name,Date,Close,Volume
Bikaji Foods,08-09-2023,527.55,40908
Bikaji Foods,07-09-2023,513.55,1596042
Bikaji Foods,06-09-2023,522.05,126103
Bikaji Foods,05-09-2023,511.70,3470501
Bikaji Foods,04-09-2023,482.20,15209
Bikaji Foods,01-09-2023,486.65,23008
Bikaji Foods,31-08-2023,497.85,50925
Bikaji Foods,30-08-2023,480.95,21973
Bikaji Foods,29-08-2023,480.75,8061
Bikaji Foods,28-08-2023,485.50,9378
Bikaji Foods,25-08-2023,473.55,26406
Bikaji Foods,24-08-2023,478.60,31649
Bikaji Foods,23-08-2023,481.50,17984
Bikaji Foods,22-08-2023,489.10,94685
Bikaji Foods,21-08-2023,480.95,22234
Bikaji Foods,18-08-2023,478.75,30528
Bikaji Foods,17-08-2023,476.30,19161
Bikaji Foods,16-08-2023,479.90,24657
Bikaji Foods,14-08-2023,487.90,11389
Bikaji Foods,11-08-2023,487.90,33149
Bikaji Foods,10-08-2023,489.90,48860
Bikaji Foods,09-08-2023,491.90,53580
Bikaji Foods,08-08-2023,481.95,3586223
Bikaji Foods,07-08-2023,482.15,57057
Bikaji Foods,04-08-2023,476.20,13797
Bikaji Foods,03-08-2023,480.90,32423
Bikaji Foods,02-08-2023,472.15,117194
Bikaji Foods,01-08-2023,484.10,23632
Bikaji Foods,31-07-2023,484.80,46152
Bikaji Foods,28-07-2023,473.70,16373
Bikaji Foods,27-07-2023,471.95,39828
Bikaji Foods,26-07-2023,474.30,42233
Bikaji Foods,25-07-2023,486.55,46399
Bikaji Foods,24-07-2023,470.85,81239
Bikaji Foods,21-07-2023,462.85,82971
Bikaji Foods,20-07-2023,454.85,104262
Bikaji Foods,19-07-2023,449.10,402877
Bikaji Foods,18-07-2023,426.35,49882
Bikaji Foods,17-07-2023,430.60,45574
Bikaji Foods,14-07-2023,429.35,98666
Bikaji Foods,13-07-2023,412.20,21169
Bikaji Foods,12-07-2023,415.85,40158
Bikaji Foods,11-07-2023,407.00,13787
Bikaji Foods,10-07-2023,409.60,9347
Bikaji Foods,07-07-2023,414.70,21241
Bikaji Foods,06-07-2023,416.10,11162
Bikaji Foods,05-07-2023,409.30,10752
Bikaji Foods,04-07-2023,408.65,12639
Bikaji Foods,03-07-2023,408.90,20532
Bikaji Foods,30-06-2023,417.65,24787
Bikaji Foods,28-06-2023,423.90,1135050
Bikaji Foods,27-06-2023,429.15,21470
Bikaji Foods,26-06-2023,418.40,25617
Bikaji Foods,23-06-2023,426.80,18230
Bikaji Foods,22-06-2023,420.70,42764
Bikaji Foods,21-06-2023,410.60,17851
Bikaji Foods,20-06-2023,416.40,10315
Bikaji Foods,19-06-2023,414.80,28663
Bikaji Foods,16-06-2023,410.25,22702
Bikaji Foods,15-06-2023,413.85,13711
Bikaji Foods,14-06-2023,415.35,13557
Bikaji Foods,13-06-2023,415.90,26590
Bikaji Foods,12-06-2023,413.85,96694
