Company Name,Date,Close,Volume
Birla Cable,08-09-2023,402.05,62155
Birla Cable,07-09-2023,423.20,3933
Birla Cable,06-09-2023,403.05,15205
Birla Cable,05-09-2023,383.90,178134
Birla Cable,04-09-2023,349.00,156003
Birla Cable,01-09-2023,330.85,58339
Birla Cable,31-08-2023,300.80,55105
Birla Cable,30-08-2023,298.80,19048
Birla Cable,29-08-2023,295.30,58618
Birla Cable,28-08-2023,299.10,65347
Birla Cable,25-08-2023,307.70,44203
Birla Cable,24-08-2023,297.15,87821
Birla Cable,23-08-2023,312.90,378754
Birla Cable,22-08-2023,285.80,263533
Birla Cable,21-08-2023,250.10,189283
Birla Cable,18-08-2023,231.70,38460
Birla Cable,17-08-2023,230.60,64758
Birla Cable,16-08-2023,236.95,48865
Birla Cable,14-08-2023,221.05,90521
Birla Cable,11-08-2023,231.65,45990
Birla Cable,10-08-2023,238.40,276005
Birla Cable,09-08-2023,252.05,566920
Birla Cable,08-08-2023,214.75,255981
Birla Cable,07-08-2023,225.40,569987
Birla Cable,04-08-2023,187.85,67303
Birla Cable,03-08-2023,185.85,54431
Birla Cable,02-08-2023,187.05,53841
Birla Cable,01-08-2023,190.20,34089
Birla Cable,31-07-2023,189.95,94785
Birla Cable,28-07-2023,186.70,8678
Birla Cable,27-07-2023,186.60,30446
Birla Cable,26-07-2023,182.90,15594
Birla Cable,25-07-2023,184.85,101299
Birla Cable,24-07-2023,189.40,91727
Birla Cable,21-07-2023,180.70,60053
Birla Cable,20-07-2023,182.25,56056
Birla Cable,19-07-2023,181.25,135548
Birla Cable,18-07-2023,168.55,14470
Birla Cable,17-07-2023,169.75,19961
Birla Cable,14-07-2023,168.65,11174
Birla Cable,13-07-2023,167.75,13803
Birla Cable,12-07-2023,168.55,12822
Birla Cable,11-07-2023,168.75,24722
Birla Cable,10-07-2023,169.65,7904
Birla Cable,07-07-2023,169.45,29127
Birla Cable,06-07-2023,172.45,25144
Birla Cable,05-07-2023,174.20,23037
Birla Cable,04-07-2023,173.00,21353
Birla Cable,03-07-2023,174.45,23357
Birla Cable,30-06-2023,168.95,16494
Birla Cable,28-06-2023,168.40,13162
Birla Cable,27-06-2023,169.90,23167
Birla Cable,26-06-2023,169.05,18910
Birla Cable,23-06-2023,168.80,24454
Birla Cable,22-06-2023,169.70,63736
Birla Cable,21-06-2023,174.00,12037
Birla Cable,20-06-2023,175.40,22277
Birla Cable,19-06-2023,173.95,25782
Birla Cable,16-06-2023,179.40,36807
Birla Cable,15-06-2023,182.80,51397
Birla Cable,14-06-2023,179.20,30310
Birla Cable,13-06-2023,180.00,43260
Birla Cable,12-06-2023,181.75,36618
