Company Name,Date,Close,Volume
Birla Corp,08-09-2023,1302.05,31459
Birla Corp,07-09-2023,1239.55,4449
Birla Corp,06-09-2023,1244.10,2381
Birla Corp,05-09-2023,1241.70,4282
Birla Corp,04-09-2023,1243.65,17489
Birla Corp,01-09-2023,1171.05,6990
Birla Corp,31-08-2023,1148.35,3553
Birla Corp,30-08-2023,1143.65,1997
Birla Corp,29-08-2023,1124.20,1217
Birla Corp,28-08-2023,1122.95,3281
Birla Corp,25-08-2023,1135.25,3628
Birla Corp,24-08-2023,1142.15,2878
Birla Corp,23-08-2023,1140.45,8453
Birla Corp,22-08-2023,1183.50,15092
Birla Corp,21-08-2023,1127.70,11821
Birla Corp,18-08-2023,1090.55,1935
Birla Corp,17-08-2023,1089.40,3266
Birla Corp,16-08-2023,1091.20,15073
Birla Corp,14-08-2023,1080.15,16911
Birla Corp,11-08-2023,1143.20,7302
Birla Corp,10-08-2023,1197.15,3185
Birla Corp,09-08-2023,1217.30,1706
Birla Corp,08-08-2023,1221.60,2669
Birla Corp,07-08-2023,1217.95,3026
Birla Corp,04-08-2023,1227.60,3270
Birla Corp,03-08-2023,1218.20,1749
Birla Corp,02-08-2023,1240.35,5907
Birla Corp,01-08-2023,1244.30,5599
Birla Corp,31-07-2023,1223.30,6544
Birla Corp,28-07-2023,1186.15,2064
Birla Corp,27-07-2023,1194.85,2718
Birla Corp,26-07-2023,1220.05,3783
Birla Corp,25-07-2023,1200.05,1851
Birla Corp,24-07-2023,1184.15,2091
Birla Corp,21-07-2023,1197.20,2419
Birla Corp,20-07-2023,1209.65,1184
Birla Corp,19-07-2023,1213.55,2400
Birla Corp,18-07-2023,1208.30,3461
Birla Corp,17-07-2023,1225.25,2104
Birla Corp,14-07-2023,1214.00,1215
Birla Corp,13-07-2023,1220.90,612
Birla Corp,12-07-2023,1228.60,1881
Birla Corp,11-07-2023,1215.15,1533
Birla Corp,10-07-2023,1203.55,2629
Birla Corp,07-07-2023,1216.55,2592
Birla Corp,06-07-2023,1249.30,4114
Birla Corp,05-07-2023,1233.85,2472
Birla Corp,04-07-2023,1213.50,3149
Birla Corp,03-07-2023,1232.70,6468
Birla Corp,30-06-2023,1242.50,4997
Birla Corp,28-06-2023,1223.00,4412
Birla Corp,27-06-2023,1248.25,2857
Birla Corp,26-06-2023,1240.65,10026
Birla Corp,23-06-2023,1224.85,7683
Birla Corp,22-06-2023,1225.65,8125
Birla Corp,21-06-2023,1242.55,19367
Birla Corp,20-06-2023,1205.80,4506
Birla Corp,19-06-2023,1192.60,6797
Birla Corp,16-06-2023,1199.65,5971
Birla Corp,15-06-2023,1228.60,9557
Birla Corp,14-06-2023,1208.75,3306
Birla Corp,13-06-2023,1186.30,15890
Birla Corp,12-06-2023,1184.85,2916
