Company Name,Date,Close,Volume
Bombay Burmah,08-09-2023,1276.40,92209
Bombay Burmah,07-09-2023,1102.00,16155
Bombay Burmah,06-09-2023,1096.20,9814
Bombay Burmah,05-09-2023,1091.00,51598
Bombay Burmah,04-09-2023,1059.65,10711
Bombay Burmah,01-09-2023,978.90,2507
Bombay Burmah,31-08-2023,998.10,9555
Bombay Burmah,30-08-2023,974.00,1143
Bombay Burmah,29-08-2023,977.65,1979
Bombay Burmah,28-08-2023,985.30,2866
Bombay Burmah,25-08-2023,993.20,1447
Bombay Burmah,24-08-2023,1022.40,8670
Bombay Burmah,23-08-2023,997.65,1398
Bombay Burmah,22-08-2023,995.40,1085
Bombay Burmah,21-08-2023,985.95,7303
Bombay Burmah,18-08-2023,991.35,73710
Bombay Burmah,17-08-2023,1012.50,10736
Bombay Burmah,16-08-2023,996.15,5423
Bombay Burmah,14-08-2023,1006.10,2766
Bombay Burmah,11-08-2023,987.75,5392
Bombay Burmah,10-08-2023,1012.75,1695
Bombay Burmah,09-08-2023,1018.85,3769
Bombay Burmah,08-08-2023,1023.20,1607
Bombay Burmah,07-08-2023,1041.20,2438
Bombay Burmah,04-08-2023,1057.45,1650
Bombay Burmah,03-08-2023,1034.35,4050
Bombay Burmah,02-08-2023,1069.25,6738
Bombay Burmah,01-08-2023,1120.45,4206
Bombay Burmah,31-07-2023,1131.35,3762
Bombay Burmah,28-07-2023,1125.40,6037
Bombay Burmah,27-07-2023,1122.85,4185
Bombay Burmah,26-07-2023,1133.35,4886
Bombay Burmah,25-07-2023,1114.35,853
Bombay Burmah,24-07-2023,1119.90,1706
Bombay Burmah,21-07-2023,1099.25,4297
Bombay Burmah,20-07-2023,1107.30,1566
Bombay Burmah,19-07-2023,1108.80,3127
Bombay Burmah,18-07-2023,1095.70,8734
Bombay Burmah,17-07-2023,1127.55,2425
Bombay Burmah,14-07-2023,1109.80,4806
Bombay Burmah,13-07-2023,1105.75,8423
Bombay Burmah,12-07-2023,1141.50,8553
Bombay Burmah,11-07-2023,1144.45,9614
Bombay Burmah,10-07-2023,1135.10,14136
Bombay Burmah,07-07-2023,1113.85,4479
Bombay Burmah,06-07-2023,1134.90,25075
Bombay Burmah,05-07-2023,1101.40,37397
Bombay Burmah,04-07-2023,1013.25,3330
Bombay Burmah,03-07-2023,1004.40,11781
Bombay Burmah,30-06-2023,1014.95,5780
Bombay Burmah,28-06-2023,1025.90,5979
Bombay Burmah,27-06-2023,1023.10,537
Bombay Burmah,26-06-2023,1022.85,11655
Bombay Burmah,23-06-2023,1008.55,7277
Bombay Burmah,22-06-2023,1031.55,6966
Bombay Burmah,21-06-2023,1047.40,3571
Bombay Burmah,20-06-2023,1054.20,3956
Bombay Burmah,19-06-2023,1046.30,9435
Bombay Burmah,16-06-2023,1056.30,11813
Bombay Burmah,15-06-2023,1054.50,12691
Bombay Burmah,14-06-2023,1052.05,16128
Bombay Burmah,13-06-2023,1055.05,108205
Bombay Burmah,12-06-2023,953.10,2510
