Company Name,Date,Close,Volume
CG Power ,08-09-2023,454.95,99935
CG Power ,07-09-2023,448.70,247756
CG Power ,06-09-2023,431.65,57869
CG Power ,05-09-2023,437.50,65020
CG Power ,04-09-2023,434.85,75819
CG Power ,01-09-2023,423.85,123960
CG Power ,31-08-2023,431.75,193681
CG Power ,30-08-2023,408.15,79558
CG Power ,29-08-2023,407.00,48336
CG Power ,28-08-2023,409.15,39715
CG Power ,25-08-2023,417.50,36750
CG Power ,24-08-2023,414.55,75001
CG Power ,23-08-2023,417.10,31682
CG Power ,22-08-2023,424.50,26664
CG Power ,21-08-2023,423.00,136271
CG Power ,18-08-2023,429.65,110517
CG Power ,17-08-2023,412.10,343777
CG Power ,16-08-2023,408.75,45927
CG Power ,14-08-2023,401.45,39400
CG Power ,11-08-2023,404.05,66569
CG Power ,10-08-2023,401.40,40603
CG Power ,09-08-2023,403.50,100063
CG Power ,08-08-2023,408.00,23298
CG Power ,07-08-2023,404.70,49687
CG Power ,04-08-2023,408.10,22166
CG Power ,03-08-2023,406.10,106748
CG Power ,02-08-2023,407.70,30214
CG Power ,01-08-2023,407.45,102258
CG Power ,31-07-2023,402.05,65293
CG Power ,28-07-2023,403.65,109101
CG Power ,27-07-2023,397.05,140233
CG Power ,26-07-2023,400.15,53047
CG Power ,25-07-2023,399.15,48270
CG Power ,24-07-2023,401.55,31916
CG Power ,21-07-2023,408.00,40903
CG Power ,20-07-2023,411.70,47715
CG Power ,19-07-2023,417.10,49241
CG Power ,18-07-2023,422.15,66595
CG Power ,17-07-2023,405.95,24429
CG Power ,14-07-2023,408.50,88140
CG Power ,13-07-2023,404.00,100165
CG Power ,12-07-2023,406.00,428218
CG Power ,11-07-2023,398.55,310662
CG Power ,10-07-2023,388.20,47563
CG Power ,07-07-2023,386.30,45026
CG Power ,06-07-2023,390.05,91337
CG Power ,05-07-2023,383.80,102676
CG Power ,04-07-2023,379.10,41321
CG Power ,03-07-2023,378.25,64068
CG Power ,30-06-2023,378.40,84965
CG Power ,28-06-2023,373.50,131410
CG Power ,27-06-2023,372.50,24387
CG Power ,26-06-2023,373.65,32422
CG Power ,23-06-2023,368.90,209453
CG Power ,22-06-2023,373.95,115857
CG Power ,21-06-2023,376.65,123935
CG Power ,20-06-2023,366.75,61898
CG Power ,19-06-2023,363.70,138656
CG Power ,16-06-2023,376.75,120323
CG Power ,15-06-2023,378.70,47064
CG Power ,14-06-2023,377.90,100124
CG Power ,13-06-2023,382.30,51527
CG Power ,12-06-2023,377.00,117987
