Company Name,Date,Close,Volume
Capacite Infra,08-09-2023,233.35,179339
Capacite Infra,07-09-2023,228.45,135288
Capacite Infra,06-09-2023,225.75,31624
Capacite Infra,05-09-2023,227.90,65246
Capacite Infra,04-09-2023,224.25,85287
Capacite Infra,01-09-2023,228.30,347255
Capacite Infra,31-08-2023,207.65,42398
Capacite Infra,30-08-2023,206.10,60187
Capacite Infra,29-08-2023,203.60,49700
Capacite Infra,28-08-2023,196.20,40450
Capacite Infra,25-08-2023,197.65,40714
Capacite Infra,24-08-2023,202.05,63153
Capacite Infra,23-08-2023,203.90,29920
Capacite Infra,22-08-2023,206.90,68899
Capacite Infra,21-08-2023,208.00,12772
Capacite Infra,18-08-2023,207.25,39642
Capacite Infra,17-08-2023,208.15,35030
Capacite Infra,16-08-2023,210.95,56530
Capacite Infra,14-08-2023,199.90,228990
Capacite Infra,11-08-2023,218.05,78981
Capacite Infra,10-08-2023,228.20,20109
Capacite Infra,09-08-2023,230.60,59049
Capacite Infra,08-08-2023,229.15,30933
Capacite Infra,07-08-2023,233.10,132307
Capacite Infra,04-08-2023,226.20,63354
Capacite Infra,03-08-2023,224.50,59757
Capacite Infra,02-08-2023,217.75,88621
Capacite Infra,01-08-2023,218.80,23878
Capacite Infra,31-07-2023,219.50,90361
Capacite Infra,28-07-2023,211.80,66350
Capacite Infra,27-07-2023,211.30,26970
Capacite Infra,26-07-2023,209.45,47100
Capacite Infra,25-07-2023,210.25,67894
Capacite Infra,24-07-2023,214.05,70143
Capacite Infra,21-07-2023,224.50,16924
Capacite Infra,20-07-2023,223.75,33985
Capacite Infra,19-07-2023,223.40,39111
Capacite Infra,18-07-2023,225.65,43791
Capacite Infra,17-07-2023,227.85,99396
Capacite Infra,14-07-2023,217.95,41038
Capacite Infra,13-07-2023,218.05,44153
Capacite Infra,12-07-2023,223.00,184656
Capacite Infra,11-07-2023,207.35,58701
Capacite Infra,10-07-2023,212.30,72501
Capacite Infra,07-07-2023,218.45,55145
Capacite Infra,06-07-2023,225.90,95048
Capacite Infra,05-07-2023,219.75,161977
Capacite Infra,04-07-2023,208.70,44768
Capacite Infra,03-07-2023,212.40,93326
Capacite Infra,30-06-2023,206.30,48026
Capacite Infra,28-06-2023,204.40,49606
Capacite Infra,27-06-2023,203.90,78101
Capacite Infra,26-06-2023,201.70,167960
Capacite Infra,23-06-2023,189.10,99678
Capacite Infra,22-06-2023,193.70,44336
Capacite Infra,21-06-2023,200.40,102828
Capacite Infra,20-06-2023,198.85,99023
Capacite Infra,19-06-2023,206.50,108144
Capacite Infra,16-06-2023,205.95,151616
Capacite Infra,15-06-2023,208.05,300401
Capacite Infra,14-06-2023,204.55,173185
Capacite Infra,13-06-2023,205.25,3852323
Capacite Infra,12-06-2023,195.65,96645
