Company Name,Date,Close,Volume
Castrol,08-09-2023,156.25,128433
Castrol,07-09-2023,160.00,560660
Castrol,06-09-2023,155.25,1052772
Castrol,05-09-2023,149.05,343150
Castrol,04-09-2023,143.45,57906
Castrol,01-09-2023,142.90,95317
Castrol,31-08-2023,144.75,121394
Castrol,30-08-2023,143.60,49149
Castrol,29-08-2023,143.10,83001
Castrol,28-08-2023,144.05,85125
Castrol,25-08-2023,145.00,284821
Castrol,24-08-2023,141.80,120535
Castrol,23-08-2023,144.30,83890
Castrol,22-08-2023,145.15,51078
Castrol,21-08-2023,146.55,74539
Castrol,18-08-2023,146.80,163690
Castrol,17-08-2023,144.15,72450
Castrol,16-08-2023,147.55,66548
Castrol,14-08-2023,149.00,152038
Castrol,11-08-2023,151.60,107380
Castrol,10-08-2023,155.30,380922
Castrol,09-08-2023,152.60,415773
Castrol,08-08-2023,147.60,97096
Castrol,07-08-2023,152.25,297845
Castrol,04-08-2023,151.95,511116
Castrol,03-08-2023,141.30,87231
Castrol,02-08-2023,140.65,117352
Castrol,01-08-2023,144.30,212128
Castrol,31-07-2023,144.85,451821
Castrol,28-07-2023,147.50,402537
Castrol,27-07-2023,145.50,162073
Castrol,26-07-2023,144.80,297670
Castrol,25-07-2023,136.80,90603
Castrol,24-07-2023,134.90,142600
Castrol,21-07-2023,134.50,112052
Castrol,20-07-2023,131.00,86362
Castrol,19-07-2023,132.20,143500
Castrol,18-07-2023,129.65,83491
Castrol,17-07-2023,131.40,91625
Castrol,14-07-2023,132.00,65293
Castrol,13-07-2023,131.60,162961
Castrol,12-07-2023,134.15,298704
Castrol,11-07-2023,133.30,385261
Castrol,10-07-2023,125.75,122142
Castrol,07-07-2023,128.05,112663
Castrol,06-07-2023,124.85,58607
Castrol,05-07-2023,124.40,84255
Castrol,04-07-2023,123.70,57381
Castrol,03-07-2023,122.40,72750
Castrol,30-06-2023,120.80,67095
Castrol,28-06-2023,121.95,31242
Castrol,27-06-2023,121.45,29154
Castrol,26-06-2023,120.85,62949
Castrol,23-06-2023,120.40,84112
Castrol,22-06-2023,121.85,184192
Castrol,21-06-2023,125.60,164145
Castrol,20-06-2023,123.50,217263
Castrol,19-06-2023,121.90,71914
Castrol,16-06-2023,120.20,87452
Castrol,15-06-2023,119.65,170000
Castrol,14-06-2023,119.45,157400
Castrol,13-06-2023,118.45,370704
Castrol,12-06-2023,116.20,312084
