Company Name,Date,Close,Volume
Century Extr,08-09-2023,19.83,633149
Century Extr,07-09-2023,19.46,964292
Century Extr,06-09-2023,17.85,187934
Century Extr,05-09-2023,16.23,600624
Century Extr,04-09-2023,13.53,499477
Century Extr,01-09-2023,11.28,123454
Century Extr,31-08-2023,10.71,20806
Century Extr,30-08-2023,10.83,33812
Century Extr,29-08-2023,10.75,26649
Century Extr,28-08-2023,10.70,30057
Century Extr,25-08-2023,10.58,12000
Century Extr,24-08-2023,10.79,20412
Century Extr,23-08-2023,10.73,56635
Century Extr,22-08-2023,10.90,27508
Century Extr,21-08-2023,10.75,34852
Century Extr,18-08-2023,10.69,41386
Century Extr,17-08-2023,11.13,57818
Century Extr,16-08-2023,11.31,158915
Century Extr,14-08-2023,11.30,109329
Century Extr,11-08-2023,11.12,30377
Century Extr,10-08-2023,10.86,22211
Century Extr,09-08-2023,10.69,185209
Century Extr,08-08-2023,10.76,210023
Century Extr,07-08-2023,10.42,82605
Century Extr,04-08-2023,10.17,48964
Century Extr,03-08-2023,10.22,10664
Century Extr,02-08-2023,10.13,22565
Century Extr,01-08-2023,10.25,16751
Century Extr,31-07-2023,10.19,32037
Century Extr,28-07-2023,10.23,11358
Century Extr,27-07-2023,10.33,251191
Century Extr,26-07-2023,10.37,25778
Century Extr,25-07-2023,10.14,50333
Century Extr,24-07-2023,10.20,24333
Century Extr,21-07-2023,10.36,30872
Century Extr,20-07-2023,10.57,70815
Century Extr,19-07-2023,10.51,89472
Century Extr,18-07-2023,10.64,243599
Century Extr,17-07-2023,10.52,62065
Century Extr,14-07-2023,10.33,114196
Century Extr,13-07-2023,9.81,32601
Century Extr,12-07-2023,9.88,12375
Century Extr,11-07-2023,9.95,21943
Century Extr,10-07-2023,9.97,22616
Century Extr,07-07-2023,9.99,10152
Century Extr,06-07-2023,9.99,10108
Century Extr,05-07-2023,10.03,31926
Century Extr,04-07-2023,10.10,87053
Century Extr,03-07-2023,9.93,11859
Century Extr,30-06-2023,9.82,27904
Century Extr,28-06-2023,9.86,17292
Century Extr,27-06-2023,9.92,11323
Century Extr,26-06-2023,9.82,14102
Century Extr,23-06-2023,9.75,21509
Century Extr,22-06-2023,9.94,12471
Century Extr,21-06-2023,10.00,2512
Century Extr,20-06-2023,9.93,49694
Century Extr,19-06-2023,10.00,31162
Century Extr,16-06-2023,10.12,5348
Century Extr,15-06-2023,9.99,34694
Century Extr,14-06-2023,10.15,15358
Century Extr,13-06-2023,10.14,25628
Century Extr,12-06-2023,10.31,15836
