Company Name,Date,Close,Volume
Chalet Hotels,08-09-2023,565.70,32525
Chalet Hotels,07-09-2023,546.25,2801
Chalet Hotels,06-09-2023,538.90,13838
Chalet Hotels,05-09-2023,529.50,10984
Chalet Hotels,04-09-2023,536.10,4507
Chalet Hotels,01-09-2023,540.30,7030
Chalet Hotels,31-08-2023,551.05,23782
Chalet Hotels,30-08-2023,542.10,17469
Chalet Hotels,29-08-2023,523.90,1439
Chalet Hotels,28-08-2023,522.80,14855
Chalet Hotels,25-08-2023,522.60,4390
Chalet Hotels,24-08-2023,521.65,16716
Chalet Hotels,23-08-2023,521.10,24345
Chalet Hotels,22-08-2023,529.75,50642
Chalet Hotels,21-08-2023,503.70,7311
Chalet Hotels,18-08-2023,489.70,2632
Chalet Hotels,17-08-2023,482.00,3058
Chalet Hotels,16-08-2023,478.25,15456
Chalet Hotels,14-08-2023,484.70,10929
Chalet Hotels,11-08-2023,492.65,15155
Chalet Hotels,10-08-2023,484.65,20067
Chalet Hotels,09-08-2023,507.55,39382
Chalet Hotels,08-08-2023,478.90,13248
Chalet Hotels,07-08-2023,474.30,8600
Chalet Hotels,04-08-2023,486.20,13385
Chalet Hotels,03-08-2023,470.05,14546
Chalet Hotels,02-08-2023,482.25,10740
Chalet Hotels,01-08-2023,482.25,8941
Chalet Hotels,31-07-2023,489.20,27842
Chalet Hotels,28-07-2023,475.15,10715
Chalet Hotels,27-07-2023,488.15,10833
Chalet Hotels,26-07-2023,465.80,3151
Chalet Hotels,25-07-2023,468.75,7127
Chalet Hotels,24-07-2023,465.05,3580
Chalet Hotels,21-07-2023,457.95,19941
Chalet Hotels,20-07-2023,458.40,5700
Chalet Hotels,19-07-2023,460.45,7236
Chalet Hotels,18-07-2023,468.20,10497
Chalet Hotels,17-07-2023,459.00,5012
Chalet Hotels,14-07-2023,451.25,5760
Chalet Hotels,13-07-2023,456.50,3315
Chalet Hotels,12-07-2023,458.05,8575
Chalet Hotels,11-07-2023,449.05,8114
Chalet Hotels,10-07-2023,450.45,20281
Chalet Hotels,07-07-2023,450.45,7541
Chalet Hotels,06-07-2023,442.15,2450
Chalet Hotels,05-07-2023,443.00,16205
Chalet Hotels,04-07-2023,434.65,8439
Chalet Hotels,03-07-2023,440.50,33552
Chalet Hotels,30-06-2023,429.40,7764
Chalet Hotels,28-06-2023,426.90,13320
Chalet Hotels,27-06-2023,418.75,16271
Chalet Hotels,26-06-2023,415.35,5237
Chalet Hotels,23-06-2023,406.35,27776
Chalet Hotels,22-06-2023,410.30,14075
Chalet Hotels,21-06-2023,419.05,4552
Chalet Hotels,20-06-2023,418.95,20883
Chalet Hotels,19-06-2023,419.20,14306
Chalet Hotels,16-06-2023,428.35,11371
Chalet Hotels,15-06-2023,422.40,6610
Chalet Hotels,14-06-2023,430.40,2587
Chalet Hotels,13-06-2023,430.85,4378
Chalet Hotels,12-06-2023,427.50,22511
