Company Name,Date,Close,Volume
Cochin Shipyard,08-09-2023,1209.30,839746
Cochin Shipyard,07-09-2023,1146.15,835808
Cochin Shipyard,06-09-2023,955.15,63381
Cochin Shipyard,05-09-2023,953.00,300765
Cochin Shipyard,04-09-2023,915.85,136648
Cochin Shipyard,01-09-2023,907.10,127017
Cochin Shipyard,31-08-2023,905.55,435991
Cochin Shipyard,30-08-2023,869.75,241541
Cochin Shipyard,29-08-2023,845.05,22115
Cochin Shipyard,28-08-2023,847.45,59447
Cochin Shipyard,25-08-2023,839.35,51840
Cochin Shipyard,24-08-2023,848.45,130905
Cochin Shipyard,23-08-2023,867.60,196321
Cochin Shipyard,22-08-2023,825.05,63909
Cochin Shipyard,21-08-2023,828.45,275627
Cochin Shipyard,18-08-2023,843.60,462476
Cochin Shipyard,17-08-2023,875.25,1064708
Cochin Shipyard,16-08-2023,807.65,1043043
Cochin Shipyard,14-08-2023,687.90,213616
Cochin Shipyard,11-08-2023,645.70,87698
Cochin Shipyard,10-08-2023,658.80,30031
Cochin Shipyard,09-08-2023,659.90,12496
Cochin Shipyard,08-08-2023,665.75,43253
Cochin Shipyard,07-08-2023,660.85,42397
Cochin Shipyard,04-08-2023,670.80,12890
Cochin Shipyard,03-08-2023,665.95,27572
Cochin Shipyard,02-08-2023,665.65,45266
Cochin Shipyard,01-08-2023,670.15,99019
Cochin Shipyard,31-07-2023,668.95,35930
Cochin Shipyard,28-07-2023,680.95,33069
Cochin Shipyard,27-07-2023,670.35,32312
Cochin Shipyard,26-07-2023,680.90,130868
Cochin Shipyard,25-07-2023,688.25,215695
Cochin Shipyard,24-07-2023,680.65,143323
Cochin Shipyard,21-07-2023,668.30,109170
Cochin Shipyard,20-07-2023,666.65,349637
Cochin Shipyard,19-07-2023,656.00,30872
Cochin Shipyard,18-07-2023,660.15,101374
Cochin Shipyard,17-07-2023,658.90,286179
Cochin Shipyard,14-07-2023,629.50,83406
Cochin Shipyard,13-07-2023,637.55,97008
Cochin Shipyard,12-07-2023,642.15,288819
Cochin Shipyard,11-07-2023,646.45,946114
Cochin Shipyard,10-07-2023,583.15,43028
Cochin Shipyard,07-07-2023,578.95,44667
Cochin Shipyard,06-07-2023,576.05,18662
Cochin Shipyard,05-07-2023,561.90,15425
Cochin Shipyard,04-07-2023,559.15,44731
Cochin Shipyard,03-07-2023,567.35,15515
Cochin Shipyard,30-06-2023,565.30,35578
Cochin Shipyard,28-06-2023,563.00,73640
Cochin Shipyard,27-06-2023,580.65,31727
Cochin Shipyard,26-06-2023,585.90,76920
Cochin Shipyard,23-06-2023,572.40,73852
Cochin Shipyard,22-06-2023,584.80,39144
Cochin Shipyard,21-06-2023,586.55,175617
Cochin Shipyard,20-06-2023,596.10,120043
Cochin Shipyard,19-06-2023,593.10,263336
Cochin Shipyard,16-06-2023,579.30,259129
Cochin Shipyard,15-06-2023,557.15,117195
Cochin Shipyard,14-06-2023,549.10,21739
Cochin Shipyard,13-06-2023,551.15,119574
Cochin Shipyard,12-06-2023,558.20,221176
