Company Name,Date,Close,Volume
Deepak Nitrite,08-09-2023,2317.00,20192
Deepak Nitrite,07-09-2023,2338.25,79115
Deepak Nitrite,06-09-2023,2293.70,14231
Deepak Nitrite,05-09-2023,2280.25,24927
Deepak Nitrite,04-09-2023,2242.50,12968
Deepak Nitrite,01-09-2023,2224.15,14316
Deepak Nitrite,31-08-2023,2219.75,18948
Deepak Nitrite,30-08-2023,2217.15,59624
Deepak Nitrite,29-08-2023,2168.10,196415
Deepak Nitrite,28-08-2023,2038.60,8226
Deepak Nitrite,25-08-2023,2018.20,17416
Deepak Nitrite,24-08-2023,2026.80,45611
Deepak Nitrite,23-08-2023,1995.30,39096
Deepak Nitrite,22-08-2023,1994.60,26669
Deepak Nitrite,21-08-2023,2006.05,23355
Deepak Nitrite,18-08-2023,1995.50,37459
Deepak Nitrite,17-08-2023,1998.85,11752
Deepak Nitrite,16-08-2023,2042.70,8950
Deepak Nitrite,14-08-2023,2053.60,10235
Deepak Nitrite,11-08-2023,2083.10,10950
Deepak Nitrite,10-08-2023,2064.45,12766
Deepak Nitrite,09-08-2023,2064.60,60091
Deepak Nitrite,08-08-2023,2092.35,26046
Deepak Nitrite,07-08-2023,2045.80,21499
Deepak Nitrite,04-08-2023,2039.00,65149
Deepak Nitrite,03-08-2023,2024.85,14887
Deepak Nitrite,02-08-2023,2012.40,21644
Deepak Nitrite,01-08-2023,2044.20,22570
Deepak Nitrite,31-07-2023,2009.75,8152
Deepak Nitrite,28-07-2023,2012.10,12782
Deepak Nitrite,27-07-2023,1977.15,36896
Deepak Nitrite,26-07-2023,2006.15,12823
Deepak Nitrite,25-07-2023,2007.70,16557
Deepak Nitrite,24-07-2023,1988.40,41327
Deepak Nitrite,21-07-2023,1978.85,36880
Deepak Nitrite,20-07-2023,1992.30,26420
Deepak Nitrite,19-07-2023,1992.70,14302
Deepak Nitrite,18-07-2023,1975.80,23271
Deepak Nitrite,17-07-2023,1987.40,61030
Deepak Nitrite,14-07-2023,1943.85,115563
Deepak Nitrite,13-07-2023,1925.30,81194
Deepak Nitrite,12-07-2023,1935.70,61268
Deepak Nitrite,11-07-2023,1933.15,84669
Deepak Nitrite,10-07-2023,1986.80,103787
Deepak Nitrite,07-07-2023,2062.75,65498
Deepak Nitrite,06-07-2023,2135.95,18607
Deepak Nitrite,05-07-2023,2130.50,44141
Deepak Nitrite,04-07-2023,2170.85,23157
Deepak Nitrite,03-07-2023,2165.90,20731
Deepak Nitrite,30-06-2023,2173.45,30386
Deepak Nitrite,28-06-2023,2177.90,10203
Deepak Nitrite,27-06-2023,2199.10,31926
Deepak Nitrite,26-06-2023,2234.95,15385
Deepak Nitrite,23-06-2023,2207.25,33630
Deepak Nitrite,22-06-2023,2267.40,16397
Deepak Nitrite,21-06-2023,2258.95,17128
Deepak Nitrite,20-06-2023,2242.55,108915
Deepak Nitrite,19-06-2023,2174.80,27575
Deepak Nitrite,16-06-2023,2162.90,62291
Deepak Nitrite,15-06-2023,2137.95,43863
Deepak Nitrite,14-06-2023,2113.90,110448
Deepak Nitrite,13-06-2023,2069.75,22746
Deepak Nitrite,12-06-2023,2027.50,28626
