Company Name,Date,Close,Volume
Devyani Int,08-09-2023,222.40,111327
Devyani Int,07-09-2023,224.40,783912
Devyani Int,06-09-2023,212.25,134768
Devyani Int,05-09-2023,215.35,939384
Devyani Int,04-09-2023,198.55,30199
Devyani Int,01-09-2023,196.95,36961
Devyani Int,31-08-2023,195.25,135923
Devyani Int,30-08-2023,194.85,108246
Devyani Int,29-08-2023,191.25,69591
Devyani Int,28-08-2023,193.20,113710
Devyani Int,25-08-2023,191.40,82563
Devyani Int,24-08-2023,193.60,64481
Devyani Int,23-08-2023,195.20,34386
Devyani Int,22-08-2023,195.80,33594
Devyani Int,21-08-2023,194.80,38987
Devyani Int,18-08-2023,197.40,23487
Devyani Int,17-08-2023,199.70,42574
Devyani Int,16-08-2023,199.25,144610
Devyani Int,14-08-2023,197.55,84214
Devyani Int,11-08-2023,198.45,262487
Devyani Int,10-08-2023,196.00,48123
Devyani Int,09-08-2023,193.50,88681
Devyani Int,08-08-2023,194.45,124687
Devyani Int,07-08-2023,190.35,114420
Devyani Int,04-08-2023,188.70,454645
Devyani Int,03-08-2023,194.20,38967
Devyani Int,02-08-2023,193.85,45334
Devyani Int,01-08-2023,193.80,72994
Devyani Int,31-07-2023,193.35,32493
Devyani Int,28-07-2023,196.85,93060
Devyani Int,27-07-2023,194.25,50759
Devyani Int,26-07-2023,194.90,134229
Devyani Int,25-07-2023,198.45,39155
Devyani Int,24-07-2023,195.30,25837
Devyani Int,21-07-2023,197.85,166645
Devyani Int,20-07-2023,195.45,64569
Devyani Int,19-07-2023,199.65,334640
Devyani Int,18-07-2023,196.00,106155
Devyani Int,17-07-2023,194.05,25872
Devyani Int,14-07-2023,193.30,41820
Devyani Int,13-07-2023,194.05,86034
Devyani Int,12-07-2023,191.90,52770
Devyani Int,11-07-2023,189.60,25541
Devyani Int,10-07-2023,189.95,102205
Devyani Int,07-07-2023,191.55,38768
Devyani Int,06-07-2023,191.90,209237
Devyani Int,05-07-2023,189.70,36973
Devyani Int,04-07-2023,187.90,24968
Devyani Int,03-07-2023,187.85,59375
Devyani Int,30-06-2023,188.15,130283
Devyani Int,28-06-2023,188.70,31831
Devyani Int,27-06-2023,189.75,57720
Devyani Int,26-06-2023,194.25,110993
Devyani Int,23-06-2023,188.75,86992
Devyani Int,22-06-2023,190.75,35200
Devyani Int,21-06-2023,190.15,60306
Devyani Int,20-06-2023,193.00,33592
Devyani Int,19-06-2023,194.75,294028
Devyani Int,16-06-2023,192.05,74921
Devyani Int,15-06-2023,189.70,97462
Devyani Int,14-06-2023,188.10,278962
Devyani Int,13-06-2023,192.75,742634
Devyani Int,12-06-2023,178.45,53059
