Company Name,Date,Close,Volume
Dhanuka Agritec,08-09-2023,840.45,16672
Dhanuka Agritec,07-09-2023,824.35,16790
Dhanuka Agritec,06-09-2023,791.10,1288
Dhanuka Agritec,05-09-2023,782.05,3023
Dhanuka Agritec,04-09-2023,780.35,2704
Dhanuka Agritec,01-09-2023,789.10,1821
Dhanuka Agritec,31-08-2023,790.50,3503
Dhanuka Agritec,30-08-2023,791.80,1305
Dhanuka Agritec,29-08-2023,784.25,4071
Dhanuka Agritec,28-08-2023,780.10,2009
Dhanuka Agritec,25-08-2023,780.00,3629
Dhanuka Agritec,24-08-2023,788.85,2717
Dhanuka Agritec,23-08-2023,788.30,927
Dhanuka Agritec,22-08-2023,789.05,4642
Dhanuka Agritec,21-08-2023,778.30,4004
Dhanuka Agritec,18-08-2023,771.35,1187
Dhanuka Agritec,17-08-2023,782.05,1610
Dhanuka Agritec,16-08-2023,791.50,5896
Dhanuka Agritec,14-08-2023,779.55,1701
Dhanuka Agritec,11-08-2023,772.05,1939
Dhanuka Agritec,10-08-2023,765.75,457
Dhanuka Agritec,09-08-2023,765.35,2628
Dhanuka Agritec,08-08-2023,769.00,2507
Dhanuka Agritec,07-08-2023,762.95,1090
Dhanuka Agritec,04-08-2023,768.20,1896
Dhanuka Agritec,03-08-2023,754.60,3791
Dhanuka Agritec,02-08-2023,745.25,9424
Dhanuka Agritec,01-08-2023,757.65,891
Dhanuka Agritec,31-07-2023,755.55,3191
Dhanuka Agritec,28-07-2023,753.50,809
Dhanuka Agritec,27-07-2023,764.30,1482
Dhanuka Agritec,26-07-2023,771.85,1142
Dhanuka Agritec,25-07-2023,774.75,4007
Dhanuka Agritec,24-07-2023,774.20,1247
Dhanuka Agritec,21-07-2023,776.65,258
Dhanuka Agritec,20-07-2023,777.20,1208
Dhanuka Agritec,19-07-2023,776.40,1210
Dhanuka Agritec,18-07-2023,778.00,2407
Dhanuka Agritec,17-07-2023,776.95,2594
Dhanuka Agritec,14-07-2023,775.15,1967
Dhanuka Agritec,13-07-2023,774.50,2708
Dhanuka Agritec,12-07-2023,777.65,1078
Dhanuka Agritec,11-07-2023,775.15,4489
Dhanuka Agritec,10-07-2023,778.75,5410
Dhanuka Agritec,07-07-2023,790.95,2886
Dhanuka Agritec,06-07-2023,790.00,4211
Dhanuka Agritec,05-07-2023,790.30,3366
Dhanuka Agritec,04-07-2023,798.00,708
Dhanuka Agritec,03-07-2023,799.45,2025
Dhanuka Agritec,30-06-2023,796.00,4587
Dhanuka Agritec,28-06-2023,800.00,2625
Dhanuka Agritec,27-06-2023,794.95,2186
Dhanuka Agritec,26-06-2023,789.95,2037
Dhanuka Agritec,23-06-2023,781.40,5771
Dhanuka Agritec,22-06-2023,788.15,1415
Dhanuka Agritec,21-06-2023,806.05,5007
Dhanuka Agritec,20-06-2023,805.10,5096
Dhanuka Agritec,19-06-2023,800.40,6407
Dhanuka Agritec,16-06-2023,792.50,1154
Dhanuka Agritec,15-06-2023,789.55,4099
Dhanuka Agritec,14-06-2023,789.45,9558
Dhanuka Agritec,13-06-2023,794.35,8359
Dhanuka Agritec,12-06-2023,791.15,1823
