Company Name,Date,Close,Volume
Dolphin Offshor,08-09-2023,260.40,29
Dolphin Offshor,07-09-2023,248.00,26
Dolphin Offshor,06-09-2023,236.20,23
Dolphin Offshor,05-09-2023,214.75,40
Dolphin Offshor,04-09-2023,195.25,41
Dolphin Offshor,01-09-2023,177.50,91
Dolphin Offshor,31-08-2023,169.05,30
Dolphin Offshor,30-08-2023,161.00,26
Dolphin Offshor,29-08-2023,153.34,75
Dolphin Offshor,28-08-2023,146.04,8
Dolphin Offshor,25-08-2023,139.09,32
Dolphin Offshor,24-08-2023,132.47,13
Dolphin Offshor,23-08-2023,126.17,36
Dolphin Offshor,22-08-2023,120.17,39
