Company Name,Date,Close,Volume
Donear Ind,08-09-2023,116.15,295272
Donear Ind,07-09-2023,116.65,391973
Donear Ind,06-09-2023,102.70,22807
Donear Ind,05-09-2023,103.00,50140
Donear Ind,04-09-2023,102.25,22732
Donear Ind,01-09-2023,104.65,55482
Donear Ind,31-08-2023,104.94,121134
Donear Ind,30-08-2023,94.49,8466
Donear Ind,29-08-2023,94.11,4544
Donear Ind,28-08-2023,93.47,7382
Donear Ind,25-08-2023,94.55,12703
Donear Ind,24-08-2023,95.33,14694
Donear Ind,23-08-2023,94.18,3084
Donear Ind,22-08-2023,96.09,24281
Donear Ind,21-08-2023,96.26,52417
Donear Ind,18-08-2023,89.63,2822
Donear Ind,17-08-2023,91.32,2899
Donear Ind,16-08-2023,91.63,6540
Donear Ind,14-08-2023,92.26,2759
Donear Ind,11-08-2023,91.18,3957
Donear Ind,10-08-2023,92.45,17679
Donear Ind,09-08-2023,93.33,6356
Donear Ind,08-08-2023,93.25,14423
Donear Ind,07-08-2023,91.78,14635
Donear Ind,04-08-2023,92.86,13151
Donear Ind,03-08-2023,91.99,3399
Donear Ind,02-08-2023,92.57,9497
Donear Ind,01-08-2023,93.90,23186
Donear Ind,31-07-2023,92.81,9540
Donear Ind,28-07-2023,94.01,18304
Donear Ind,27-07-2023,94.50,1531
Donear Ind,26-07-2023,94.96,19299
Donear Ind,25-07-2023,95.08,5304
Donear Ind,24-07-2023,94.21,2182
Donear Ind,21-07-2023,94.10,81334
Donear Ind,20-07-2023,96.33,17972
Donear Ind,19-07-2023,96.66,13144
Donear Ind,18-07-2023,97.08,27381
Donear Ind,17-07-2023,98.92,24331
Donear Ind,14-07-2023,97.96,2395
Donear Ind,13-07-2023,96.05,13480
Donear Ind,12-07-2023,99.86,17162
Donear Ind,11-07-2023,100.27,28579
Donear Ind,10-07-2023,93.34,15172
Donear Ind,07-07-2023,96.48,38176
Donear Ind,06-07-2023,96.71,15325
Donear Ind,05-07-2023,97.02,6851
Donear Ind,04-07-2023,97.68,19070
Donear Ind,03-07-2023,98.70,60513
Donear Ind,30-06-2023,96.67,9641
Donear Ind,28-06-2023,93.71,4701
Donear Ind,27-06-2023,95.81,11304
Donear Ind,26-06-2023,93.46,6922
Donear Ind,23-06-2023,92.62,18349
Donear Ind,22-06-2023,94.51,19980
Donear Ind,21-06-2023,95.25,4355
Donear Ind,20-06-2023,96.91,12123
Donear Ind,19-06-2023,99.34,82406
Donear Ind,16-06-2023,90.02,11407
Donear Ind,15-06-2023,89.69,7054
Donear Ind,14-06-2023,91.71,8885
Donear Ind,13-06-2023,91.08,4451
Donear Ind,12-06-2023,92.05,5948
