Company Name,Date,Close,Volume
Eimco Elecon,08-09-2023,919.60,2004
Eimco Elecon,07-09-2023,893.00,562
Eimco Elecon,06-09-2023,850.50,184
Eimco Elecon,05-09-2023,886.00,785
Eimco Elecon,04-09-2023,850.05,856
Eimco Elecon,01-09-2023,863.10,1279
Eimco Elecon,31-08-2023,866.70,1495
Eimco Elecon,30-08-2023,831.45,753
Eimco Elecon,29-08-2023,791.95,1813
Eimco Elecon,28-08-2023,754.25,3115
Eimco Elecon,25-08-2023,718.35,250
Eimco Elecon,24-08-2023,733.00,2102
Eimco Elecon,23-08-2023,733.00,296
Eimco Elecon,22-08-2023,746.90,1081
Eimco Elecon,21-08-2023,734.55,227
Eimco Elecon,18-08-2023,745.00,975
Eimco Elecon,17-08-2023,745.00,411
Eimco Elecon,16-08-2023,745.00,2296
Eimco Elecon,14-08-2023,734.00,918
Eimco Elecon,11-08-2023,745.20,405
Eimco Elecon,10-08-2023,750.00,595
Eimco Elecon,09-08-2023,740.00,424
Eimco Elecon,08-08-2023,738.00,704
Eimco Elecon,07-08-2023,735.00,1163
Eimco Elecon,04-08-2023,721.50,1259
Eimco Elecon,03-08-2023,725.05,932
Eimco Elecon,02-08-2023,739.80,519
Eimco Elecon,01-08-2023,754.80,1930
Eimco Elecon,31-07-2023,770.20,3258
Eimco Elecon,28-07-2023,768.00,1521
Eimco Elecon,27-07-2023,764.95,466
Eimco Elecon,26-07-2023,754.80,433
Eimco Elecon,25-07-2023,770.20,703
Eimco Elecon,24-07-2023,785.90,602
Eimco Elecon,21-07-2023,801.90,11637
Eimco Elecon,20-07-2023,775.85,5757
Eimco Elecon,19-07-2023,749.25,3115
Eimco Elecon,18-07-2023,713.60,12322
Eimco Elecon,17-07-2023,687.20,5357
Eimco Elecon,14-07-2023,654.50,3368
Eimco Elecon,13-07-2023,663.40,3321
Eimco Elecon,12-07-2023,698.30,4022
Eimco Elecon,11-07-2023,690.05,14181
Eimco Elecon,10-07-2023,674.35,2473
Eimco Elecon,07-07-2023,642.25,2491
Eimco Elecon,06-07-2023,644.05,670
Eimco Elecon,05-07-2023,635.55,5948
Eimco Elecon,04-07-2023,636.70,10138
Eimco Elecon,03-07-2023,609.75,3237
Eimco Elecon,30-06-2023,595.85,489
Eimco Elecon,28-06-2023,605.55,2718
Eimco Elecon,27-06-2023,599.30,2542
Eimco Elecon,26-06-2023,599.30,1549
Eimco Elecon,23-06-2023,590.75,913
Eimco Elecon,22-06-2023,591.90,743
Eimco Elecon,21-06-2023,602.40,666
Eimco Elecon,20-06-2023,621.90,974
Eimco Elecon,19-06-2023,594.25,968
Eimco Elecon,16-06-2023,621.10,1657
Eimco Elecon,15-06-2023,637.90,877
Eimco Elecon,14-06-2023,638.10,1841
Eimco Elecon,13-06-2023,657.00,2467
Eimco Elecon,12-06-2023,650.00,7591
