Company Name,Date,Close,Volume
Emmbi Ind,08-09-2023,112.09,137151
Emmbi Ind,07-09-2023,99.73,84612
Emmbi Ind,06-09-2023,92.54,9283
Emmbi Ind,05-09-2023,91.00,4965
Emmbi Ind,04-09-2023,89.07,12311
Emmbi Ind,01-09-2023,88.54,4485
Emmbi Ind,31-08-2023,88.83,2853
Emmbi Ind,30-08-2023,89.99,11906
Emmbi Ind,29-08-2023,86.59,855
Emmbi Ind,28-08-2023,87.01,1645
Emmbi Ind,25-08-2023,87.65,602
Emmbi Ind,24-08-2023,88.55,3212
Emmbi Ind,23-08-2023,87.76,4938
Emmbi Ind,22-08-2023,88.30,6281
Emmbi Ind,21-08-2023,85.15,2856
Emmbi Ind,18-08-2023,84.98,21067
Emmbi Ind,17-08-2023,84.49,4145
Emmbi Ind,16-08-2023,85.18,22624
Emmbi Ind,14-08-2023,83.96,8225
Emmbi Ind,11-08-2023,87.60,603
Emmbi Ind,10-08-2023,87.95,1427
Emmbi Ind,09-08-2023,87.35,9892
Emmbi Ind,08-08-2023,88.00,1056
Emmbi Ind,07-08-2023,88.71,12025
Emmbi Ind,04-08-2023,88.08,2475
Emmbi Ind,03-08-2023,89.20,625
Emmbi Ind,02-08-2023,89.10,3218
Emmbi Ind,01-08-2023,88.63,1965
Emmbi Ind,31-07-2023,90.37,4553
Emmbi Ind,28-07-2023,91.89,1078
Emmbi Ind,27-07-2023,91.83,2854
Emmbi Ind,26-07-2023,92.28,15968
Emmbi Ind,25-07-2023,89.00,2840
Emmbi Ind,24-07-2023,89.84,1921
Emmbi Ind,21-07-2023,89.62,30172
Emmbi Ind,20-07-2023,90.22,42488
Emmbi Ind,19-07-2023,89.20,7559
Emmbi Ind,18-07-2023,88.20,1415
Emmbi Ind,17-07-2023,86.10,6757
Emmbi Ind,14-07-2023,86.45,3101
Emmbi Ind,13-07-2023,87.55,23957
Emmbi Ind,12-07-2023,85.86,1560
Emmbi Ind,11-07-2023,86.33,3554
Emmbi Ind,10-07-2023,86.51,10990
Emmbi Ind,07-07-2023,86.91,730
Emmbi Ind,06-07-2023,87.20,6594
Emmbi Ind,05-07-2023,86.99,5124
Emmbi Ind,04-07-2023,85.63,1821
Emmbi Ind,03-07-2023,85.28,6588
Emmbi Ind,30-06-2023,87.40,3382
Emmbi Ind,28-06-2023,87.02,3616
Emmbi Ind,27-06-2023,87.09,5424
Emmbi Ind,26-06-2023,87.58,4134
Emmbi Ind,23-06-2023,88.48,523
Emmbi Ind,22-06-2023,89.19,1407
Emmbi Ind,21-06-2023,88.91,2746
Emmbi Ind,20-06-2023,89.56,9676
Emmbi Ind,19-06-2023,92.27,43113
Emmbi Ind,16-06-2023,89.06,6757
Emmbi Ind,15-06-2023,88.96,5135
Emmbi Ind,14-06-2023,90.93,10927
Emmbi Ind,13-06-2023,88.15,5201
Emmbi Ind,12-06-2023,88.07,1635
