Company Name,Date,Close,Volume
Exide Ind,08-09-2023,273.30,163808
Exide Ind,07-09-2023,274.05,213459
Exide Ind,06-09-2023,273.00,70787
Exide Ind,05-09-2023,272.00,121966
Exide Ind,04-09-2023,272.70,176090
Exide Ind,01-09-2023,265.60,528310
Exide Ind,31-08-2023,266.85,122661
Exide Ind,30-08-2023,261.35,113101
Exide Ind,29-08-2023,260.40,66018
Exide Ind,28-08-2023,261.00,177996
Exide Ind,25-08-2023,259.00,150711
Exide Ind,24-08-2023,265.10,130491
Exide Ind,23-08-2023,268.10,136134
Exide Ind,22-08-2023,267.05,103502
Exide Ind,21-08-2023,264.35,174169
Exide Ind,18-08-2023,267.85,151968
Exide Ind,17-08-2023,266.40,80422
Exide Ind,16-08-2023,267.15,171950
Exide Ind,14-08-2023,264.85,251641
Exide Ind,11-08-2023,269.15,253120
Exide Ind,10-08-2023,263.05,116365
Exide Ind,09-08-2023,264.15,90716
Exide Ind,08-08-2023,261.10,216158
Exide Ind,07-08-2023,263.10,254712
Exide Ind,04-08-2023,256.70,94876
Exide Ind,03-08-2023,256.75,251196
Exide Ind,02-08-2023,259.65,229175
Exide Ind,01-08-2023,262.95,873415
Exide Ind,31-07-2023,249.60,227583
Exide Ind,28-07-2023,251.15,456416
Exide Ind,27-07-2023,255.95,216811
Exide Ind,26-07-2023,252.05,68457
Exide Ind,25-07-2023,250.25,117566
Exide Ind,24-07-2023,251.65,180126
Exide Ind,21-07-2023,251.70,227539
Exide Ind,20-07-2023,251.05,116927
Exide Ind,19-07-2023,248.65,170136
Exide Ind,18-07-2023,247.65,251226
Exide Ind,17-07-2023,248.55,270282
Exide Ind,14-07-2023,254.35,263830
Exide Ind,13-07-2023,251.70,281613
Exide Ind,12-07-2023,254.50,82216
Exide Ind,11-07-2023,252.40,606827
Exide Ind,10-07-2023,251.05,144355
Exide Ind,07-07-2023,247.75,156871
Exide Ind,06-07-2023,248.05,332060
Exide Ind,05-07-2023,246.40,467763
Exide Ind,04-07-2023,239.45,352752
Exide Ind,03-07-2023,239.85,337593
Exide Ind,30-06-2023,236.75,211623
Exide Ind,28-06-2023,231.95,256657
Exide Ind,27-06-2023,232.80,102595
Exide Ind,26-06-2023,232.50,187807
Exide Ind,23-06-2023,232.40,454855
Exide Ind,22-06-2023,229.15,832991
Exide Ind,21-06-2023,230.30,1044247
Exide Ind,20-06-2023,220.35,544504
Exide Ind,19-06-2023,213.20,211787
Exide Ind,16-06-2023,214.95,561207
Exide Ind,15-06-2023,207.30,151178
Exide Ind,14-06-2023,210.30,189594
Exide Ind,13-06-2023,206.45,145643
Exide Ind,12-06-2023,205.55,63244
