Company Name,Date,Close,Volume
Federal Bank,08-09-2023,147.45,1231096
Federal Bank,07-09-2023,145.00,842530
Federal Bank,06-09-2023,143.80,361657
Federal Bank,05-09-2023,144.60,790243
Federal Bank,04-09-2023,143.10,508832
Federal Bank,01-09-2023,143.80,377146
Federal Bank,31-08-2023,143.90,508714
Federal Bank,30-08-2023,143.30,555022
Federal Bank,29-08-2023,144.45,1326768
Federal Bank,28-08-2023,144.05,617306
Federal Bank,25-08-2023,140.65,585144
Federal Bank,24-08-2023,140.50,864342
Federal Bank,23-08-2023,141.65,2440368
Federal Bank,22-08-2023,136.05,1236677
Federal Bank,21-08-2023,134.25,942514
Federal Bank,18-08-2023,134.15,1044453
Federal Bank,17-08-2023,134.55,895675
Federal Bank,16-08-2023,132.15,278167
Federal Bank,14-08-2023,132.95,1154389
Federal Bank,11-08-2023,133.20,294199
Federal Bank,10-08-2023,134.15,455402
Federal Bank,09-08-2023,134.65,255701
Federal Bank,08-08-2023,135.40,629955
Federal Bank,07-08-2023,134.05,355323
Federal Bank,04-08-2023,134.55,1247653
Federal Bank,03-08-2023,132.30,1025562
Federal Bank,02-08-2023,132.60,569072
Federal Bank,01-08-2023,135.05,636888
Federal Bank,31-07-2023,135.65,470756
Federal Bank,28-07-2023,135.40,1108790
Federal Bank,27-07-2023,133.90,812841
Federal Bank,26-07-2023,133.95,726337
Federal Bank,25-07-2023,132.65,628532
Federal Bank,24-07-2023,133.95,509633
Federal Bank,21-07-2023,134.05,1244286
Federal Bank,20-07-2023,136.90,1421406
Federal Bank,19-07-2023,135.70,774633
Federal Bank,18-07-2023,134.80,816884
Federal Bank,17-07-2023,132.55,1499232
Federal Bank,14-07-2023,129.30,1546769
Federal Bank,13-07-2023,126.80,2548357
Federal Bank,12-07-2023,134.20,654707
Federal Bank,11-07-2023,135.05,648089
Federal Bank,10-07-2023,134.10,361674
Federal Bank,07-07-2023,135.10,565059
Federal Bank,06-07-2023,135.30,1638391
Federal Bank,05-07-2023,133.30,1412225
Federal Bank,04-07-2023,132.00,1230410
Federal Bank,03-07-2023,127.55,467625
Federal Bank,30-06-2023,126.10,1683349
Federal Bank,28-06-2023,122.20,636188
Federal Bank,27-06-2023,123.15,488105
Federal Bank,26-06-2023,121.30,496549
Federal Bank,23-06-2023,122.15,527140
Federal Bank,22-06-2023,123.80,233749
Federal Bank,21-06-2023,123.40,501243
Federal Bank,20-06-2023,123.45,333472
Federal Bank,19-06-2023,123.10,212647
Federal Bank,16-06-2023,123.65,525585
Federal Bank,15-06-2023,122.05,874450
Federal Bank,14-06-2023,124.40,512481
Federal Bank,13-06-2023,124.55,523898
Federal Bank,12-06-2023,125.25,361974
