Company Name,Date,Close,Volume
Federal-Mogul,08-09-2023,422.70,16250
Federal-Mogul,07-09-2023,422.50,18659
Federal-Mogul,06-09-2023,425.30,82638
Federal-Mogul,05-09-2023,414.15,196761
Federal-Mogul,04-09-2023,373.85,25919
Federal-Mogul,01-09-2023,364.15,10727
Federal-Mogul,31-08-2023,363.80,10101
Federal-Mogul,30-08-2023,364.25,8685
Federal-Mogul,29-08-2023,366.95,3757
Federal-Mogul,28-08-2023,362.55,6509
Federal-Mogul,25-08-2023,358.95,13426
Federal-Mogul,24-08-2023,365.20,6866
Federal-Mogul,23-08-2023,365.95,5858
Federal-Mogul,22-08-2023,364.65,6322
Federal-Mogul,21-08-2023,366.70,44430
Federal-Mogul,18-08-2023,356.60,16886
Federal-Mogul,17-08-2023,355.90,13198
Federal-Mogul,16-08-2023,360.55,4804
Federal-Mogul,14-08-2023,366.10,11862
Federal-Mogul,11-08-2023,372.80,9701
Federal-Mogul,10-08-2023,371.15,8157
Federal-Mogul,09-08-2023,372.00,15156
Federal-Mogul,08-08-2023,370.80,11697
Federal-Mogul,07-08-2023,368.80,7155
Federal-Mogul,04-08-2023,370.90,7746
Federal-Mogul,03-08-2023,367.70,11127
Federal-Mogul,02-08-2023,370.95,4115
Federal-Mogul,01-08-2023,375.00,12517
Federal-Mogul,31-07-2023,360.75,8549
Federal-Mogul,28-07-2023,367.85,8143
Federal-Mogul,27-07-2023,368.45,7488
Federal-Mogul,26-07-2023,371.90,7727
Federal-Mogul,25-07-2023,369.75,15232
Federal-Mogul,24-07-2023,377.50,13310
Federal-Mogul,21-07-2023,369.35,14839
Federal-Mogul,20-07-2023,377.70,16392
Federal-Mogul,19-07-2023,380.85,24724
Federal-Mogul,18-07-2023,385.15,47766
Federal-Mogul,17-07-2023,371.80,5778
Federal-Mogul,14-07-2023,371.70,10373
Federal-Mogul,13-07-2023,373.20,2094
Federal-Mogul,12-07-2023,377.90,5944
Federal-Mogul,11-07-2023,379.65,13825
Federal-Mogul,10-07-2023,382.35,29192
Federal-Mogul,07-07-2023,385.95,23554
Federal-Mogul,06-07-2023,372.25,9913
Federal-Mogul,05-07-2023,369.45,11043
Federal-Mogul,04-07-2023,367.70,8688
Federal-Mogul,03-07-2023,371.80,4077
Federal-Mogul,30-06-2023,371.35,5617
Federal-Mogul,28-06-2023,367.45,9013
Federal-Mogul,27-06-2023,369.70,16982
Federal-Mogul,26-06-2023,374.05,23339
Federal-Mogul,23-06-2023,369.90,11798
Federal-Mogul,22-06-2023,377.05,20984
Federal-Mogul,21-06-2023,387.90,37372
Federal-Mogul,20-06-2023,366.45,6772
Federal-Mogul,19-06-2023,369.45,24536
Federal-Mogul,16-06-2023,377.05,27511
Federal-Mogul,15-06-2023,379.65,6149
Federal-Mogul,14-06-2023,381.65,41925
Federal-Mogul,13-06-2023,384.45,41877
Federal-Mogul,12-06-2023,385.30,89195
