Company Name,Date,Close,Volume
Force Motors,08-09-2023,3814.90,32418
Force Motors,07-09-2023,3633.25,11776
Force Motors,06-09-2023,3460.25,3836
Force Motors,05-09-2023,3456.75,3694
Force Motors,04-09-2023,3481.70,4157
Force Motors,01-09-2023,3500.75,3560
Force Motors,31-08-2023,3428.85,2661
Force Motors,30-08-2023,3369.90,2455
Force Motors,29-08-2023,3368.45,3361
Force Motors,28-08-2023,3415.00,3032
Force Motors,25-08-2023,3441.85,5721
Force Motors,24-08-2023,3573.45,8842
Force Motors,23-08-2023,3403.30,1401
Force Motors,22-08-2023,3402.60,1230
Force Motors,21-08-2023,3397.60,4507
Force Motors,18-08-2023,3378.65,9292
Force Motors,17-08-2023,3488.60,13718
Force Motors,16-08-2023,3348.95,4120
Force Motors,14-08-2023,3327.30,15094
Force Motors,11-08-2023,3342.65,38529
Force Motors,10-08-2023,3038.85,2255
Force Motors,09-08-2023,2762.60,5758
Force Motors,08-08-2023,2749.90,10084
Force Motors,07-08-2023,2730.75,15020
Force Motors,04-08-2023,2675.55,9105
Force Motors,03-08-2023,2505.05,2904
Force Motors,02-08-2023,2462.35,8508
Force Motors,01-08-2023,2595.35,4788
Force Motors,31-07-2023,2555.60,4035
Force Motors,28-07-2023,2488.40,3381
Force Motors,27-07-2023,2535.50,4349
Force Motors,26-07-2023,2585.10,2798
Force Motors,25-07-2023,2582.60,1938
Force Motors,24-07-2023,2615.55,2258
Force Motors,21-07-2023,2574.90,4683
Force Motors,20-07-2023,2633.50,3253
Force Motors,19-07-2023,2654.50,7726
Force Motors,18-07-2023,2670.05,10787
Force Motors,17-07-2023,2752.05,10013
Force Motors,14-07-2023,2746.10,11756
Force Motors,13-07-2023,2585.70,5990
Force Motors,12-07-2023,2630.10,3733
Force Motors,11-07-2023,2593.20,6294
Force Motors,10-07-2023,2537.30,5927
Force Motors,07-07-2023,2578.80,7099
Force Motors,06-07-2023,2618.75,10943
Force Motors,05-07-2023,2492.25,9972
Force Motors,04-07-2023,2611.55,7939
Force Motors,03-07-2023,2730.65,14595
Force Motors,30-06-2023,2735.25,29161
Force Motors,28-06-2023,2694.30,25058
Force Motors,27-06-2023,2541.25,37648
Force Motors,26-06-2023,2336.90,4164
Force Motors,23-06-2023,2321.60,24393
Force Motors,22-06-2023,2182.60,2827
Force Motors,21-06-2023,2256.15,4716
Force Motors,20-06-2023,2217.90,2672
Force Motors,19-06-2023,2200.10,4305
Force Motors,16-06-2023,2212.90,5384
Force Motors,15-06-2023,2245.85,20435
Force Motors,14-06-2023,2214.80,3827
Force Motors,13-06-2023,2226.50,14380
Force Motors,12-06-2023,2134.35,13664
