Company Name,Date,Close,Volume
GAIL,08-09-2023,128.05,1548794
GAIL,07-09-2023,126.05,786878
GAIL,06-09-2023,124.55,1519854
GAIL,05-09-2023,123.45,2294928
GAIL,04-09-2023,122.65,1029948
GAIL,01-09-2023,121.35,2685389
GAIL,31-08-2023,115.05,574680
GAIL,30-08-2023,116.15,377715
GAIL,29-08-2023,117.10,509073
GAIL,28-08-2023,117.40,291342
GAIL,25-08-2023,116.45,515327
GAIL,24-08-2023,118.00,1891661
GAIL,23-08-2023,117.80,612063
GAIL,22-08-2023,117.00,367530
GAIL,21-08-2023,114.35,318966
GAIL,18-08-2023,112.55,264865
GAIL,17-08-2023,113.30,237150
GAIL,16-08-2023,114.10,453422
GAIL,14-08-2023,112.85,891649
GAIL,11-08-2023,115.75,554524
GAIL,10-08-2023,117.60,1144379
GAIL,09-08-2023,117.90,676187
GAIL,08-08-2023,116.40,571282
GAIL,07-08-2023,114.20,367055
GAIL,04-08-2023,115.20,720868
GAIL,03-08-2023,115.60,784569
GAIL,02-08-2023,116.40,849641
GAIL,01-08-2023,120.30,2306501
GAIL,31-07-2023,119.00,3984309
GAIL,28-07-2023,117.55,744145
GAIL,27-07-2023,116.55,932634
GAIL,26-07-2023,116.05,1407206
GAIL,25-07-2023,116.45,1879245
GAIL,24-07-2023,112.05,671743
GAIL,21-07-2023,111.45,1092095
GAIL,20-07-2023,110.45,431842
GAIL,19-07-2023,109.45,677364
GAIL,18-07-2023,108.90,373949
GAIL,17-07-2023,108.65,278250
GAIL,14-07-2023,109.95,489755
GAIL,13-07-2023,108.10,465169
GAIL,12-07-2023,110.60,301695
GAIL,11-07-2023,109.20,472541
GAIL,10-07-2023,109.00,1129395
GAIL,07-07-2023,110.50,918239
GAIL,06-07-2023,110.85,1976072
GAIL,05-07-2023,107.40,1174161
GAIL,04-07-2023,106.60,1178152
GAIL,03-07-2023,106.40,421230
GAIL,30-06-2023,105.00,1284939
GAIL,28-06-2023,103.90,2165238
GAIL,27-06-2023,104.30,1065416
GAIL,26-06-2023,104.80,373479
GAIL,23-06-2023,105.05,1301819
GAIL,22-06-2023,104.50,1329533
GAIL,21-06-2023,106.80,1505108
GAIL,20-06-2023,108.35,1238873
GAIL,19-06-2023,108.00,584858
GAIL,16-06-2023,107.55,1103151
GAIL,15-06-2023,107.05,356335
GAIL,14-06-2023,107.25,529646
GAIL,13-06-2023,107.05,872643
GAIL,12-06-2023,105.20,208078
