Company Name,Date,Close,Volume
GM Breweries,08-09-2023,696.95,16474
GM Breweries,07-09-2023,704.45,56765
GM Breweries,06-09-2023,646.15,9698
GM Breweries,05-09-2023,623.70,16914
GM Breweries,04-09-2023,605.85,10661
GM Breweries,01-09-2023,598.90,1249
GM Breweries,31-08-2023,595.80,476
GM Breweries,30-08-2023,597.80,5745
GM Breweries,29-08-2023,599.45,531
GM Breweries,28-08-2023,593.65,2857
GM Breweries,25-08-2023,585.70,1086
GM Breweries,24-08-2023,588.05,4167
GM Breweries,23-08-2023,588.15,4765
GM Breweries,22-08-2023,589.65,1343
GM Breweries,21-08-2023,592.55,3182
GM Breweries,18-08-2023,597.10,1051
GM Breweries,17-08-2023,603.35,5926
GM Breweries,16-08-2023,604.55,3378
GM Breweries,14-08-2023,585.35,3566
GM Breweries,11-08-2023,583.95,2647
GM Breweries,10-08-2023,584.85,971
GM Breweries,09-08-2023,579.30,2163
GM Breweries,08-08-2023,572.35,4359
GM Breweries,07-08-2023,580.65,3587
GM Breweries,04-08-2023,586.10,3312
GM Breweries,03-08-2023,589.30,2325
GM Breweries,02-08-2023,588.35,7134
GM Breweries,01-08-2023,597.05,1281
GM Breweries,31-07-2023,596.40,6415
GM Breweries,28-07-2023,595.50,1616
GM Breweries,27-07-2023,591.30,2815
GM Breweries,26-07-2023,593.15,1659
GM Breweries,25-07-2023,587.30,2754
GM Breweries,24-07-2023,593.65,899
GM Breweries,21-07-2023,592.55,1417
GM Breweries,20-07-2023,592.20,2883
GM Breweries,19-07-2023,593.70,2513
GM Breweries,18-07-2023,597.05,929
GM Breweries,17-07-2023,596.50,4082
GM Breweries,14-07-2023,598.00,8792
GM Breweries,13-07-2023,602.95,4732
GM Breweries,12-07-2023,598.60,10422
GM Breweries,11-07-2023,596.25,6163
GM Breweries,10-07-2023,586.45,3705
GM Breweries,07-07-2023,586.70,15840
GM Breweries,06-07-2023,602.70,25138
GM Breweries,05-07-2023,608.25,9527
GM Breweries,04-07-2023,616.00,37938
GM Breweries,03-07-2023,590.65,3852
GM Breweries,30-06-2023,581.15,4552
GM Breweries,28-06-2023,589.75,2154
GM Breweries,27-06-2023,592.05,3778
GM Breweries,26-06-2023,593.10,5492
GM Breweries,23-06-2023,589.40,2607
GM Breweries,22-06-2023,586.00,11197
GM Breweries,21-06-2023,572.70,3987
GM Breweries,20-06-2023,574.00,4665
GM Breweries,19-06-2023,578.00,1343
GM Breweries,16-06-2023,577.15,920
GM Breweries,15-06-2023,580.20,2257
GM Breweries,14-06-2023,572.55,2879
GM Breweries,13-06-2023,574.75,2782
GM Breweries,12-06-2023,572.95,1095
