Company Name,Date,Close,Volume
GTL,08-09-2023,10.42,2918101
GTL,07-09-2023,9.87,4159112
GTL,06-09-2023,8.43,296430
GTL,05-09-2023,8.31,658972
GTL,04-09-2023,8.26,399907
GTL,01-09-2023,7.59,866930
GTL,31-08-2023,7.26,201971
GTL,30-08-2023,7.17,399019
GTL,29-08-2023,6.98,124870
GTL,28-08-2023,6.96,115707
GTL,25-08-2023,6.98,119131
GTL,24-08-2023,7.07,161454
GTL,23-08-2023,6.94,133819
GTL,22-08-2023,6.90,76932
GTL,21-08-2023,6.93,96443
GTL,18-08-2023,6.94,53323
GTL,17-08-2023,6.94,78780
GTL,16-08-2023,7.03,86406
GTL,14-08-2023,6.99,38403
GTL,11-08-2023,6.99,135442
GTL,10-08-2023,7.10,197356
GTL,09-08-2023,7.07,212292
GTL,08-08-2023,7.04,44534
GTL,07-08-2023,7.11,253079
GTL,04-08-2023,6.96,115444
GTL,03-08-2023,6.86,90694
GTL,02-08-2023,6.87,71215
GTL,01-08-2023,6.95,108814
GTL,31-07-2023,7.01,169638
GTL,28-07-2023,6.80,53103
GTL,27-07-2023,6.81,99153
GTL,26-07-2023,6.85,132119
GTL,25-07-2023,6.96,53814
GTL,24-07-2023,6.85,276433
GTL,21-07-2023,7.05,85734
GTL,20-07-2023,7.05,101231
GTL,19-07-2023,7.11,152197
GTL,18-07-2023,7.14,259375
GTL,17-07-2023,7.21,268794
GTL,14-07-2023,7.01,213943
GTL,13-07-2023,7.00,530979
GTL,12-07-2023,7.57,313343
GTL,11-07-2023,7.18,225241
GTL,10-07-2023,7.05,336188
GTL,07-07-2023,6.81,250263
GTL,06-07-2023,6.62,92064
GTL,05-07-2023,6.69,161524
GTL,04-07-2023,6.79,242830
GTL,03-07-2023,6.72,659659
GTL,30-06-2023,5.91,38216
GTL,28-06-2023,5.94,130283
GTL,27-06-2023,5.99,39621
GTL,26-06-2023,5.97,57664
GTL,23-06-2023,5.95,304525
GTL,22-06-2023,6.20,87347
GTL,21-06-2023,6.18,130234
GTL,20-06-2023,6.20,84917
GTL,19-06-2023,6.32,117861
GTL,16-06-2023,6.43,135491
GTL,15-06-2023,6.25,36877
GTL,14-06-2023,6.42,210518
GTL,13-06-2023,6.48,204939
GTL,12-06-2023,6.51,216003
