Company Name,Date,Close,Volume
GVK Power,08-09-2023,6.41,2093003
GVK Power,07-09-2023,6.11,1851934
GVK Power,06-09-2023,5.82,1226472
GVK Power,05-09-2023,5.55,1159236
GVK Power,04-09-2023,5.29,813905
GVK Power,01-09-2023,5.04,3072842
GVK Power,31-08-2023,4.80,7766472
GVK Power,30-08-2023,4.69,50345
GVK Power,29-08-2023,4.47,2021805
GVK Power,28-08-2023,4.26,10648094
GVK Power,25-08-2023,4.41,5759889
GVK Power,24-08-2023,4.64,258450
GVK Power,23-08-2023,4.88,3379961
GVK Power,22-08-2023,5.13,27740838
GVK Power,21-08-2023,5.11,13950518
GVK Power,18-08-2023,4.87,2022206
GVK Power,17-08-2023,4.64,1380629
GVK Power,16-08-2023,4.42,1874183
GVK Power,14-08-2023,4.21,5052978
GVK Power,11-08-2023,4.01,9371714
GVK Power,10-08-2023,3.82,7615975
GVK Power,09-08-2023,3.64,6218657
GVK Power,08-08-2023,3.31,5903818
GVK Power,07-08-2023,3.12,4993892
GVK Power,04-08-2023,2.97,10831912
GVK Power,03-08-2023,2.83,2891706
GVK Power,02-08-2023,2.70,2598905
GVK Power,01-08-2023,2.58,647008
GVK Power,31-07-2023,2.46,1289468
GVK Power,28-07-2023,2.52,770265
GVK Power,27-07-2023,2.54,471922
GVK Power,26-07-2023,2.53,925530
GVK Power,25-07-2023,2.53,1113265
GVK Power,24-07-2023,2.55,1114051
GVK Power,21-07-2023,2.55,761963
GVK Power,20-07-2023,2.58,522272
GVK Power,19-07-2023,2.58,899806
GVK Power,18-07-2023,2.58,943031
GVK Power,17-07-2023,2.61,674510
GVK Power,14-07-2023,2.59,649827
GVK Power,13-07-2023,2.64,970542
GVK Power,12-07-2023,2.66,842829
GVK Power,11-07-2023,2.71,870624
GVK Power,10-07-2023,2.68,935425
GVK Power,07-07-2023,2.72,848088
GVK Power,06-07-2023,2.74,1349613
GVK Power,05-07-2023,2.74,1083837
GVK Power,04-07-2023,2.77,1317749
GVK Power,03-07-2023,2.81,2072799
GVK Power,30-06-2023,2.71,1339211
GVK Power,28-06-2023,2.80,1767273
GVK Power,27-06-2023,2.83,2059776
GVK Power,26-06-2023,2.72,525489
GVK Power,23-06-2023,2.74,1117680
GVK Power,22-06-2023,2.77,659627
GVK Power,21-06-2023,2.72,1098509
GVK Power,20-06-2023,2.75,1236665
GVK Power,19-06-2023,2.83,1058642
GVK Power,16-06-2023,2.82,1242599
GVK Power,15-06-2023,2.69,2436441
GVK Power,14-06-2023,2.81,1200615
GVK Power,13-06-2023,2.82,2773167
GVK Power,12-06-2023,2.96,2649718
