Company Name,Date,Close,Volume
Garden Reach Sh,08-09-2023,885.10,341594
Garden Reach Sh,07-09-2023,906.55,476488
Garden Reach Sh,06-09-2023,820.80,24090
Garden Reach Sh,05-09-2023,829.40,78517
Garden Reach Sh,04-09-2023,817.50,52936
Garden Reach Sh,01-09-2023,815.20,76900
Garden Reach Sh,31-08-2023,817.35,85852
Garden Reach Sh,30-08-2023,803.25,200096
Garden Reach Sh,29-08-2023,794.00,67568
Garden Reach Sh,28-08-2023,803.25,193106
Garden Reach Sh,25-08-2023,789.20,46616
Garden Reach Sh,24-08-2023,784.90,66413
Garden Reach Sh,23-08-2023,798.60,142082
Garden Reach Sh,22-08-2023,762.55,34286
Garden Reach Sh,21-08-2023,759.45,73290
Garden Reach Sh,18-08-2023,748.20,113614
Garden Reach Sh,17-08-2023,778.70,444293
Garden Reach Sh,16-08-2023,776.75,511867
Garden Reach Sh,14-08-2023,656.30,514249
Garden Reach Sh,11-08-2023,583.00,17905
Garden Reach Sh,10-08-2023,594.75,23637
Garden Reach Sh,09-08-2023,593.00,8463
Garden Reach Sh,08-08-2023,591.80,16717
Garden Reach Sh,07-08-2023,598.45,36145
Garden Reach Sh,04-08-2023,600.35,22144
Garden Reach Sh,03-08-2023,605.55,18057
Garden Reach Sh,02-08-2023,601.45,100954
Garden Reach Sh,01-08-2023,624.50,39480
Garden Reach Sh,31-07-2023,620.35,34077
Garden Reach Sh,28-07-2023,619.15,40838
Garden Reach Sh,27-07-2023,607.00,39994
Garden Reach Sh,26-07-2023,607.90,43821
Garden Reach Sh,25-07-2023,601.90,191152
Garden Reach Sh,24-07-2023,608.85,25882
Garden Reach Sh,21-07-2023,599.40,25684
Garden Reach Sh,20-07-2023,606.45,54599
Garden Reach Sh,19-07-2023,593.00,19270
Garden Reach Sh,18-07-2023,603.90,44382
Garden Reach Sh,17-07-2023,607.35,85254
Garden Reach Sh,14-07-2023,583.00,35174
Garden Reach Sh,13-07-2023,600.75,58000
Garden Reach Sh,12-07-2023,611.90,156318
Garden Reach Sh,11-07-2023,616.45,288081
Garden Reach Sh,10-07-2023,579.65,55082
Garden Reach Sh,07-07-2023,575.65,67971
Garden Reach Sh,06-07-2023,571.85,16488
Garden Reach Sh,05-07-2023,567.10,31829
Garden Reach Sh,04-07-2023,562.75,21003
Garden Reach Sh,03-07-2023,577.05,59621
Garden Reach Sh,30-06-2023,575.35,34579
Garden Reach Sh,28-06-2023,579.85,23451
Garden Reach Sh,27-06-2023,580.50,53137
Garden Reach Sh,26-06-2023,590.45,78057
Garden Reach Sh,23-06-2023,561.30,42096
Garden Reach Sh,22-06-2023,577.70,91847
Garden Reach Sh,21-06-2023,578.20,179048
Garden Reach Sh,20-06-2023,593.05,139233
Garden Reach Sh,19-06-2023,598.40,156167
Garden Reach Sh,16-06-2023,590.05,389755
Garden Reach Sh,15-06-2023,549.75,46612
Garden Reach Sh,14-06-2023,548.65,89961
Garden Reach Sh,13-06-2023,563.05,104442
Garden Reach Sh,12-06-2023,564.55,520558
