Company Name,Date,Close,Volume
Godrej Ind,08-09-2023,584.15,37235
Godrej Ind,07-09-2023,554.50,23318
Godrej Ind,06-09-2023,544.75,17959
Godrej Ind,05-09-2023,542.45,14046
Godrej Ind,04-09-2023,544.75,22012
Godrej Ind,01-09-2023,537.90,12293
Godrej Ind,31-08-2023,536.10,18482
Godrej Ind,30-08-2023,523.10,5572
Godrej Ind,29-08-2023,523.40,17157
Godrej Ind,28-08-2023,527.05,16775
Godrej Ind,25-08-2023,536.20,28587
Godrej Ind,24-08-2023,535.70,97130
Godrej Ind,23-08-2023,531.05,48064
Godrej Ind,22-08-2023,494.35,4658
Godrej Ind,21-08-2023,491.65,6175
Godrej Ind,18-08-2023,494.85,8760
Godrej Ind,17-08-2023,507.45,16130
Godrej Ind,16-08-2023,504.45,41115
Godrej Ind,14-08-2023,495.95,6106
Godrej Ind,11-08-2023,497.40,53085
Godrej Ind,10-08-2023,493.50,13646
Godrej Ind,09-08-2023,499.90,36176
Godrej Ind,08-08-2023,486.40,13162
Godrej Ind,07-08-2023,471.10,12482
Godrej Ind,04-08-2023,475.60,13471
Godrej Ind,03-08-2023,473.40,3819
Godrej Ind,02-08-2023,476.40,12772
Godrej Ind,01-08-2023,478.55,4932
Godrej Ind,31-07-2023,476.80,15498
Godrej Ind,28-07-2023,475.15,9330
Godrej Ind,27-07-2023,475.85,4528
Godrej Ind,26-07-2023,476.15,7185
Godrej Ind,25-07-2023,474.90,3685
Godrej Ind,24-07-2023,480.75,14187
Godrej Ind,21-07-2023,479.45,18647
Godrej Ind,20-07-2023,476.75,16700
Godrej Ind,19-07-2023,481.00,26094
Godrej Ind,18-07-2023,485.20,10075
Godrej Ind,17-07-2023,490.55,5098
Godrej Ind,14-07-2023,489.05,5019
Godrej Ind,13-07-2023,489.35,12165
Godrej Ind,12-07-2023,497.40,3553
Godrej Ind,11-07-2023,495.65,6655
Godrej Ind,10-07-2023,487.45,5216
Godrej Ind,07-07-2023,498.60,9317
Godrej Ind,06-07-2023,506.65,10508
Godrej Ind,05-07-2023,515.15,11832
Godrej Ind,04-07-2023,509.25,3981
Godrej Ind,03-07-2023,506.45,7250
Godrej Ind,30-06-2023,516.90,18797
Godrej Ind,28-06-2023,502.20,20685
Godrej Ind,27-06-2023,501.70,24881
Godrej Ind,26-06-2023,477.85,7783
Godrej Ind,23-06-2023,481.80,6828
Godrej Ind,22-06-2023,497.45,13619
Godrej Ind,21-06-2023,500.30,9686
Godrej Ind,20-06-2023,503.90,5108
Godrej Ind,19-06-2023,503.80,7290
Godrej Ind,16-06-2023,497.50,10399
Godrej Ind,15-06-2023,507.40,41810
Godrej Ind,14-06-2023,484.70,13835
Godrej Ind,13-06-2023,481.10,14745
Godrej Ind,12-06-2023,472.15,2892
