Company Name,Date,Close,Volume
Graphite India,08-09-2023,518.65,589243
Graphite India,07-09-2023,479.15,21592
Graphite India,06-09-2023,472.40,61892
Graphite India,05-09-2023,478.70,32426
Graphite India,04-09-2023,481.30,36203
Graphite India,01-09-2023,476.25,88365
Graphite India,31-08-2023,474.50,25114
Graphite India,30-08-2023,472.20,77557
Graphite India,29-08-2023,475.50,51722
Graphite India,28-08-2023,475.95,171515
Graphite India,25-08-2023,458.40,59611
Graphite India,24-08-2023,458.65,58109
Graphite India,23-08-2023,464.50,160924
Graphite India,22-08-2023,446.70,94549
Graphite India,21-08-2023,446.05,126643
Graphite India,18-08-2023,431.90,16632
Graphite India,17-08-2023,430.95,88361
Graphite India,16-08-2023,432.65,58872
Graphite India,14-08-2023,439.75,58953
Graphite India,11-08-2023,430.85,57259
Graphite India,10-08-2023,430.60,105342
Graphite India,09-08-2023,425.50,65813
Graphite India,08-08-2023,434.60,323718
Graphite India,07-08-2023,463.65,117663
Graphite India,04-08-2023,443.20,160358
Graphite India,03-08-2023,419.45,28464
Graphite India,02-08-2023,422.60,52178
Graphite India,01-08-2023,431.50,50023
Graphite India,31-07-2023,432.10,112788
Graphite India,28-07-2023,422.00,37257
Graphite India,27-07-2023,411.60,39436
Graphite India,26-07-2023,417.15,59607
Graphite India,25-07-2023,419.80,138193
Graphite India,24-07-2023,410.00,34366
Graphite India,21-07-2023,408.60,56479
Graphite India,20-07-2023,410.85,26831
Graphite India,19-07-2023,416.05,94656
Graphite India,18-07-2023,411.35,57872
Graphite India,17-07-2023,411.10,38028
Graphite India,14-07-2023,415.45,184852
Graphite India,13-07-2023,408.80,63769
Graphite India,12-07-2023,412.80,60848
Graphite India,11-07-2023,411.80,36372
Graphite India,10-07-2023,402.05,27304
Graphite India,07-07-2023,405.30,69927
Graphite India,06-07-2023,410.80,93634
Graphite India,05-07-2023,396.50,74687
Graphite India,04-07-2023,394.45,41717
Graphite India,03-07-2023,399.80,64789
Graphite India,30-06-2023,400.25,54133
Graphite India,28-06-2023,395.90,65426
Graphite India,27-06-2023,403.00,84287
Graphite India,26-06-2023,406.10,83712
Graphite India,23-06-2023,392.70,63876
Graphite India,22-06-2023,408.00,77304
Graphite India,21-06-2023,417.50,154002
Graphite India,20-06-2023,421.85,191231
Graphite India,19-06-2023,415.15,102297
Graphite India,16-06-2023,406.35,135484
Graphite India,15-06-2023,414.60,725180
Graphite India,14-06-2023,390.00,59799
Graphite India,13-06-2023,387.10,78848
Graphite India,12-06-2023,382.50,109092
