Company Name,Date,Close,Volume
Grauer and Weil,08-09-2023,138.70,119329
Grauer and Weil,07-09-2023,136.40,13277
Grauer and Weil,06-09-2023,134.65,65618
Grauer and Weil,05-09-2023,136.90,65428
Grauer and Weil,04-09-2023,135.00,64625
Grauer and Weil,01-09-2023,137.55,60162
Grauer and Weil,31-08-2023,135.80,28680
Grauer and Weil,30-08-2023,133.25,72771
Grauer and Weil,29-08-2023,135.55,33711
Grauer and Weil,28-08-2023,136.50,95027
Grauer and Weil,25-08-2023,139.00,188432
Grauer and Weil,24-08-2023,132.00,25506
Grauer and Weil,23-08-2023,131.70,55300
Grauer and Weil,22-08-2023,132.80,82881
Grauer and Weil,21-08-2023,134.70,82777
Grauer and Weil,18-08-2023,133.35,176789
Grauer and Weil,17-08-2023,134.30,420924
Grauer and Weil,16-08-2023,119.60,127772
Grauer and Weil,14-08-2023,115.70,25770
Grauer and Weil,11-08-2023,113.80,26771
Grauer and Weil,10-08-2023,117.05,118066
Grauer and Weil,09-08-2023,115.55,36438
Grauer and Weil,08-08-2023,118.25,17314
Grauer and Weil,07-08-2023,117.95,40063
Grauer and Weil,04-08-2023,114.05,15530
Grauer and Weil,03-08-2023,114.15,41219
Grauer and Weil,02-08-2023,113.35,83694
Grauer and Weil,01-08-2023,116.60,72381
Grauer and Weil,31-07-2023,115.65,40319
Grauer and Weil,28-07-2023,112.60,71240
Grauer and Weil,27-07-2023,111.45,89854
Grauer and Weil,26-07-2023,107.25,25489
Grauer and Weil,25-07-2023,107.20,58875
Grauer and Weil,24-07-2023,108.35,34618
Grauer and Weil,21-07-2023,109.05,51553
Grauer and Weil,20-07-2023,108.85,27870
Grauer and Weil,19-07-2023,109.60,16936
Grauer and Weil,18-07-2023,108.35,22580
Grauer and Weil,17-07-2023,109.25,17551
Grauer and Weil,14-07-2023,109.45,31378
Grauer and Weil,13-07-2023,108.15,35719
Grauer and Weil,12-07-2023,111.55,11265
Grauer and Weil,11-07-2023,110.95,43454
Grauer and Weil,10-07-2023,111.15,53023
Grauer and Weil,07-07-2023,110.15,19529
Grauer and Weil,06-07-2023,112.65,14091
Grauer and Weil,05-07-2023,111.15,74775
Grauer and Weil,04-07-2023,110.65,98948
Grauer and Weil,03-07-2023,110.20,27884
Grauer and Weil,30-06-2023,110.45,51391
Grauer and Weil,28-06-2023,109.10,31832
Grauer and Weil,27-06-2023,104.95,30294
Grauer and Weil,26-06-2023,105.95,22466
Grauer and Weil,23-06-2023,104.50,37257
Grauer and Weil,22-06-2023,106.70,25982
Grauer and Weil,21-06-2023,108.60,18397
Grauer and Weil,20-06-2023,108.90,18894
Grauer and Weil,19-06-2023,109.15,22705
Grauer and Weil,16-06-2023,110.45,24592
Grauer and Weil,15-06-2023,110.75,44392
Grauer and Weil,14-06-2023,112.05,19391
Grauer and Weil,13-06-2023,112.05,74215
Grauer and Weil,12-06-2023,109.80,29226
