Company Name,Date,Close,Volume
Gujarat Pipavav,08-09-2023,137.55,580494
Gujarat Pipavav,07-09-2023,135.60,235140
Gujarat Pipavav,06-09-2023,135.15,479022
Gujarat Pipavav,05-09-2023,131.15,469816
Gujarat Pipavav,04-09-2023,129.90,154771
Gujarat Pipavav,01-09-2023,130.05,43908
Gujarat Pipavav,31-08-2023,129.70,62816
Gujarat Pipavav,30-08-2023,130.75,565459
Gujarat Pipavav,29-08-2023,128.05,418402
Gujarat Pipavav,28-08-2023,119.45,102805
Gujarat Pipavav,25-08-2023,116.40,76683
Gujarat Pipavav,24-08-2023,118.00,44206
Gujarat Pipavav,23-08-2023,117.75,33180
Gujarat Pipavav,22-08-2023,119.55,55745
Gujarat Pipavav,21-08-2023,119.45,74795
Gujarat Pipavav,18-08-2023,119.45,49105
Gujarat Pipavav,17-08-2023,119.95,42924
Gujarat Pipavav,16-08-2023,116.80,87857
Gujarat Pipavav,14-08-2023,118.60,48883
Gujarat Pipavav,11-08-2023,119.25,97495
Gujarat Pipavav,10-08-2023,120.70,43294
Gujarat Pipavav,09-08-2023,120.70,112440
Gujarat Pipavav,08-08-2023,123.55,95097
Gujarat Pipavav,07-08-2023,122.10,43693
Gujarat Pipavav,04-08-2023,120.55,70471
Gujarat Pipavav,03-08-2023,119.30,51855
Gujarat Pipavav,02-08-2023,121.20,56387
Gujarat Pipavav,01-08-2023,124.25,124823
Gujarat Pipavav,31-07-2023,125.35,118263
Gujarat Pipavav,28-07-2023,119.35,112387
Gujarat Pipavav,27-07-2023,118.85,31277
Gujarat Pipavav,26-07-2023,120.20,55954
Gujarat Pipavav,25-07-2023,123.70,122748
Gujarat Pipavav,24-07-2023,122.30,80546
Gujarat Pipavav,21-07-2023,122.20,40554
Gujarat Pipavav,20-07-2023,120.70,66418
Gujarat Pipavav,19-07-2023,121.40,66271
Gujarat Pipavav,18-07-2023,120.75,67576
Gujarat Pipavav,17-07-2023,121.45,57266
Gujarat Pipavav,14-07-2023,120.10,57354
Gujarat Pipavav,13-07-2023,119.50,93477
Gujarat Pipavav,12-07-2023,122.10,98334
Gujarat Pipavav,11-07-2023,122.30,82102
Gujarat Pipavav,10-07-2023,119.15,46799
Gujarat Pipavav,07-07-2023,117.90,99252
Gujarat Pipavav,06-07-2023,118.90,54431
Gujarat Pipavav,05-07-2023,121.45,136137
Gujarat Pipavav,04-07-2023,120.60,199597
Gujarat Pipavav,03-07-2023,122.50,79500
Gujarat Pipavav,30-06-2023,122.75,178724
Gujarat Pipavav,28-06-2023,121.60,132092
Gujarat Pipavav,27-06-2023,121.70,709824
Gujarat Pipavav,26-06-2023,116.45,62722
Gujarat Pipavav,23-06-2023,113.90,68066
Gujarat Pipavav,22-06-2023,114.00,27025
Gujarat Pipavav,21-06-2023,115.20,33267
Gujarat Pipavav,20-06-2023,115.55,70152
Gujarat Pipavav,19-06-2023,114.25,30203
Gujarat Pipavav,16-06-2023,115.70,55219
Gujarat Pipavav,15-06-2023,115.10,57727
Gujarat Pipavav,14-06-2023,113.15,53716
Gujarat Pipavav,13-06-2023,114.30,67477
Gujarat Pipavav,12-06-2023,114.10,45684
