Company Name,Date,Close,Volume
HCL Tech,08-09-2023,1262.10,211695
HCL Tech,07-09-2023,1254.15,52000
HCL Tech,06-09-2023,1235.70,29061
HCL Tech,05-09-2023,1234.85,163393
HCL Tech,04-09-2023,1232.55,86948
HCL Tech,01-09-2023,1185.40,99152
HCL Tech,31-08-2023,1172.90,29795
HCL Tech,30-08-2023,1170.25,70629
HCL Tech,29-08-2023,1157.95,55549
HCL Tech,28-08-2023,1147.00,55324
HCL Tech,25-08-2023,1154.70,589652
HCL Tech,24-08-2023,1171.25,22509
HCL Tech,23-08-2023,1182.15,40865
HCL Tech,22-08-2023,1179.45,32184
HCL Tech,21-08-2023,1178.70,67155
HCL Tech,18-08-2023,1174.20,153608
HCL Tech,17-08-2023,1176.60,47376
HCL Tech,16-08-2023,1176.50,53660
HCL Tech,14-08-2023,1170.85,58842
HCL Tech,11-08-2023,1171.35,431927
HCL Tech,10-08-2023,1134.60,68080
HCL Tech,09-08-2023,1143.35,92413
HCL Tech,08-08-2023,1140.90,75290
HCL Tech,07-08-2023,1151.05,76117
HCL Tech,04-08-2023,1144.25,44076
HCL Tech,03-08-2023,1124.95,71432
HCL Tech,02-08-2023,1131.15,95302
HCL Tech,01-08-2023,1138.10,100294
HCL Tech,31-07-2023,1117.05,27444
HCL Tech,28-07-2023,1103.25,78142
HCL Tech,27-07-2023,1117.45,22723
HCL Tech,26-07-2023,1114.85,19864
HCL Tech,25-07-2023,1111.25,30955
HCL Tech,24-07-2023,1112.75,62025
HCL Tech,21-07-2023,1116.75,115627
HCL Tech,20-07-2023,1155.20,41178
HCL Tech,19-07-2023,1168.50,90410
HCL Tech,18-07-2023,1167.30,50479
HCL Tech,17-07-2023,1153.65,171389
HCL Tech,14-07-2023,1151.30,286242
HCL Tech,13-07-2023,1109.20,193089
HCL Tech,12-07-2023,1110.05,73211
HCL Tech,11-07-2023,1114.70,60184
HCL Tech,10-07-2023,1124.10,82138
HCL Tech,07-07-2023,1157.05,62259
HCL Tech,06-07-2023,1180.40,63601
HCL Tech,05-07-2023,1195.05,41214
HCL Tech,04-07-2023,1190.30,21940
HCL Tech,03-07-2023,1181.50,23549
HCL Tech,30-06-2023,1187.85,56483
HCL Tech,28-06-2023,1169.95,63650
HCL Tech,27-06-2023,1170.45,25078
HCL Tech,26-06-2023,1166.95,55179
HCL Tech,23-06-2023,1165.25,29909
HCL Tech,22-06-2023,1163.30,17496
HCL Tech,21-06-2023,1170.15,39973
HCL Tech,20-06-2023,1168.20,151280
HCL Tech,19-06-2023,1137.55,45633
HCL Tech,16-06-2023,1149.00,95549
HCL Tech,15-06-2023,1143.70,29189
HCL Tech,14-06-2023,1135.70,44480
HCL Tech,13-06-2023,1132.90,46004
HCL Tech,12-06-2023,1139.50,88569
