Company Name,Date,Close,Volume
HEG,08-09-2023,1821.50,113336
HEG,07-09-2023,1755.55,7632
HEG,06-09-2023,1743.15,11506
HEG,05-09-2023,1758.25,22283
HEG,04-09-2023,1747.45,18862
HEG,01-09-2023,1745.70,14648
HEG,31-08-2023,1752.25,6256
HEG,30-08-2023,1749.10,6025
HEG,29-08-2023,1758.95,15661
HEG,28-08-2023,1757.40,10685
HEG,25-08-2023,1717.90,22161
HEG,24-08-2023,1758.25,4958
HEG,23-08-2023,1782.60,17346
HEG,22-08-2023,1778.15,30592
HEG,21-08-2023,1778.20,37086
HEG,18-08-2023,1697.45,13192
HEG,17-08-2023,1718.05,6605
HEG,16-08-2023,1743.60,13732
HEG,14-08-2023,1729.55,15918
HEG,11-08-2023,1683.05,15970
HEG,10-08-2023,1714.05,9675
HEG,09-08-2023,1741.50,17164
HEG,08-08-2023,1733.40,30955
HEG,07-08-2023,1774.95,13665
HEG,04-08-2023,1786.35,17711
HEG,03-08-2023,1755.10,19996
HEG,02-08-2023,1745.75,41916
HEG,01-08-2023,1803.25,36916
HEG,31-07-2023,1801.40,106223
HEG,28-07-2023,1687.00,22979
HEG,27-07-2023,1676.15,8653
HEG,26-07-2023,1689.85,48368
HEG,25-07-2023,1678.10,68656
HEG,24-07-2023,1607.85,11615
HEG,21-07-2023,1611.30,23434
HEG,20-07-2023,1593.05,10028
HEG,19-07-2023,1624.75,31527
HEG,18-07-2023,1565.35,6909
HEG,17-07-2023,1576.65,14285
HEG,14-07-2023,1610.25,31375
HEG,13-07-2023,1538.10,6772
HEG,12-07-2023,1574.40,7335
HEG,11-07-2023,1572.30,8330
HEG,10-07-2023,1548.20,6538
HEG,07-07-2023,1581.45,14803
HEG,06-07-2023,1593.10,35643
HEG,05-07-2023,1602.60,12210
HEG,04-07-2023,1579.55,11117
HEG,03-07-2023,1633.55,7750
HEG,30-06-2023,1629.90,13585
HEG,28-06-2023,1590.30,6208
HEG,27-06-2023,1608.00,23149
HEG,26-06-2023,1622.75,34979
HEG,23-06-2023,1557.40,17942
HEG,22-06-2023,1604.45,24074
HEG,21-06-2023,1661.40,72919
HEG,20-06-2023,1703.85,103523
HEG,19-06-2023,1631.65,87468
HEG,16-06-2023,1586.45,112227
HEG,15-06-2023,1638.00,206103
HEG,14-06-2023,1419.35,23209
HEG,13-06-2023,1402.65,51977
HEG,12-06-2023,1386.70,28778
