Company Name,Date,Close,Volume
HT Media,08-09-2023,25.41,162939
HT Media,07-09-2023,25.09,21641
HT Media,06-09-2023,25.10,48554
HT Media,05-09-2023,25.84,191907
HT Media,04-09-2023,24.46,83893
HT Media,01-09-2023,24.13,59102
HT Media,31-08-2023,24.54,142780
HT Media,30-08-2023,23.75,54854
HT Media,29-08-2023,24.22,45220
HT Media,28-08-2023,24.12,69611
HT Media,25-08-2023,22.80,40847
HT Media,24-08-2023,23.58,58945
HT Media,23-08-2023,23.94,54735
HT Media,22-08-2023,24.10,54262
HT Media,21-08-2023,24.29,11514
HT Media,18-08-2023,23.97,54941
HT Media,17-08-2023,23.67,18876
HT Media,16-08-2023,23.42,80825
HT Media,14-08-2023,21.92,8359
HT Media,11-08-2023,22.12,17447
HT Media,10-08-2023,22.83,96147
HT Media,09-08-2023,22.38,7952
HT Media,08-08-2023,22.26,33218
HT Media,07-08-2023,22.82,89586
HT Media,04-08-2023,22.14,22121
HT Media,03-08-2023,20.63,57692
HT Media,02-08-2023,21.11,27036
HT Media,01-08-2023,21.92,51660
HT Media,31-07-2023,21.36,437678
HT Media,28-07-2023,23.05,132907
HT Media,27-07-2023,23.24,191177
HT Media,26-07-2023,23.84,48784
HT Media,25-07-2023,23.12,72713
HT Media,24-07-2023,23.48,142636
HT Media,21-07-2023,24.30,865161
HT Media,20-07-2023,22.27,112267
HT Media,19-07-2023,21.64,17273
HT Media,18-07-2023,21.50,73919
HT Media,17-07-2023,21.55,27915
HT Media,14-07-2023,20.81,104030
HT Media,13-07-2023,20.02,26334
HT Media,12-07-2023,20.06,55706
HT Media,11-07-2023,20.18,30348
HT Media,10-07-2023,20.43,21451
HT Media,07-07-2023,20.51,60449
HT Media,06-07-2023,20.25,17641
HT Media,05-07-2023,20.42,12312
HT Media,04-07-2023,20.58,73320
HT Media,03-07-2023,19.70,22240
HT Media,30-06-2023,19.93,16451
HT Media,28-06-2023,20.06,2542
HT Media,27-06-2023,20.18,18892
HT Media,26-06-2023,19.71,1981
HT Media,23-06-2023,19.59,23582
HT Media,22-06-2023,19.70,4767
HT Media,21-06-2023,19.82,8667
HT Media,20-06-2023,19.91,64187
HT Media,19-06-2023,20.03,26864
HT Media,16-06-2023,20.44,154201
HT Media,15-06-2023,19.17,15503
HT Media,14-06-2023,19.10,64221
HT Media,13-06-2023,19.15,12666
HT Media,12-06-2023,19.18,9571
