Company Name,Date,Close,Volume
Havells India,08-09-2023,1450.25,594519
Havells India,07-09-2023,1370.15,11767
Havells India,06-09-2023,1352.95,16199
Havells India,05-09-2023,1360.05,8918
Havells India,04-09-2023,1358.75,30034
Havells India,01-09-2023,1378.45,12907
Havells India,31-08-2023,1384.20,23182
Havells India,30-08-2023,1353.85,17932
Havells India,29-08-2023,1338.15,22182
Havells India,28-08-2023,1317.00,15411
Havells India,25-08-2023,1309.15,9710
Havells India,24-08-2023,1334.90,9782
Havells India,23-08-2023,1339.55,22440
Havells India,22-08-2023,1318.45,11177
Havells India,21-08-2023,1290.10,7570
Havells India,18-08-2023,1284.70,14289
Havells India,17-08-2023,1295.55,15685
Havells India,16-08-2023,1270.30,19163
Havells India,14-08-2023,1275.95,72965
Havells India,11-08-2023,1300.35,12045
Havells India,10-08-2023,1290.05,8121
Havells India,09-08-2023,1311.50,8497
Havells India,08-08-2023,1323.45,14106
Havells India,07-08-2023,1319.35,100466
Havells India,04-08-2023,1313.65,45809
Havells India,03-08-2023,1301.55,11970
Havells India,02-08-2023,1309.95,22020
Havells India,01-08-2023,1320.90,20381
Havells India,31-07-2023,1334.45,10861
Havells India,28-07-2023,1324.40,14506
Havells India,27-07-2023,1313.65,31812
Havells India,26-07-2023,1300.45,15498
Havells India,25-07-2023,1303.25,12246
Havells India,24-07-2023,1295.75,21189
Havells India,21-07-2023,1303.10,116609
Havells India,20-07-2023,1348.35,100716
Havells India,19-07-2023,1363.80,86350
Havells India,18-07-2023,1334.10,121903
Havells India,17-07-2023,1298.35,25216
Havells India,14-07-2023,1281.20,16516
Havells India,13-07-2023,1272.00,28573
Havells India,12-07-2023,1290.65,28958
Havells India,11-07-2023,1306.95,9385
Havells India,10-07-2023,1290.40,12394
Havells India,07-07-2023,1284.25,21974
Havells India,06-07-2023,1309.00,110399
Havells India,05-07-2023,1289.05,11083
Havells India,04-07-2023,1277.50,23587
Havells India,03-07-2023,1290.80,31682
Havells India,30-06-2023,1282.50,75135
Havells India,28-06-2023,1289.60,7824
Havells India,27-06-2023,1285.70,12477
Havells India,26-06-2023,1291.05,163892
Havells India,23-06-2023,1284.00,15733
Havells India,22-06-2023,1323.10,9910
Havells India,21-06-2023,1338.65,7535
Havells India,20-06-2023,1346.30,7546
Havells India,19-06-2023,1336.50,84836
Havells India,16-06-2023,1352.90,44841
Havells India,15-06-2023,1355.20,7707
Havells India,14-06-2023,1360.40,17155
Havells India,13-06-2023,1351.50,24452
Havells India,12-06-2023,1346.20,12758
