Company Name,Date,Close,Volume
Healthcare Glob,08-09-2023,375.35,22444
Healthcare Glob,07-09-2023,370.05,7600
Healthcare Glob,06-09-2023,369.95,6188
Healthcare Glob,05-09-2023,371.30,24571
Healthcare Glob,04-09-2023,372.55,47140
Healthcare Glob,01-09-2023,350.60,3490
Healthcare Glob,31-08-2023,349.75,6352
Healthcare Glob,30-08-2023,350.90,19475
Healthcare Glob,29-08-2023,342.05,1415
Healthcare Glob,28-08-2023,341.90,12368
Healthcare Glob,25-08-2023,340.60,15771
Healthcare Glob,24-08-2023,341.20,2271
Healthcare Glob,23-08-2023,340.00,12281
Healthcare Glob,22-08-2023,340.75,2927
Healthcare Glob,21-08-2023,336.00,11571
Healthcare Glob,18-08-2023,339.95,24726
Healthcare Glob,17-08-2023,335.25,9820
Healthcare Glob,16-08-2023,327.30,6137
Healthcare Glob,14-08-2023,331.35,3674
Healthcare Glob,11-08-2023,330.60,4511
Healthcare Glob,10-08-2023,330.10,8948
Healthcare Glob,09-08-2023,339.30,2477
Healthcare Glob,08-08-2023,339.80,14855
Healthcare Glob,07-08-2023,339.85,3101
Healthcare Glob,04-08-2023,337.75,3031
Healthcare Glob,03-08-2023,341.55,5468
Healthcare Glob,02-08-2023,335.35,17870
Healthcare Glob,01-08-2023,344.30,27181
Healthcare Glob,31-07-2023,323.55,6120
Healthcare Glob,28-07-2023,325.40,5814
Healthcare Glob,27-07-2023,321.25,1165
Healthcare Glob,26-07-2023,319.60,2011
Healthcare Glob,25-07-2023,319.75,6932
Healthcare Glob,24-07-2023,321.40,8386
Healthcare Glob,21-07-2023,320.50,1793
Healthcare Glob,20-07-2023,319.65,5449
Healthcare Glob,19-07-2023,320.75,18789
Healthcare Glob,18-07-2023,322.00,19203
Healthcare Glob,17-07-2023,324.75,2455
Healthcare Glob,14-07-2023,322.85,10106
Healthcare Glob,13-07-2023,323.00,3010
Healthcare Glob,12-07-2023,321.80,2451
Healthcare Glob,11-07-2023,319.75,4621
Healthcare Glob,10-07-2023,323.65,13962
Healthcare Glob,07-07-2023,327.85,8315
Healthcare Glob,06-07-2023,325.75,8071
Healthcare Glob,05-07-2023,320.65,5233
Healthcare Glob,04-07-2023,320.85,7846
Healthcare Glob,03-07-2023,316.50,9788
Healthcare Glob,30-06-2023,318.65,2655
Healthcare Glob,28-06-2023,314.70,3584
Healthcare Glob,27-06-2023,318.35,13920
Healthcare Glob,26-06-2023,319.20,8600
Healthcare Glob,23-06-2023,320.30,20126
Healthcare Glob,22-06-2023,320.50,21871
Healthcare Glob,21-06-2023,317.50,3268
Healthcare Glob,20-06-2023,317.10,4932
Healthcare Glob,19-06-2023,315.35,4309
Healthcare Glob,16-06-2023,316.75,14214
Healthcare Glob,15-06-2023,312.70,19186
Healthcare Glob,14-06-2023,316.25,23393
Healthcare Glob,13-06-2023,311.75,4780
Healthcare Glob,12-06-2023,314.30,17786
