Company Name,Date,Close,Volume
Himatsingka Sei,08-09-2023,160.95,101149
Himatsingka Sei,07-09-2023,159.90,106090
Himatsingka Sei,06-09-2023,149.00,43581
Himatsingka Sei,05-09-2023,148.45,31077
Himatsingka Sei,04-09-2023,147.35,18161
Himatsingka Sei,01-09-2023,147.50,36773
Himatsingka Sei,31-08-2023,147.05,34791
Himatsingka Sei,30-08-2023,147.80,53982
Himatsingka Sei,29-08-2023,146.70,90550
Himatsingka Sei,28-08-2023,146.00,32401
Himatsingka Sei,25-08-2023,150.20,94162
Himatsingka Sei,24-08-2023,155.75,43693
Himatsingka Sei,23-08-2023,154.70,128828
Himatsingka Sei,22-08-2023,149.50,113799
Himatsingka Sei,21-08-2023,144.50,51289
Himatsingka Sei,18-08-2023,142.25,117562
Himatsingka Sei,17-08-2023,138.65,33089
Himatsingka Sei,16-08-2023,136.55,39815
Himatsingka Sei,14-08-2023,134.70,38183
Himatsingka Sei,11-08-2023,132.70,399842
Himatsingka Sei,10-08-2023,124.55,16262
Himatsingka Sei,09-08-2023,126.10,31386
Himatsingka Sei,08-08-2023,123.10,26204
Himatsingka Sei,07-08-2023,125.55,31151
Himatsingka Sei,04-08-2023,123.60,34219
Himatsingka Sei,03-08-2023,123.15,17080
Himatsingka Sei,02-08-2023,123.90,36135
Himatsingka Sei,01-08-2023,126.15,45340
Himatsingka Sei,31-07-2023,122.05,58467
Himatsingka Sei,28-07-2023,118.40,52140
Himatsingka Sei,27-07-2023,120.80,19475
Himatsingka Sei,26-07-2023,119.40,19097
Himatsingka Sei,25-07-2023,117.55,67326
Himatsingka Sei,24-07-2023,117.10,57181
Himatsingka Sei,21-07-2023,116.60,58175
Himatsingka Sei,20-07-2023,125.70,72649
Himatsingka Sei,19-07-2023,129.10,24682
Himatsingka Sei,18-07-2023,129.60,50536
Himatsingka Sei,17-07-2023,131.70,66634
Himatsingka Sei,14-07-2023,131.70,13683
Himatsingka Sei,13-07-2023,132.70,46257
Himatsingka Sei,12-07-2023,128.30,22063
Himatsingka Sei,11-07-2023,129.70,19879
Himatsingka Sei,10-07-2023,129.45,72698
Himatsingka Sei,07-07-2023,131.70,62892
Himatsingka Sei,06-07-2023,128.95,52494
Himatsingka Sei,05-07-2023,132.40,78808
Himatsingka Sei,04-07-2023,128.45,158543
Himatsingka Sei,03-07-2023,131.15,175724
Himatsingka Sei,30-06-2023,114.81,14050
Himatsingka Sei,28-06-2023,115.78,119399
Himatsingka Sei,27-06-2023,113.21,44061
Himatsingka Sei,26-06-2023,113.80,47909
Himatsingka Sei,23-06-2023,113.38,79495
Himatsingka Sei,22-06-2023,114.29,28460
Himatsingka Sei,21-06-2023,118.19,67868
Himatsingka Sei,20-06-2023,118.89,336807
Himatsingka Sei,19-06-2023,115.78,87163
Himatsingka Sei,16-06-2023,113.81,309686
Himatsingka Sei,15-06-2023,113.56,68395
Himatsingka Sei,14-06-2023,115.68,198898
Himatsingka Sei,13-06-2023,112.85,161502
Himatsingka Sei,12-06-2023,111.35,197601
