Company Name,Date,Close,Volume
Hindustan Aeron,08-09-2023,4105.65,52632
Hindustan Aeron,07-09-2023,4039.65,123647
Hindustan Aeron,06-09-2023,3989.70,48334
Hindustan Aeron,05-09-2023,3953.55,15166
Hindustan Aeron,04-09-2023,3963.55,96994
Hindustan Aeron,01-09-2023,3943.55,26078
Hindustan Aeron,31-08-2023,3890.75,64240
Hindustan Aeron,30-08-2023,3905.70,17212
Hindustan Aeron,29-08-2023,3896.95,66532
Hindustan Aeron,28-08-2023,3916.75,35699
Hindustan Aeron,25-08-2023,3910.85,60340
Hindustan Aeron,24-08-2023,3965.65,99853
Hindustan Aeron,23-08-2023,4030.00,76505
Hindustan Aeron,22-08-2023,3891.00,23688
Hindustan Aeron,21-08-2023,3818.65,36311
Hindustan Aeron,18-08-2023,3787.20,55434
Hindustan Aeron,17-08-2023,3870.60,37542
Hindustan Aeron,16-08-2023,3892.20,24894
Hindustan Aeron,14-08-2023,3878.80,83222
Hindustan Aeron,11-08-2023,3804.40,47025
Hindustan Aeron,10-08-2023,3791.25,35621
Hindustan Aeron,09-08-2023,3825.10,15092
Hindustan Aeron,08-08-2023,3774.25,42523
Hindustan Aeron,07-08-2023,3752.55,45490
Hindustan Aeron,04-08-2023,3749.90,28146
Hindustan Aeron,03-08-2023,3760.80,65501
Hindustan Aeron,02-08-2023,3739.45,83334
Hindustan Aeron,01-08-2023,3866.00,80969
Hindustan Aeron,31-07-2023,3961.75,24987
Hindustan Aeron,28-07-2023,3927.65,91775
Hindustan Aeron,27-07-2023,3853.10,12072
Hindustan Aeron,26-07-2023,3858.45,8071
Hindustan Aeron,25-07-2023,3835.55,36569
Hindustan Aeron,24-07-2023,3885.25,60296
Hindustan Aeron,21-07-2023,3854.70,30487
Hindustan Aeron,20-07-2023,3834.60,33340
Hindustan Aeron,19-07-2023,3861.85,20698
Hindustan Aeron,18-07-2023,3849.85,63571
Hindustan Aeron,17-07-2023,3816.20,81163
Hindustan Aeron,14-07-2023,3836.70,46558
Hindustan Aeron,13-07-2023,3851.90,35473
Hindustan Aeron,12-07-2023,3843.10,52432
Hindustan Aeron,11-07-2023,3916.30,181351
Hindustan Aeron,10-07-2023,3775.80,52612
Hindustan Aeron,07-07-2023,3758.95,98377
Hindustan Aeron,06-07-2023,3731.40,42471
Hindustan Aeron,05-07-2023,3735.25,25924
Hindustan Aeron,04-07-2023,3721.70,46499
Hindustan Aeron,03-07-2023,3770.45,22014
Hindustan Aeron,30-06-2023,3790.95,66581
Hindustan Aeron,28-06-2023,3721.00,95065
Hindustan Aeron,27-06-2023,3661.25,66555
Hindustan Aeron,26-06-2023,3700.20,115165
Hindustan Aeron,23-06-2023,3640.20,234049
Hindustan Aeron,22-06-2023,3763.70,61357
Hindustan Aeron,21-06-2023,3819.10,134736
Hindustan Aeron,20-06-2023,3847.50,68461
Hindustan Aeron,19-06-2023,3892.50,114094
Hindustan Aeron,16-06-2023,3842.80,211233
Hindustan Aeron,15-06-2023,3708.35,36155
Hindustan Aeron,14-06-2023,3714.80,122395
Hindustan Aeron,13-06-2023,3639.50,39408
Hindustan Aeron,12-06-2023,3684.20,236463
