Company Name,Date,Close,Volume
IDBI Bank,08-09-2023,70.82,2106637
IDBI Bank,07-09-2023,69.82,564035
IDBI Bank,06-09-2023,70.01,2364492
IDBI Bank,05-09-2023,70.28,5861023
IDBI Bank,04-09-2023,64.96,4433967
IDBI Bank,01-09-2023,60.13,380266
IDBI Bank,31-08-2023,59.78,561936
IDBI Bank,30-08-2023,59.75,758391
IDBI Bank,29-08-2023,59.47,697435
IDBI Bank,28-08-2023,60.64,498590
IDBI Bank,25-08-2023,60.80,316430
IDBI Bank,24-08-2023,61.54,725451
IDBI Bank,23-08-2023,62.31,876842
IDBI Bank,22-08-2023,61.67,589180
IDBI Bank,21-08-2023,60.66,335680
IDBI Bank,18-08-2023,60.87,414993
IDBI Bank,17-08-2023,61.37,818087
IDBI Bank,16-08-2023,62.02,351913
IDBI Bank,14-08-2023,63.47,847967
IDBI Bank,11-08-2023,64.40,583839
IDBI Bank,10-08-2023,63.63,343095
IDBI Bank,09-08-2023,63.32,485256
IDBI Bank,08-08-2023,64.57,974437
IDBI Bank,07-08-2023,65.26,962173
IDBI Bank,04-08-2023,63.89,1824203
IDBI Bank,03-08-2023,64.43,1956120
IDBI Bank,02-08-2023,60.46,2191768
IDBI Bank,01-08-2023,63.01,6766852
IDBI Bank,31-07-2023,57.99,340483
IDBI Bank,28-07-2023,58.01,500838
IDBI Bank,27-07-2023,57.77,931890
IDBI Bank,26-07-2023,57.48,274233
IDBI Bank,25-07-2023,56.78,937363
IDBI Bank,24-07-2023,57.92,666091
IDBI Bank,21-07-2023,57.44,486259
IDBI Bank,20-07-2023,57.33,648581
IDBI Bank,19-07-2023,57.53,430514
IDBI Bank,18-07-2023,57.30,228827
IDBI Bank,17-07-2023,58.14,298154
IDBI Bank,14-07-2023,57.62,542523
IDBI Bank,13-07-2023,57.15,482413
IDBI Bank,12-07-2023,59.03,739507
IDBI Bank,11-07-2023,58.80,759040
IDBI Bank,10-07-2023,58.58,2256640
IDBI Bank,07-07-2023,57.47,474167
IDBI Bank,06-07-2023,58.42,976055
IDBI Bank,05-07-2023,57.97,1308949
IDBI Bank,04-07-2023,56.75,771450
IDBI Bank,03-07-2023,56.69,887649
IDBI Bank,30-06-2023,55.32,1316772
IDBI Bank,28-06-2023,53.68,208390
IDBI Bank,27-06-2023,53.60,193859
IDBI Bank,26-06-2023,53.62,309007
IDBI Bank,23-06-2023,53.71,333055
IDBI Bank,22-06-2023,54.49,733863
IDBI Bank,21-06-2023,54.82,731736
IDBI Bank,20-06-2023,54.50,340685
IDBI Bank,19-06-2023,54.62,376283
IDBI Bank,16-06-2023,53.81,278554
IDBI Bank,15-06-2023,53.50,292611
IDBI Bank,14-06-2023,54.00,235122
IDBI Bank,13-06-2023,54.14,358923
IDBI Bank,12-06-2023,54.08,424721
