Company Name,Date,Close,Volume
ISGEC Heavy Eng,08-09-2023,804.55,113795
ISGEC Heavy Eng,07-09-2023,724.20,15676
ISGEC Heavy Eng,06-09-2023,695.05,6426
ISGEC Heavy Eng,05-09-2023,699.55,9567
ISGEC Heavy Eng,04-09-2023,698.85,20411
ISGEC Heavy Eng,01-09-2023,695.35,2853
ISGEC Heavy Eng,31-08-2023,694.85,3350
ISGEC Heavy Eng,30-08-2023,701.05,19318
ISGEC Heavy Eng,29-08-2023,701.95,3716
ISGEC Heavy Eng,28-08-2023,695.05,6529
ISGEC Heavy Eng,25-08-2023,702.45,11070
ISGEC Heavy Eng,24-08-2023,711.90,13473
ISGEC Heavy Eng,23-08-2023,704.85,19800
ISGEC Heavy Eng,22-08-2023,705.45,5282
ISGEC Heavy Eng,21-08-2023,715.35,5682
ISGEC Heavy Eng,18-08-2023,705.90,13718
ISGEC Heavy Eng,17-08-2023,705.75,14713
ISGEC Heavy Eng,16-08-2023,746.70,7267
ISGEC Heavy Eng,14-08-2023,754.15,15598
ISGEC Heavy Eng,11-08-2023,733.05,10078
ISGEC Heavy Eng,10-08-2023,746.80,19792
ISGEC Heavy Eng,09-08-2023,724.00,13030
ISGEC Heavy Eng,08-08-2023,736.40,3092
ISGEC Heavy Eng,07-08-2023,733.30,7560
ISGEC Heavy Eng,04-08-2023,742.10,4534
ISGEC Heavy Eng,03-08-2023,730.90,9067
ISGEC Heavy Eng,02-08-2023,735.70,8630
ISGEC Heavy Eng,01-08-2023,733.30,7321
ISGEC Heavy Eng,31-07-2023,733.10,19008
ISGEC Heavy Eng,28-07-2023,726.75,9614
ISGEC Heavy Eng,27-07-2023,721.55,6123
ISGEC Heavy Eng,26-07-2023,723.35,5660
ISGEC Heavy Eng,25-07-2023,714.25,4668
ISGEC Heavy Eng,24-07-2023,712.25,10192
ISGEC Heavy Eng,21-07-2023,717.65,16151
ISGEC Heavy Eng,20-07-2023,678.35,8051
ISGEC Heavy Eng,19-07-2023,690.30,8805
ISGEC Heavy Eng,18-07-2023,696.40,12606
ISGEC Heavy Eng,17-07-2023,715.75,14224
ISGEC Heavy Eng,14-07-2023,684.55,2754
ISGEC Heavy Eng,13-07-2023,679.95,6591
ISGEC Heavy Eng,12-07-2023,684.00,5505
ISGEC Heavy Eng,11-07-2023,692.60,11599
ISGEC Heavy Eng,10-07-2023,677.45,3608
ISGEC Heavy Eng,07-07-2023,666.60,4876
ISGEC Heavy Eng,06-07-2023,677.80,5931
ISGEC Heavy Eng,05-07-2023,672.45,5548
ISGEC Heavy Eng,04-07-2023,672.60,8359
ISGEC Heavy Eng,03-07-2023,672.85,23245
ISGEC Heavy Eng,30-06-2023,693.75,20478
ISGEC Heavy Eng,28-06-2023,674.35,5993
ISGEC Heavy Eng,27-06-2023,664.35,6111
ISGEC Heavy Eng,26-06-2023,655.10,11603
ISGEC Heavy Eng,23-06-2023,669.55,22154
ISGEC Heavy Eng,22-06-2023,681.60,16615
ISGEC Heavy Eng,21-06-2023,678.05,21105
ISGEC Heavy Eng,20-06-2023,666.30,22070
ISGEC Heavy Eng,19-06-2023,635.95,28456
ISGEC Heavy Eng,16-06-2023,649.30,22605
ISGEC Heavy Eng,15-06-2023,633.00,20280
ISGEC Heavy Eng,14-06-2023,622.25,26540
ISGEC Heavy Eng,13-06-2023,602.95,19778
ISGEC Heavy Eng,12-06-2023,611.80,13791
