Company Name,Date,Close,Volume
Indian Metals,08-09-2023,404.60,26027
Indian Metals,07-09-2023,392.15,9268
Indian Metals,06-09-2023,396.35,14299
Indian Metals,05-09-2023,398.35,10342
Indian Metals,04-09-2023,399.10,41587
Indian Metals,01-09-2023,393.70,22594
Indian Metals,31-08-2023,380.95,8028
Indian Metals,30-08-2023,376.10,11335
Indian Metals,29-08-2023,380.05,13832
Indian Metals,28-08-2023,369.35,5460
Indian Metals,25-08-2023,370.70,8359
Indian Metals,24-08-2023,377.70,18072
Indian Metals,23-08-2023,381.20,75806
Indian Metals,22-08-2023,357.70,22367
Indian Metals,21-08-2023,347.20,61835
Indian Metals,18-08-2023,337.35,66495
Indian Metals,17-08-2023,343.25,31305
Indian Metals,16-08-2023,340.90,94403
Indian Metals,14-08-2023,345.70,30760
Indian Metals,11-08-2023,351.75,103290
Indian Metals,10-08-2023,355.30,67432
Indian Metals,09-08-2023,355.20,9488
Indian Metals,08-08-2023,355.75,5069
Indian Metals,07-08-2023,347.75,5371
Indian Metals,04-08-2023,352.20,7032
Indian Metals,03-08-2023,358.40,7764
Indian Metals,02-08-2023,354.55,7905
Indian Metals,01-08-2023,367.50,8732
Indian Metals,31-07-2023,360.85,8846
Indian Metals,28-07-2023,357.40,10119
Indian Metals,27-07-2023,360.05,28739
Indian Metals,26-07-2023,375.55,71364
Indian Metals,25-07-2023,354.60,22401
Indian Metals,24-07-2023,358.20,42621
Indian Metals,21-07-2023,341.75,3005
Indian Metals,20-07-2023,340.60,10265
Indian Metals,19-07-2023,345.85,4487
Indian Metals,18-07-2023,346.95,12661
Indian Metals,17-07-2023,354.70,34061
Indian Metals,14-07-2023,328.70,8266
Indian Metals,13-07-2023,329.15,7299
Indian Metals,12-07-2023,332.00,14268
Indian Metals,11-07-2023,339.10,8382
Indian Metals,10-07-2023,342.75,17734
Indian Metals,07-07-2023,342.15,36183
Indian Metals,06-07-2023,335.40,16720
Indian Metals,05-07-2023,328.55,14591
Indian Metals,04-07-2023,325.35,9324
Indian Metals,03-07-2023,328.15,11073
Indian Metals,30-06-2023,320.40,17926
Indian Metals,28-06-2023,323.55,18438
Indian Metals,27-06-2023,326.25,47777
Indian Metals,26-06-2023,315.20,37408
Indian Metals,23-06-2023,302.60,7409
Indian Metals,22-06-2023,304.20,26254
Indian Metals,21-06-2023,308.00,30832
Indian Metals,20-06-2023,302.90,22682
Indian Metals,19-06-2023,292.35,74413
Indian Metals,16-06-2023,284.00,6304
Indian Metals,15-06-2023,284.00,11600
Indian Metals,14-06-2023,284.15,3310
Indian Metals,13-06-2023,284.25,2525
Indian Metals,12-06-2023,286.60,3329
