Company Name,Date,Close,Volume
Indo Count,08-09-2023,245.85,49443
Indo Count,07-09-2023,251.15,83088
Indo Count,06-09-2023,243.80,12306
Indo Count,05-09-2023,243.35,57578
Indo Count,04-09-2023,245.15,51576
Indo Count,01-09-2023,246.65,21795
Indo Count,31-08-2023,245.15,26721
Indo Count,30-08-2023,247.00,12615
Indo Count,29-08-2023,246.35,11842
Indo Count,28-08-2023,249.55,30371
Indo Count,25-08-2023,244.95,35098
Indo Count,24-08-2023,247.90,44710
Indo Count,23-08-2023,246.00,46350
Indo Count,22-08-2023,246.65,78213
Indo Count,21-08-2023,242.40,132058
Indo Count,18-08-2023,235.05,99317
Indo Count,17-08-2023,233.35,28337
Indo Count,16-08-2023,231.15,52474
Indo Count,14-08-2023,229.25,60157
Indo Count,11-08-2023,229.15,68971
Indo Count,10-08-2023,240.25,164091
Indo Count,09-08-2023,231.45,216835
Indo Count,08-08-2023,213.85,20696
Indo Count,07-08-2023,212.05,22471
Indo Count,04-08-2023,211.00,11056
Indo Count,03-08-2023,213.30,13780
Indo Count,02-08-2023,212.95,43413
Indo Count,01-08-2023,216.35,56532
Indo Count,31-07-2023,221.45,54765
Indo Count,28-07-2023,208.50,16558
Indo Count,27-07-2023,212.05,30043
Indo Count,26-07-2023,214.35,71812
Indo Count,25-07-2023,204.75,26058
Indo Count,24-07-2023,201.05,65760
Indo Count,21-07-2023,209.55,10149
Indo Count,20-07-2023,212.80,43823
Indo Count,19-07-2023,209.95,24325
Indo Count,18-07-2023,212.35,46515
Indo Count,17-07-2023,225.50,34527
Indo Count,14-07-2023,221.45,152586
Indo Count,13-07-2023,208.30,66754
Indo Count,12-07-2023,216.85,49946
Indo Count,11-07-2023,211.40,83872
Indo Count,10-07-2023,208.00,27893
Indo Count,07-07-2023,205.60,16439
Indo Count,06-07-2023,207.50,29993
Indo Count,05-07-2023,205.75,36044
Indo Count,04-07-2023,200.20,25521
Indo Count,03-07-2023,204.60,25993
Indo Count,30-06-2023,206.85,63674
Indo Count,28-06-2023,214.30,72733
Indo Count,27-06-2023,199.80,35055
Indo Count,26-06-2023,198.40,19849
Indo Count,23-06-2023,196.20,35203
Indo Count,22-06-2023,200.25,27340
Indo Count,21-06-2023,201.55,30741
Indo Count,20-06-2023,201.35,32270
Indo Count,19-06-2023,196.55,42489
Indo Count,16-06-2023,207.70,46878
Indo Count,15-06-2023,210.10,73294
Indo Count,14-06-2023,205.50,18093
Indo Count,13-06-2023,207.25,54788
Indo Count,12-06-2023,211.05,130598
