Company Name,Date,Close,Volume
IndusInd Bank,08-09-2023,1447.65,103212
IndusInd Bank,07-09-2023,1439.95,32715
IndusInd Bank,06-09-2023,1408.15,74085
IndusInd Bank,05-09-2023,1424.30,24176
IndusInd Bank,04-09-2023,1421.25,38319
IndusInd Bank,01-09-2023,1417.30,65424
IndusInd Bank,31-08-2023,1376.75,53238
IndusInd Bank,30-08-2023,1393.45,44704
IndusInd Bank,29-08-2023,1401.10,11741
IndusInd Bank,28-08-2023,1408.85,33228
IndusInd Bank,25-08-2023,1401.35,491426
IndusInd Bank,24-08-2023,1424.70,54054
IndusInd Bank,23-08-2023,1400.65,32269
IndusInd Bank,22-08-2023,1401.50,15781
IndusInd Bank,21-08-2023,1396.20,30986
IndusInd Bank,18-08-2023,1370.70,37855
IndusInd Bank,17-08-2023,1374.45,92524
IndusInd Bank,16-08-2023,1381.05,23637
IndusInd Bank,14-08-2023,1388.85,129659
IndusInd Bank,11-08-2023,1397.20,72786
IndusInd Bank,10-08-2023,1430.25,70448
IndusInd Bank,09-08-2023,1407.20,84013
IndusInd Bank,08-08-2023,1404.05,32388
IndusInd Bank,07-08-2023,1414.60,52224
IndusInd Bank,04-08-2023,1409.35,176924
IndusInd Bank,03-08-2023,1364.05,27565
IndusInd Bank,02-08-2023,1381.10,43024
IndusInd Bank,01-08-2023,1393.95,30769
IndusInd Bank,31-07-2023,1417.55,35823
IndusInd Bank,28-07-2023,1401.65,26135
IndusInd Bank,27-07-2023,1415.55,80245
IndusInd Bank,26-07-2023,1427.75,38074
IndusInd Bank,25-07-2023,1414.80,78957
IndusInd Bank,24-07-2023,1435.75,120850
IndusInd Bank,21-07-2023,1407.45,65657
IndusInd Bank,20-07-2023,1425.25,65231
IndusInd Bank,19-07-2023,1419.10,328959
IndusInd Bank,18-07-2023,1390.30,141654
IndusInd Bank,17-07-2023,1392.60,110890
IndusInd Bank,14-07-2023,1378.20,150519
IndusInd Bank,13-07-2023,1376.60,104787
IndusInd Bank,12-07-2023,1371.35,63317
IndusInd Bank,11-07-2023,1381.50,22748
IndusInd Bank,10-07-2023,1366.75,77692
IndusInd Bank,07-07-2023,1356.85,85736
IndusInd Bank,06-07-2023,1389.30,104768
IndusInd Bank,05-07-2023,1399.95,192538
IndusInd Bank,04-07-2023,1367.35,123274
IndusInd Bank,03-07-2023,1379.65,119919
IndusInd Bank,30-06-2023,1375.05,73956
IndusInd Bank,28-06-2023,1334.00,249007
IndusInd Bank,27-06-2023,1315.65,53852
IndusInd Bank,26-06-2023,1315.00,55529
IndusInd Bank,23-06-2023,1308.45,155205
IndusInd Bank,22-06-2023,1273.35,46729
IndusInd Bank,21-06-2023,1286.75,23745
IndusInd Bank,20-06-2023,1298.10,20460
IndusInd Bank,19-06-2023,1301.20,35591
IndusInd Bank,16-06-2023,1313.10,58546
IndusInd Bank,15-06-2023,1297.05,94604
IndusInd Bank,14-06-2023,1323.40,65957
IndusInd Bank,13-06-2023,1336.05,40415
IndusInd Bank,12-06-2023,1332.40,23809
