Company Name,Date,Close,Volume
JSW Energy,08-09-2023,394.95,166718
JSW Energy,07-09-2023,382.10,141667
JSW Energy,06-09-2023,382.05,356297
JSW Energy,05-09-2023,378.75,288913
JSW Energy,04-09-2023,363.30,312364
JSW Energy,01-09-2023,354.85,59740
JSW Energy,31-08-2023,350.45,107382
JSW Energy,30-08-2023,355.55,350117
JSW Energy,29-08-2023,366.95,252474
JSW Energy,28-08-2023,347.05,340731
JSW Energy,25-08-2023,346.25,132106
JSW Energy,24-08-2023,351.15,112597
JSW Energy,23-08-2023,357.95,47753
JSW Energy,22-08-2023,360.45,53491
JSW Energy,21-08-2023,361.10,510816
JSW Energy,18-08-2023,362.80,182902
JSW Energy,17-08-2023,352.35,765465
JSW Energy,16-08-2023,368.10,21612705
JSW Energy,14-08-2023,345.10,25266780
JSW Energy,11-08-2023,341.70,319683
JSW Energy,10-08-2023,336.05,997477
JSW Energy,09-08-2023,314.70,726165
JSW Energy,08-08-2023,291.05,65747
JSW Energy,07-08-2023,291.85,70264
JSW Energy,04-08-2023,293.50,45126
JSW Energy,03-08-2023,287.05,252642
JSW Energy,02-08-2023,290.80,159517
JSW Energy,01-08-2023,295.90,264648
JSW Energy,31-07-2023,288.80,91654
JSW Energy,28-07-2023,292.45,75346
JSW Energy,27-07-2023,289.25,79434
JSW Energy,26-07-2023,292.60,119755
JSW Energy,25-07-2023,294.10,192032
JSW Energy,24-07-2023,286.50,60988
JSW Energy,21-07-2023,288.05,147538
JSW Energy,20-07-2023,294.60,229505
JSW Energy,19-07-2023,295.60,277006
JSW Energy,18-07-2023,289.80,114324
JSW Energy,17-07-2023,293.05,208177
JSW Energy,14-07-2023,304.55,253576
JSW Energy,13-07-2023,299.05,142829
JSW Energy,12-07-2023,312.85,174005
JSW Energy,11-07-2023,309.60,127629
JSW Energy,10-07-2023,304.50,352289
JSW Energy,07-07-2023,306.70,316607
JSW Energy,06-07-2023,310.05,194692
JSW Energy,05-07-2023,301.40,335438
JSW Energy,04-07-2023,294.00,298501
JSW Energy,03-07-2023,289.00,562440
JSW Energy,30-06-2023,272.85,129336
JSW Energy,28-06-2023,271.70,51634
JSW Energy,27-06-2023,270.75,122783
JSW Energy,26-06-2023,272.20,135978
JSW Energy,23-06-2023,261.20,197359
JSW Energy,22-06-2023,272.20,597686
JSW Energy,21-06-2023,274.40,765188
JSW Energy,20-06-2023,257.20,432932
JSW Energy,19-06-2023,253.50,85803
JSW Energy,16-06-2023,256.90,49660
JSW Energy,15-06-2023,262.15,105970
JSW Energy,14-06-2023,266.00,105092
JSW Energy,13-06-2023,261.05,110011
JSW Energy,12-06-2023,257.40,39180
