Company Name,Date,Close,Volume
Jaiprakash Pow,08-09-2023,9.49,87586716
Jaiprakash Pow,07-09-2023,9.76,165907987
Jaiprakash Pow,06-09-2023,8.75,58968756
Jaiprakash Pow,05-09-2023,8.53,54247752
Jaiprakash Pow,04-09-2023,8.63,75251746
Jaiprakash Pow,01-09-2023,8.19,44369078
Jaiprakash Pow,31-08-2023,8.01,41574916
Jaiprakash Pow,30-08-2023,8.14,76378522
Jaiprakash Pow,29-08-2023,8.01,44861847
Jaiprakash Pow,28-08-2023,8.12,106898859
Jaiprakash Pow,25-08-2023,7.61,46061847
Jaiprakash Pow,24-08-2023,7.36,29934568
Jaiprakash Pow,23-08-2023,7.66,53427059
Jaiprakash Pow,22-08-2023,7.43,32134380
Jaiprakash Pow,21-08-2023,7.12,19185996
Jaiprakash Pow,18-08-2023,7.12,26816330
Jaiprakash Pow,17-08-2023,7.32,26431893
Jaiprakash Pow,16-08-2023,7.52,51469735
Jaiprakash Pow,14-08-2023,7.30,42168018
Jaiprakash Pow,11-08-2023,7.46,51884850
Jaiprakash Pow,10-08-2023,7.67,81078895
Jaiprakash Pow,09-08-2023,7.30,54594548
Jaiprakash Pow,08-08-2023,7.00,37775698
Jaiprakash Pow,07-08-2023,7.16,61517372
Jaiprakash Pow,04-08-2023,6.62,40449196
Jaiprakash Pow,03-08-2023,6.32,24572263
Jaiprakash Pow,02-08-2023,6.45,43664298
Jaiprakash Pow,01-08-2023,6.71,81155928
Jaiprakash Pow,31-07-2023,6.12,25927509
Jaiprakash Pow,28-07-2023,5.97,9641298
Jaiprakash Pow,27-07-2023,5.99,9702858
Jaiprakash Pow,26-07-2023,5.99,8657426
Jaiprakash Pow,25-07-2023,5.99,8333375
Jaiprakash Pow,24-07-2023,5.99,12271917
Jaiprakash Pow,21-07-2023,5.98,11444218
Jaiprakash Pow,20-07-2023,5.97,14530957
Jaiprakash Pow,19-07-2023,5.96,11682676
Jaiprakash Pow,18-07-2023,5.97,13957618
Jaiprakash Pow,17-07-2023,6.05,10862752
Jaiprakash Pow,14-07-2023,6.03,10061285
Jaiprakash Pow,13-07-2023,5.96,11215737
Jaiprakash Pow,12-07-2023,6.04,13883154
Jaiprakash Pow,11-07-2023,6.06,13685366
Jaiprakash Pow,10-07-2023,6.09,13042841
Jaiprakash Pow,07-07-2023,6.28,17653671
Jaiprakash Pow,06-07-2023,6.31,17295711
Jaiprakash Pow,05-07-2023,6.23,16589530
Jaiprakash Pow,04-07-2023,6.25,17473544
Jaiprakash Pow,03-07-2023,6.35,25609509
Jaiprakash Pow,30-06-2023,6.12,12460151
Jaiprakash Pow,28-06-2023,6.10,14862762
Jaiprakash Pow,27-06-2023,6.03,10018298
Jaiprakash Pow,26-06-2023,6.04,13604307
Jaiprakash Pow,23-06-2023,5.97,11810375
Jaiprakash Pow,22-06-2023,6.08,19272005
Jaiprakash Pow,21-06-2023,6.11,12952334
Jaiprakash Pow,20-06-2023,6.21,16745936
Jaiprakash Pow,19-06-2023,6.26,17636649
Jaiprakash Pow,16-06-2023,6.33,18736865
Jaiprakash Pow,15-06-2023,6.35,21508446
Jaiprakash Pow,14-06-2023,6.35,18383008
Jaiprakash Pow,13-06-2023,6.59,39394906
Jaiprakash Pow,12-06-2023,6.41,32699182
