Company Name,Date,Close,Volume
Jayaswal Neco,08-09-2023,39.86,284371
Jayaswal Neco,07-09-2023,37.76,260459
Jayaswal Neco,06-09-2023,35.02,69262
Jayaswal Neco,05-09-2023,36.28,192987
Jayaswal Neco,04-09-2023,36.06,791176
Jayaswal Neco,01-09-2023,32.80,140004
Jayaswal Neco,31-08-2023,30.65,53026
Jayaswal Neco,30-08-2023,31.41,77191
Jayaswal Neco,29-08-2023,30.49,109436
Jayaswal Neco,28-08-2023,31.03,95792
Jayaswal Neco,25-08-2023,29.08,56201
Jayaswal Neco,24-08-2023,29.70,76817
Jayaswal Neco,23-08-2023,28.67,51874
Jayaswal Neco,22-08-2023,28.83,133918
Jayaswal Neco,21-08-2023,26.72,55138
Jayaswal Neco,18-08-2023,27.18,272743
Jayaswal Neco,17-08-2023,27.18,76133
Jayaswal Neco,16-08-2023,27.68,130704
Jayaswal Neco,14-08-2023,28.60,28345
Jayaswal Neco,11-08-2023,28.14,67534
Jayaswal Neco,10-08-2023,28.54,42336
Jayaswal Neco,09-08-2023,29.51,57098
Jayaswal Neco,08-08-2023,28.03,55663
Jayaswal Neco,07-08-2023,28.81,105627
Jayaswal Neco,04-08-2023,29.77,76728
Jayaswal Neco,03-08-2023,29.77,73159
Jayaswal Neco,02-08-2023,30.35,273993
Jayaswal Neco,01-08-2023,31.99,349713
Jayaswal Neco,31-07-2023,30.88,41454
Jayaswal Neco,28-07-2023,29.00,63605
Jayaswal Neco,27-07-2023,28.84,42503
Jayaswal Neco,26-07-2023,28.24,67541
Jayaswal Neco,25-07-2023,28.53,97070
Jayaswal Neco,24-07-2023,29.02,102158
Jayaswal Neco,21-07-2023,30.17,184464
Jayaswal Neco,20-07-2023,30.98,444267
Jayaswal Neco,19-07-2023,27.80,173891
Jayaswal Neco,18-07-2023,26.06,207705
Jayaswal Neco,17-07-2023,26.31,265635
Jayaswal Neco,14-07-2023,22.38,14717
Jayaswal Neco,13-07-2023,21.95,33230
Jayaswal Neco,12-07-2023,22.58,22403
Jayaswal Neco,11-07-2023,22.82,17402
Jayaswal Neco,10-07-2023,22.86,864
Jayaswal Neco,07-07-2023,22.82,2998
Jayaswal Neco,06-07-2023,22.83,15669
Jayaswal Neco,05-07-2023,22.85,44570
Jayaswal Neco,04-07-2023,22.94,7534
Jayaswal Neco,03-07-2023,22.93,14321
Jayaswal Neco,30-06-2023,23.11,21928
Jayaswal Neco,28-06-2023,23.46,17640
Jayaswal Neco,27-06-2023,23.76,6309
Jayaswal Neco,26-06-2023,24.00,10439
Jayaswal Neco,23-06-2023,23.86,23745
Jayaswal Neco,22-06-2023,24.41,30771
Jayaswal Neco,21-06-2023,24.62,33514
Jayaswal Neco,20-06-2023,25.11,161355
Jayaswal Neco,19-06-2023,24.92,89448
Jayaswal Neco,16-06-2023,23.99,49371
Jayaswal Neco,15-06-2023,24.37,114848
Jayaswal Neco,14-06-2023,23.14,18711
Jayaswal Neco,13-06-2023,22.71,23528
Jayaswal Neco,12-06-2023,22.80,15566
