Company Name,Date,Close,Volume
Jindal Drilling,08-09-2023,589.70,11154
Jindal Drilling,07-09-2023,578.85,9015
Jindal Drilling,06-09-2023,564.50,7853
Jindal Drilling,05-09-2023,579.45,20948
Jindal Drilling,04-09-2023,584.75,12049
Jindal Drilling,01-09-2023,552.15,7745
Jindal Drilling,31-08-2023,543.05,6321
Jindal Drilling,30-08-2023,550.35,28331
Jindal Drilling,29-08-2023,533.00,27917
Jindal Drilling,28-08-2023,488.00,16151
Jindal Drilling,25-08-2023,464.00,3949
Jindal Drilling,24-08-2023,456.20,7111
Jindal Drilling,23-08-2023,463.90,3267
Jindal Drilling,22-08-2023,468.45,1812
Jindal Drilling,21-08-2023,475.60,11715
Jindal Drilling,18-08-2023,478.55,5812
Jindal Drilling,17-08-2023,484.75,38126
Jindal Drilling,16-08-2023,478.25,50712
Jindal Drilling,14-08-2023,430.65,6274
Jindal Drilling,11-08-2023,438.60,18980
Jindal Drilling,10-08-2023,437.90,26299
Jindal Drilling,09-08-2023,424.65,15867
Jindal Drilling,08-08-2023,407.40,8956
Jindal Drilling,07-08-2023,400.80,23907
Jindal Drilling,04-08-2023,380.60,5879
Jindal Drilling,03-08-2023,383.80,18708
Jindal Drilling,02-08-2023,384.60,19036
Jindal Drilling,01-08-2023,415.45,2114
Jindal Drilling,31-07-2023,418.35,6785
Jindal Drilling,28-07-2023,409.80,12093
Jindal Drilling,27-07-2023,412.95,3787
Jindal Drilling,26-07-2023,415.30,4234
Jindal Drilling,25-07-2023,415.10,14862
Jindal Drilling,24-07-2023,409.65,8612
Jindal Drilling,21-07-2023,415.60,25220
Jindal Drilling,20-07-2023,412.15,34419
Jindal Drilling,19-07-2023,403.55,66003
Jindal Drilling,18-07-2023,367.15,2943
Jindal Drilling,17-07-2023,374.90,2647
Jindal Drilling,14-07-2023,368.15,7301
Jindal Drilling,13-07-2023,366.45,17786
Jindal Drilling,12-07-2023,376.45,4379
Jindal Drilling,11-07-2023,382.65,36950
Jindal Drilling,10-07-2023,374.60,36980
Jindal Drilling,07-07-2023,352.15,2861
Jindal Drilling,06-07-2023,349.30,10593
Jindal Drilling,05-07-2023,344.50,2782
Jindal Drilling,04-07-2023,346.20,9634
Jindal Drilling,03-07-2023,344.75,12304
Jindal Drilling,30-06-2023,341.40,7349
Jindal Drilling,28-06-2023,352.80,3856
Jindal Drilling,27-06-2023,353.10,5278
Jindal Drilling,26-06-2023,348.10,1412
Jindal Drilling,23-06-2023,351.45,4686
Jindal Drilling,22-06-2023,354.00,12699
Jindal Drilling,21-06-2023,362.90,5539
Jindal Drilling,20-06-2023,373.10,14538
Jindal Drilling,19-06-2023,358.30,3441
Jindal Drilling,16-06-2023,363.75,15736
Jindal Drilling,15-06-2023,359.40,17954
Jindal Drilling,14-06-2023,365.10,14612
Jindal Drilling,13-06-2023,366.90,39762
Jindal Drilling,12-06-2023,368.40,96521
