Company Name,Date,Close,Volume
Jindal Stainles,08-09-2023,491.90,23611
Jindal Stainles,07-09-2023,480.40,53754
Jindal Stainles,06-09-2023,477.30,33168
Jindal Stainles,05-09-2023,474.60,54456
Jindal Stainles,04-09-2023,476.35,34019
Jindal Stainles,01-09-2023,463.60,47788
Jindal Stainles,31-08-2023,455.35,61594
Jindal Stainles,30-08-2023,442.00,33648
Jindal Stainles,29-08-2023,432.95,28949
Jindal Stainles,28-08-2023,417.25,10883
Jindal Stainles,25-08-2023,420.65,9085
Jindal Stainles,24-08-2023,426.70,9963
Jindal Stainles,23-08-2023,431.25,16162
Jindal Stainles,22-08-2023,424.60,9163
Jindal Stainles,21-08-2023,421.35,11510
Jindal Stainles,18-08-2023,418.25,46215
Jindal Stainles,17-08-2023,408.40,8540
Jindal Stainles,16-08-2023,414.45,15550
Jindal Stainles,14-08-2023,402.25,49064
Jindal Stainles,11-08-2023,411.45,45173
Jindal Stainles,10-08-2023,414.35,45296
Jindal Stainles,09-08-2023,391.20,17531
Jindal Stainles,08-08-2023,393.60,14776
Jindal Stainles,07-08-2023,392.85,18409
Jindal Stainles,04-08-2023,392.85,12660
Jindal Stainles,03-08-2023,396.25,29620
Jindal Stainles,02-08-2023,394.40,56061
Jindal Stainles,01-08-2023,401.65,35433
Jindal Stainles,31-07-2023,400.95,48574
Jindal Stainles,28-07-2023,394.45,60344
Jindal Stainles,27-07-2023,381.25,44960
Jindal Stainles,26-07-2023,377.20,45457
Jindal Stainles,25-07-2023,372.30,52691
Jindal Stainles,24-07-2023,360.65,48343
Jindal Stainles,21-07-2023,372.05,37833
Jindal Stainles,20-07-2023,368.30,21083
Jindal Stainles,19-07-2023,366.80,91958
Jindal Stainles,18-07-2023,350.20,81681
Jindal Stainles,17-07-2023,359.70,37627
Jindal Stainles,14-07-2023,364.40,32666
Jindal Stainles,13-07-2023,361.50,74330
Jindal Stainles,12-07-2023,370.00,48748
Jindal Stainles,11-07-2023,369.75,33378
Jindal Stainles,10-07-2023,355.20,14204
Jindal Stainles,07-07-2023,363.10,36399
Jindal Stainles,06-07-2023,365.30,37092
Jindal Stainles,05-07-2023,353.60,44819
Jindal Stainles,04-07-2023,341.90,56855
Jindal Stainles,03-07-2023,340.20,88596
Jindal Stainles,30-06-2023,330.40,56206
Jindal Stainles,28-06-2023,334.80,42114
Jindal Stainles,27-06-2023,330.10,36874
Jindal Stainles,26-06-2023,328.05,17520
Jindal Stainles,23-06-2023,324.55,82668
Jindal Stainles,22-06-2023,327.70,32813
Jindal Stainles,21-06-2023,332.90,104847
Jindal Stainles,20-06-2023,333.75,66369
Jindal Stainles,19-06-2023,327.65,55952
Jindal Stainles,16-06-2023,325.90,58306
Jindal Stainles,15-06-2023,332.45,49991
Jindal Stainles,14-06-2023,331.50,90643
Jindal Stainles,13-06-2023,328.30,79609
Jindal Stainles,12-06-2023,317.95,30625
