Company Name,Date,Close,Volume
KFin Tech,08-09-2023,460.55,43750
KFin Tech,07-09-2023,450.35,4641
KFin Tech,06-09-2023,448.90,23316
KFin Tech,05-09-2023,455.80,49181
KFin Tech,04-09-2023,443.90,11257
KFin Tech,01-09-2023,443.25,54590
KFin Tech,31-08-2023,449.35,35825
KFin Tech,30-08-2023,429.30,36018
KFin Tech,29-08-2023,418.95,11465
KFin Tech,28-08-2023,422.95,57330
KFin Tech,25-08-2023,427.65,389264
KFin Tech,24-08-2023,384.80,14074
KFin Tech,23-08-2023,383.50,25489
KFin Tech,22-08-2023,380.35,10704
KFin Tech,21-08-2023,378.25,3359
KFin Tech,18-08-2023,378.85,4919
KFin Tech,17-08-2023,376.45,3811
KFin Tech,16-08-2023,376.20,11930
KFin Tech,14-08-2023,379.50,22836
KFin Tech,11-08-2023,383.15,5842
KFin Tech,10-08-2023,389.50,21418
KFin Tech,09-08-2023,379.70,14514
KFin Tech,08-08-2023,381.60,8492
KFin Tech,07-08-2023,382.25,11360
KFin Tech,04-08-2023,389.55,8851
KFin Tech,03-08-2023,385.25,7133
KFin Tech,02-08-2023,382.20,9017
KFin Tech,01-08-2023,380.20,10984
KFin Tech,31-07-2023,385.55,18687
KFin Tech,28-07-2023,388.75,44288
KFin Tech,27-07-2023,396.30,65254
KFin Tech,26-07-2023,381.00,18043
KFin Tech,25-07-2023,377.40,15803
KFin Tech,24-07-2023,373.30,8411
KFin Tech,21-07-2023,379.25,19719
KFin Tech,20-07-2023,382.10,24184
KFin Tech,19-07-2023,384.85,47368
KFin Tech,18-07-2023,379.25,9852
KFin Tech,17-07-2023,374.15,26372
KFin Tech,14-07-2023,375.15,9288
KFin Tech,13-07-2023,379.40,64833
KFin Tech,12-07-2023,379.35,68695
KFin Tech,11-07-2023,356.65,15456
KFin Tech,10-07-2023,352.10,13849
KFin Tech,07-07-2023,357.20,4523
KFin Tech,06-07-2023,358.45,18868
KFin Tech,05-07-2023,359.45,5306
KFin Tech,04-07-2023,365.55,854816
KFin Tech,03-07-2023,365.15,927844
KFin Tech,30-06-2023,371.20,81380
KFin Tech,28-06-2023,345.95,12071
KFin Tech,27-06-2023,346.35,2945
KFin Tech,26-06-2023,348.90,10686
KFin Tech,23-06-2023,342.35,3234
KFin Tech,22-06-2023,350.95,25926
KFin Tech,21-06-2023,353.10,6646
KFin Tech,20-06-2023,360.90,11478
KFin Tech,19-06-2023,360.30,11098
KFin Tech,16-06-2023,364.05,12670
KFin Tech,15-06-2023,359.50,12278
KFin Tech,14-06-2023,364.00,36549
KFin Tech,13-06-2023,356.80,26304
KFin Tech,12-06-2023,342.25,21573
